corpus,window_prev,window,clusters_prev,motor_prev,clusters,motor,motor_persisted,motor_persist_rate,cit_subfields,cit_persisted,cit_persist_rate
CHI,1994-1998,1999-2003,0,0,0,0,0,,2,1,0.5
CHI,1999-2003,2004-2008,0,0,1,1,0,0.0,7,2,0.29
CHI,2004-2008,2009-2013,1,1,5,3,0,0.0,29,7,0.24
CHI,2009-2013,2014-2018,5,3,9,4,0,0.0,49,25,0.51
CHI,2014-2018,2019-2023,9,4,10,3,0,0.0,67,43,0.64
CHI,2019-2023,2024-2026,10,3,9,2,1,0.5,58,53,0.91
core venues,1994-1998,1999-2003,4,1,10,3,0,0.0,30,16,0.53
core venues,1999-2003,2004-2008,10,3,12,4,0,0.0,75,30,0.4
core venues,2004-2008,2009-2013,12,4,10,3,0,0.0,126,74,0.59
core venues,2009-2013,2014-2018,10,3,7,1,1,1.0,153,123,0.8
core venues,2014-2018,2019-2023,7,1,7,2,0,0.0,154,146,0.95
core venues,2019-2023,2024-2026,7,2,6,1,1,1.0,133,133,1.0
