sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
0,Participatory & Community Design,Social Media & Online Communities,856,331,0.56,0.562,0.857,41
1,Social Media & Privacy,Social Media & Online Communities,620,324,0.677,0.667,0.856,46
2,Wikipedia & Open Source,Social Media & Online Communities,557,407,0.789,0.768,0.833,35
3,Misinformation & News,Social Media & Online Communities,482,198,0.795,0.752,0.871,47
4,Content Moderation,Social Media & Online Communities,465,161,0.6,0.629,0.842,53
5,Gig Work & Labour,Social Media & Online Communities,382,174,0.647,0.639,0.847,37
6,Civic Data & Communities,Social Media & Online Communities,381,218,0.544,0.572,0.842,33
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,237,166,0.8,0.764,0.893,33
8,Refugees & Migration,Social Media & Online Communities,147,62,0.602,0.623,0.82,38
9,Political Talk & Team Formation,Social Media & Online Communities,133,83,0.7,0.685,0.897,29
10,Crowdfunding & Social Tagging,Social Media & Online Communities,146,112,0.829,0.808,0.759,29
11,Health & Wellbeing,"Health, Care & Ageing",485,206,0.681,0.659,0.87,50
12,Personal Informatics,"Health, Care & Ageing",465,203,0.588,0.592,0.768,52
13,Older Adults & Dementia Care,"Health, Care & Ageing",393,192,0.69,0.691,0.848,42
14,Persuasive Health & Activity,"Health, Care & Ageing",273,185,0.731,0.726,0.871,33
15,Chronic Care & Caregiving,"Health, Care & Ageing",265,146,0.518,0.532,0.836,41
16,Mindfulness & Biofeedback,"Health, Care & Ageing",256,102,0.608,0.635,0.835,46
17,Family Health Informatics,"Health, Care & Ageing",236,122,0.591,0.583,0.787,28
18,Hospital Work & Records,"Health, Care & Ageing",198,142,0.779,0.734,0.853,30
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",119,70,0.779,0.759,0.896,22
20,Autism & Neurodiversity,Accessibility & Assistive Tech,512,257,0.744,0.715,0.888,29
21,Web Accessibility,Accessibility & Assistive Tech,398,221,0.759,0.715,0.76,31
22,Deaf & Sign Language,Accessibility & Assistive Tech,364,167,0.68,0.68,0.837,27
23,Non-visual Navigation,Accessibility & Assistive Tech,332,196,0.727,0.718,0.874,29
24,"ICTD, Mobile Money & Women",Accessibility & Assistive Tech,305,179,0.613,0.623,0.856,30
25,Visual Accessibility,Accessibility & Assistive Tech,295,109,0.56,0.576,0.825,34
26,Non-visual Touch Interfaces,Accessibility & Assistive Tech,280,150,0.692,0.673,0.907,28
27,Women's Health & Menstrual Tracking,Accessibility & Assistive Tech,234,66,0.519,0.522,0.802,52
28,Blind Access to VR,Accessibility & Assistive Tech,139,60,0.727,0.727,0.858,27
29,AAC & Aphasia,Accessibility & Assistive Tech,132,69,0.667,0.663,0.86,20
30,Low-vision Accessibility,Accessibility & Assistive Tech,130,54,0.75,0.727,0.91,32
31,Assistive Technology & Dyslexia,Accessibility & Assistive Tech,164,81,0.733,0.706,0.916,41
32,Location Sharing & Privacy,Privacy & Security,145,115,0.864,0.822,0.786,34
33,Smart-home Privacy,Privacy & Security,140,37,0.672,0.692,0.761,71
34,Dark Patterns,Privacy & Security,125,24,0.777,0.749,0.882,72
35,Usable Security & Phishing,Privacy & Security,661,385,0.879,0.844,0.89,43
36,Design Research & Art,Design Research & Practice,627,325,0.595,0.589,0.833,30
37,Bodily Play & Spectator Experience,Design Research & Practice,556,358,0.69,0.685,0.735,27
38,"Body, Movement & Soma Design",Design Research & Practice,551,211,0.61,0.614,0.867,34
39,Memory & Reminiscence,Design Research & Practice,472,312,0.6,0.611,0.836,36
40,More-than-human Design,Design Research & Practice,403,132,0.684,0.642,0.78,23
