sub,name,band,papers,q1_year,early_papers,in_corpus_refs,external_refs,self_share,parent1,p1_share,parent2,p2_share,parent3,p3_share
0,Participatory & Community Design,Social Media & Online Communities,856,2012,85,349,2091,0.244,Memory & Reminiscence,0.072,Sustainable HCI,0.063,"ICTD, Mobile Money & Women",0.06
1,Social Media & Privacy,Social Media & Online Communities,620,2012,62,229,1360,0.459,Enterprise Social Networks,0.1,Wikipedia & Open Source,0.061,Memory & Reminiscence,0.048
2,Wikipedia & Open Source,Social Media & Online Communities,557,2007,55,224,1114,0.438,Real-time Groupware,0.112,Instant Messaging,0.08,Email & Web Revisitation,0.071
3,Misinformation & News,Social Media & Online Communities,482,2013,48,174,1180,0.506,Hospital Work & Records,0.046,"Infrastructure, Hackathons & Crypto",0.046,Social Media & Privacy,0.046
4,Content Moderation,Social Media & Online Communities,465,2015,46,197,1048,0.279,Wikipedia & Open Source,0.137,Video Interfaces & Editing,0.066,Bodily Play & Spectator Experience,0.051
5,Gig Work & Labour,Social Media & Online Communities,382,2015,38,165,916,0.164,Crowdsourcing & Peer Feedback,0.127,Wikipedia & Open Source,0.079,Location Sharing & Privacy,0.048
6,Civic Data & Communities,Social Media & Online Communities,381,2011,38,179,956,0.24,Real-time Groupware,0.095,Bodily Play & Spectator Experience,0.067,"Infrastructure, Hackathons & Crypto",0.061
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,237,1992,23,39,326,0.692,Instant Messaging,0.103,Usable Security & Phishing,0.051,Design Research & Art,0.051
8,Refugees & Migration,Social Media & Online Communities,147,2014,20,88,402,0.159,Memory & Reminiscence,0.159,Family & Intergenerational Communication,0.114,Participatory & Community Design,0.114
9,Political Talk & Team Formation,Social Media & Online Communities,133,2012,20,45,392,0.267,Wikipedia & Open Source,0.133,Content Moderation,0.089,Enterprise Social Networks,0.067
10,Crowdfunding & Social Tagging,Social Media & Online Communities,146,2006,20,65,205,0.462,Instant Messaging,0.077,Information Navigation,0.062,Public & Ambient Displays,0.062
11,Health & Wellbeing,"Health, Care & Ageing",485,2014,48,187,1254,0.241,Social Media & Privacy,0.096,Chronic Care & Caregiving,0.08,Persuasive Health & Activity,0.075
12,Personal Informatics,"Health, Care & Ageing",465,2015,46,248,820,0.319,Persuasive Health & Activity,0.194,Memory & Reminiscence,0.081,Location Sharing & Privacy,0.044
13,Older Adults & Dementia Care,"Health, Care & Ageing",393,2010,39,146,815,0.185,Instant Messaging,0.103,Memory & Reminiscence,0.096,Tangibles for Learning,0.075
14,Persuasive Health & Activity,"Health, Care & Ageing",273,2010,27,96,649,0.333,Bodily Play & Spectator Experience,0.135,Tangibles for Learning,0.052,Sustainable HCI,0.042
15,Chronic Care & Caregiving,"Health, Care & Ageing",265,2010,26,112,570,0.223,Enterprise Social Networks,0.107,Older Adults & Dementia Care,0.098,Persuasive Health & Activity,0.071
16,Mindfulness & Biofeedback,"Health, Care & Ageing",256,2013,25,87,440,0.149,Memory & Reminiscence,0.161,Older Adults & Dementia Care,0.069,Persuasive Health & Activity,0.057
17,Family Health Informatics,"Health, Care & Ageing",236,2010,23,102,377,0.245,Older Adults & Dementia Care,0.118,Memory & Reminiscence,0.108,Pen & Bimanual Input,0.078
18,Hospital Work & Records,"Health, Care & Ageing",198,1998,20,47,273,0.298,Real-time Groupware,0.17,"Infrastructure, Hackathons & Crypto",0.085,Instant Messaging,0.085
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",119,2014,20,45,387,0.422,Persuasive Health & Activity,0.133,Hand Sensing & Input,0.044,Older Adults & Dementia Care,0.044
20,Autism & Neurodiversity,Accessibility & Assistive Tech,512,2010,51,118,940,0.356,Family Health Informatics,0.144,Co-design with Children,0.059,Tangibles for Learning,0.059
21,Web Accessibility,Accessibility & Assistive Tech,398,2002,39,92,292,0.663,Real-time Groupware,0.054,Task Models & UI Engineering,0.033,Pen & Bimanual Input,0.033
22,Deaf & Sign Language,Accessibility & Assistive Tech,364,2007,36,73,376,0.397,Information Navigation,0.164,Crowdsourcing & Peer Feedback,0.041,Email & Web Revisitation,0.041
23,Non-visual Navigation,Accessibility & Assistive Tech,332,2008,33,69,480,0.464,Pointing & Target Selection,0.145,Web Accessibility,0.058,Information Navigation,0.058
24,"ICTD, Mobile Money & Women",Accessibility & Assistive Tech,305,2011,30,86,510,0.407,Public & Ambient Displays,0.07,Tangibles for Learning,0.058,Interruptions & Multitasking,0.047
25,Visual Accessibility,Accessibility & Assistive Tech,295,2013,29,80,377,0.338,Web Accessibility,0.138,Social Media & Privacy,0.1,Non-visual Navigation,0.075
26,Non-visual Touch Interfaces,Accessibility & Assistive Tech,280,2009,28,49,478,0.49,Web Accessibility,0.143,Real-time Groupware,0.122,Non-visual Navigation,0.041
27,Women's Health & Menstrual Tracking,Accessibility & Assistive Tech,234,2016,23,122,493,0.221,Participatory & Community Design,0.074,Memory & Reminiscence,0.074,Design Research & Art,0.057
28,Blind Access to VR,Accessibility & Assistive Tech,139,2013,20,42,253,0.5,Visual Accessibility,0.071,Web Accessibility,0.071,Non-visual Navigation,0.071
29,AAC & Aphasia,Accessibility & Assistive Tech,132,2010,20,40,245,0.525,Gaze-based Interaction,0.05,"Infrastructure, Hackathons & Crypto",0.05,Enterprise Social Networks,0.025
30,Low-vision Accessibility,Accessibility & Assistive Tech,130,2012,20,33,333,0.576,Web Accessibility,0.091,Design Research & Art,0.061,Visual Accessibility,0.061
31,Assistive Technology & Dyslexia,Accessibility & Assistive Tech,164,2012,20,26,283,0.692,Web Accessibility,0.192,Digital Fabrication,0.038,Participatory & Community Design,0.038
32,Location Sharing & Privacy,Privacy & Security,145,2006,20,107,394,0.243,Instant Messaging,0.103,Social Media & Privacy,0.103,Real-time Groupware,0.075
33,Smart-home Privacy,Privacy & Security,140,2019,20,114,363,0.184,Usable Security & Phishing,0.096,Location Sharing & Privacy,0.096,Social Media & Privacy,0.088
