wave,year,papers,share_of_corpus
WWW,1994,2,0.0099
WWW,1995,2,0.0095
WWW,1996,10,0.0321
WWW,1997,24,0.0637
WWW,1998,24,0.0652
WWW,1999,10,0.0327
WWW,2000,21,0.0402
WWW,2001,5,0.0155
WWW,2002,11,0.0222
WWW,2003,13,0.0255
WWW,2004,5,0.0073
WWW,2005,7,0.0097
WWW,2006,10,0.0106
WWW,2007,7,0.0069
WWW,2008,9,0.0071
WWW,2009,16,0.0112
WWW,2010,16,0.0088
WWW,2011,11,0.0061
WWW,2012,16,0.0071
WWW,2013,13,0.006
WWW,2014,14,0.0055
WWW,2015,21,0.0085
WWW,2016,14,0.0051
WWW,2017,24,0.0083
WWW,2018,51,0.0158
WWW,2019,78,0.022
WWW,2020,65,0.022
WWW,2021,78,0.0235
WWW,2022,77,0.022
WWW,2023,71,0.0195
WWW,2024,73,0.0165
WWW,2025,82,0.0154
Mobile phones,1999,3,0.0098
Mobile phones,2000,8,0.0153
Mobile phones,2001,5,0.0155
Mobile phones,2002,4,0.0081
Mobile phones,2003,5,0.0098
Mobile phones,2004,7,0.0102
Mobile phones,2005,4,0.0056
Mobile phones,2006,16,0.017
Mobile phones,2007,11,0.0108
Mobile phones,2008,16,0.0126
Mobile phones,2009,15,0.0105
Mobile phones,2010,19,0.0105
Mobile phones,2011,19,0.0105
Mobile phones,2012,15,0.0066
Mobile phones,2013,28,0.0128
Mobile phones,2014,25,0.0098
Mobile phones,2015,15,0.0061
Mobile phones,2016,21,0.0076
Mobile phones,2017,20,0.0069
Mobile phones,2018,52,0.0161
Mobile phones,2019,58,0.0164
Mobile phones,2020,70,0.0237
Mobile phones,2021,58,0.0175
Mobile phones,2022,50,0.0143
Mobile phones,2023,58,0.0159
Mobile phones,2024,50,0.0113
Mobile phones,2025,42,0.0079
Tabletop & multitouch,2006,7,0.0074
Tabletop & multitouch,2007,7,0.0069
Tabletop & multitouch,2008,12,0.0094
Tabletop & multitouch,2009,30,0.0211
Tabletop & multitouch,2010,57,0.0314
Tabletop & multitouch,2011,55,0.0305
Tabletop & multitouch,2012,48,0.0212
Tabletop & multitouch,2013,62,0.0284
Tabletop & multitouch,2014,50,0.0196
Tabletop & multitouch,2015,41,0.0166
Tabletop & multitouch,2016,55,0.02
Tabletop & multitouch,2017,38,0.0131
Tabletop & multitouch,2018,70,0.0217
Tabletop & multitouch,2019,89,0.0251
Tabletop & multitouch,2020,65,0.022
Tabletop & multitouch,2021,63,0.019
Tabletop & multitouch,2022,47,0.0134
Tabletop & multitouch,2023,51,0.014
Tabletop & multitouch,2024,52,0.0117
Tabletop & multitouch,2025,48,0.009
Social media,2010,17,0.0094
Social media,2011,23,0.0128
Social media,2012,31,0.0137
Social media,2013,39,0.0179
Social media,2014,42,0.0165
Social media,2015,44,0.0178
Social media,2016,55,0.02
Social media,2017,72,0.0248
Social media,2018,103,0.0319
Social media,2019,131,0.037
Social media,2020,129,0.0436
Social media,2021,172,0.0519
Social media,2022,185,0.0529
Social media,2023,158,0.0434
Social media,2024,207,0.0467
Social media,2025,242,0.0455
Smartphones & apps,2011,14,0.0078
Smartphones & apps,2012,26,0.0115
Smartphones & apps,2013,32,0.0147
Smartphones & apps,2014,34,0.0133
Smartphones & apps,2015,40,0.0162
Smartphones & apps,2016,63,0.0229
Smartphones & apps,2017,52,0.0179
Smartphones & apps,2018,164,0.0509
Smartphones & apps,2019,224,0.0633
Smartphones & apps,2020,190,0.0642
Smartphones & apps,2021,194,0.0585
Smartphones & apps,2022,164,0.0469
Smartphones & apps,2023,191,0.0525
Smartphones & apps,2024,173,0.039
Smartphones & apps,2025,149,0.028
Crowdsourcing (MTurk),2008,7,0.0055
Crowdsourcing (MTurk),2009,12,0.0084
Crowdsourcing (MTurk),2010,16,0.0088
Crowdsourcing (MTurk),2011,27,0.015
Crowdsourcing (MTurk),2012,33,0.0146
Crowdsourcing (MTurk),2013,39,0.0179
Crowdsourcing (MTurk),2014,40,0.0157
Crowdsourcing (MTurk),2015,49,0.0198
Crowdsourcing (MTurk),2016,70,0.0254
Crowdsourcing (MTurk),2017,55,0.019
Crowdsourcing (MTurk),2018,66,0.0205
Crowdsourcing (MTurk),2019,82,0.0232
Crowdsourcing (MTurk),2020,66,0.0223
Crowdsourcing (MTurk),2021,94,0.0284
Crowdsourcing (MTurk),2022,89,0.0255
Crowdsourcing (MTurk),2023,68,0.0187
Crowdsourcing (MTurk),2024,53,0.012
