citing_wave,WWW,Mobile phones,Tabletop & multitouch,Social media,Smartphones & apps,Crowdsourcing (MTurk),Depth cameras (Kinect),Personal fabrication,Wearables & smartwatches,Deep learning,VR (consumer HMDs),Voice assistants,LLMs & generative AI,VR (1990s)
WWW,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
Mobile phones,0.044,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022
Tabletop & multitouch,0.003,0.004,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
Social media,0.003,0.001,0.0,0.136,0.003,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartphones & apps,0.034,0.041,0.036,0.01,0.049,0.02,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Crowdsourcing (MTurk),0.006,0.0,0.004,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Depth cameras (Kinect),0.0,0.017,0.03,0.0,0.002,0.001,0.183,0.002,0.0,0.0,0.0,0.0,0.0,0.017
Personal fabrication,0.001,0.003,0.007,0.0,0.001,0.01,0.015,0.145,0.001,0.0,0.0,0.0,0.0,0.001
Wearables & smartwatches,0.001,0.023,0.035,0.004,0.04,0.013,0.016,0.002,0.049,0.005,0.004,0.004,0.0,0.003
Deep learning,0.011,0.008,0.026,0.036,0.027,0.033,0.039,0.002,0.008,0.125,0.017,0.005,0.0,0.001
VR (consumer HMDs),0.002,0.014,0.015,0.002,0.009,0.002,0.036,0.006,0.004,0.009,0.172,0.0,0.0,0.028
Voice assistants,0.005,0.014,0.005,0.03,0.084,0.034,0.001,0.002,0.006,0.017,0.004,0.265,0.0,0.001
LLMs & generative AI,0.016,0.004,0.006,0.043,0.031,0.031,0.005,0.009,0.006,0.033,0.031,0.084,0.243,0.001
VR (1990s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215
