wave,start,start_manual,papers,years_to_1pct,years_to_2pct,peak_year,peak_share,share_at_10y_over_peak,subs_with_5plus,sub_entropy,self_reference_share,cohesion_lift,absorbed_into,newcomer_author_share,baseline_newcomer_share,incumbents_from,ref_age,baseline_ref_age
WWW,1994,1994,945,2,2,1998,0.065,0.11,3,0.84,0.158,22.5,Email & Web Revisitation 14; Real-time Groupware 9; Web Accessibility 5,0.75,0.67,Programming & Notebooks 2; Information Navigation 2; Adaptive Help & Software Learnability 2,3.2,4.0
Mobile phones,1999,1999,718,1,21,2020,0.024,0.45,0,0.94,0.077,14.4,Touch & Multi-touch Input 4; Information Navigation 4; Public & Ambient Displays 2,0.55,0.66,Pen & Bimanual Input 5; Task Models & UI Engineering 2; Real-time Groupware 2,3.4,5.0
Tabletop & multitouch,2006,2005,986,3,3,2010,0.031,0.64,7,0.83,0.08,11.2,Tangible & Tabletop Sensing 19; Public & Ambient Displays 16; Tangibles for Learning 10,0.53,0.59,Information Navigation 7; Public & Ambient Displays 5; Pen & Bimanual Input 3,6.0,5.8
Social media,2010,2007,1805,1,7,2022,0.053,0.82,6,0.77,0.136,24.3,Social Media & Privacy 36; Misinformation & News 22; Wikipedia & Open Source 14,0.57,0.54,Email & Web Revisitation 6; Real-time Groupware 5; Collaborative Filtering & Trust 5,3.6,5.8
Smartphones & apps,2011,2008,1814,1,5,2020,0.064,0.91,6,0.92,0.049,10.0,Urban Mobility Prediction 15; Usable Security & Phishing 9; Notifications & Interruptibi 7,0.56,0.52,Gaze-based Interaction 5; Nonverbal & Public-speaking Analysis 4; Pen & Bimanual Input 4,5.1,5.8
Crowdsourcing (MTurk),2008,2008,951,3,8,2021,0.028,0.72,2,0.78,0.282,72.5,Crowdsourcing & Peer Feedbac 35; Wikipedia & Open Source 7; Visual Accessibility 3,0.37,0.58,Information Navigation 5; Adaptive Help & Software Learnability 5; Bodily Play & Spectator Experience 5,3.8,5.8
Depth cameras (Kinect),2011,2011,482,1,,2012,0.015,0.41,11,0.88,0.183,33.5,3D Reconstruction & Motion C 25; Telepresence & Remote Collab 11; Hand Sensing & Input 7,0.53,0.52,Tangible & Tabletop Sensing 10; Real-time Rendering & Meshes 8; Tangibles for Learning 8,5.4,5.8
Personal fabrication,2013,2012,1188,3,5,2023,0.042,1.0,5,0.74,0.145,23.3,"Computational Fabrication 34; Digital Fabrication 20; Knitting, Cloth & Printed Ob 17",0.38,0.5,Real-time Rendering & Meshes 8; Near-eye & Foveated Displays 7; Adaptive Help & Software Learnability 6,4.0,5.6
Wearables & smartwatches,2015,2014,444,3,,2019,0.017,0.47,7,0.85,0.049,21.7,Hand Sensing & Input 34; Text Entry 13; Personal Informatics 11,0.48,0.48,Public & Ambient Displays 12; Tangibles for Learning 6; Text Entry 5,5.3,5.8
Deep learning,2015,2015,1692,1,2,2020,0.057,0.76,23,0.87,0.125,30.8,Affect Recognition 43; Hand Sensing & Input 26; Activity & Ambient Sensing 20,0.6,0.48,Affect Recognition 12; Procedural Shape Modelling 11; Automated Driving 8,4.7,5.8
VR (consumer HMDs),2016,2016,3720,0,0,2019,0.144,,52,0.82,0.172,25.7,VR Locomotion 141; VR Presence & Avatars 104; Gaze-based Interaction 74,0.58,0.48,Gaze-based Interaction 26; Public & Ambient Displays 25; VR Locomotion 20,6.3,5.8
Voice assistants,2018,2016,1130,1,1,2021,0.04,,13,0.66,0.265,46.8,Voice Assistants for Older A 155; Chatbot Companions 88; Smart-home Privacy 16,0.48,0.47,Crowdsourcing & Peer Feedback 14; Automated Driving 11; Usable Security & Phishing 10,5.4,6.0
LLMs & generative AI,2022,2022,2345,1,1,2025,0.168,,74,0.75,0.243,13.4,"LLMs, Writing & Prompting 571; Human-AI Trust & Explanation 100; Chatbot Companions 84",0.55,0.48,"Crowdsourcing & Peer Feedback 29; Hand Sensing & Input 26; LLMs, Writing & Prompting 24",5.1,6.2
VR (1990s),1992,1992,222,0,1,1999,0.092,0.44,2,0.93,0.215,9.4,Real-time Rendering & Meshes 6; Real-time Groupware 5; AR Depth Perception 4,0.74,0.71,Information Navigation 3; Real-time Rendering & Meshes 2; Latency & Input Quality 2,3.7,3.7
