corpus,window_prev,window,coword_clusters,coword_persisted,motor,motor_persisted,cite_clusters,cite_persisted
CHI,1994-1998,1999-2003,0,0,0,0,4,4
CHI,1999-2003,2004-2008,1,0,1,0,12,8
CHI,2004-2008,2009-2013,5,0,3,0,17,13
CHI,2009-2013,2014-2018,9,1,4,0,25,15
CHI,2014-2018,2019-2023,10,0,3,0,18,6
CHI,2019-2023,2024-2026,9,1,2,1,23,15
core venues,1994-1998,1999-2003,10,0,3,0,19,16
core venues,1999-2003,2004-2008,12,0,4,0,26,18
core venues,2004-2008,2009-2013,10,0,3,0,31,22
core venues,2009-2013,2014-2018,7,1,1,1,29,20
core venues,2014-2018,2019-2023,7,2,2,0,22,15
core venues,2019-2023,2024-2026,6,3,1,1,21,15
