year,papers,mean_depth,median_depth,p90_depth,share_depth0
1981,80,0.0,0,0,1.0
1982,74,0.068,0,0,0.932
1983,59,0.305,0,1,0.746
1985,44,0.295,0,1,0.795
1986,112,0.571,0,2,0.598
1987,1,0.0,0,0,1.0
1988,48,0.396,0,1,0.708
1989,77,0.662,0,2,0.623
1990,71,0.803,0,3,0.662
1991,98,1.204,0,4,0.51
1992,199,1.126,0,4,0.678
1994,43,2.884,2,7,0.279
1995,75,3.28,3,8,0.293
1996,67,2.403,1,7,0.418
1997,76,3.013,1,8,0.382
1998,81,3.716,3,10,0.309
1999,78,5.051,4,10,0.179
2000,72,5.389,5,11,0.167
2001,69,5.87,6,12,0.188
2002,67,6.179,6,13,0.239
2003,76,7.329,8,14,0.158
2004,92,7.946,10,14,0.185
2005,92,9.13,11,15,0.109
2006,149,9.376,11,16,0.134
2007,205,8.971,11,17,0.254
2008,220,10.768,14,17,0.15
2009,279,11.699,14,19,0.136
2010,300,13.01,16,20,0.107
2011,412,13.772,17,21,0.133
2012,377,14.143,18,22,0.149
2013,382,16.864,20,23,0.092
2014,457,17.324,20,24,0.103
2015,480,18.177,21,25,0.079
2016,541,20.784,23,26,0.043
2017,599,22.072,24,28,0.038
2018,667,23.759,26,29,0.045
2019,706,25.289,27,31,0.033
2020,758,26.127,29,32,0.054
2021,746,29.263,31,34,0.019
2022,637,30.659,32,35,0.025
2023,880,32.01,34,36,0.016
2024,1045,33.3,35,38,0.032
2025,1241,35.795,38,39,0.016
2026,1699,27.955,38,41,0.26
