sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
0,3D Pointing & VR Interaction,hci,239,1994,4,nan,0.67,0.75,0.5,0.25,nan,nan
1,RF & Radar Sensing,hci,71,2015,9,nan,0.6,0.43,0.0,0.0,0.1,nan
3,Pointing & Target Selection,hci,265,1997,5,nan,0.75,nan,0.4,0.0,0.0,0.0
4,Hand Input & Gesture Sensing,hci,170,1997,2,nan,0.33,nan,nan,nan,nan,0.0
5,Fisheye & Scrolling Techniques,hci,190,1986,2,0.33,0.33,0.0,0.0,0.2,0.0,0.0
6,Gesture Elicitation & Recognition,hci,164,2005,2,nan,0.6,0.2,0.0,0.07,0.0,0.0
7,Pen & Sketch Input,hci,157,1995,8,0.67,0.8,0.33,nan,0.0,0.0,0.2
9,Touch & Multi-touch Input,hci,107,2007,7,nan,0.6,0.43,0.0,0.0,0.12,nan
12,Deformable & Soft Displays,hci,193,2007,7,nan,1.0,0.57,0.25,0.14,0.15,0.14
13,Tangible Interaction,hci,134,1997,3,0.33,0.33,nan,nan,nan,nan,0.0
14,Printed Electronics,hci,134,2010,9,nan,0.5,0.8,0.2,0.08,0.08,0.25
15,Digital Fabrication,hci,161,2012,13,nan,nan,0.62,0.64,0.0,0.22,nan
16,E-textiles & Weaving,hci,78,2017,18,nan,0.5,0.8,0.43,0.4,nan,nan
17,Tactile & Thermal Feedback,hci,103,2006,2,nan,nan,0.33,0.25,nan,0.29,0.0
18,VR Locomotion & Presence,hci,72,2017,16,0.67,0.75,0.33,0.33,0.15,nan,nan
20,Making & Makerspaces,hci,47,2012,5,nan,0.5,0.25,0.33,nan,nan,nan
21,Data Physicalization & Bio-materials,hci,87,2013,14,nan,0.75,0.5,nan,0.0,0.0,nan
22,Gaze-based Interaction,hci,87,1998,3,nan,1.0,nan,nan,nan,nan,nan
25,Pupillometry & Cognitive Load,hci,69,2008,13,nan,0.33,0.33,0.12,0.2,0.0,nan
27,Authentication & Passwords,hci,81,2007,3,nan,0.0,0.6,0.0,0.11,0.2,nan
33,Remote Collaboration & Telepresence,hci,206,1990,3,nan,0.4,nan,nan,nan,nan,nan
34,CSCW Foundations,hci,139,1985,10,nan,nan,0.89,0.25,nan,0.0,0.17
36,UI Toolkits & Automatic Generation,hci,107,1981,4,0.0,0.14,0.4,nan,0.0,0.0,0.0
37,AR Authoring & Assembly,hci,117,2012,4,nan,0.33,nan,0.0,0.07,0.14,nan
38,Tabletop Collaboration,hci,70,2004,9,nan,0.8,0.67,nan,0.29,0.0,nan
39,Public & Ambient Displays,hci,77,2008,6,nan,0.25,0.5,0.33,0.0,0.33,0.0
41,Social VR & Presence,hci,92,2019,11,0.33,0.29,0.25,0.12,nan,nan,nan
42,Mixed Reality Rooms & Video,hci,52,2016,10,nan,0.29,0.67,0.4,nan,0.0,nan
43,Live Streaming,hci,65,2009,4,nan,0.4,nan,0.0,0.0,0.0,nan
50,Autonomous Vehicles & Pedestrians,hci,101,2017,11,0.25,0.33,0.4,0.25,0.14,nan,nan
51,Cognitive Modeling & Mixed Small Topics,hci,116,1982,8,0.38,nan,0.31,0.17,0.17,0.62,0.25
52,Non-visual Navigation,hci,69,2012,5,1.0,0.33,0.33,0.0,0.17,nan,nan
