sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
0,3D Pointing & VR Interaction,993,1996,chi,Physical versus virtual pointing,10.1145/238386.238532,123,0.515,196.4,77,1.0,1.0,31
0,3D Pointing & VR Interaction,6021,2017,chi,Experimental Evaluation of Sketching on Surfaces in VR,10.1145/3025453.3025474,73,0.305,627.7,197,0.3617021276595745,0.37037037037037035,10
0,3D Pointing & VR Interaction,7739,2020,chi,VRSketchIn,10.1145/3313831.3376628,46,0.192,486.2,154,-0.07608695652173914,-0.0625,6
0,3D Pointing & VR Interaction,8679,2021,chi,MIRIA: A Mixed Reality Toolkit for the In-Situ Visualization and Analysis of Spatio-Tempor,10.1145/3411764.3445651,30,0.126,463.7,110,-0.06060606060606061,-0.06060606060606061,5
0,3D Pointing & VR Interaction,1036,1996,chi,The influence of muscle groups on performance of multiple degree-of-freedom input,10.1145/238386.238534,144,0.603,283.6,191,0.062111801242236024,0.16279069767441862,34
0,3D Pointing & VR Interaction,6574,2018,chi,"Clusters, Trends, and Outliers",10.1145/3173574.3173664,48,0.201,457.3,146,0.4166666666666667,0.3157894736842105,8
0,3D Pointing & VR Interaction,816,1992,chi,Iterative design of an interface for easy 3-D direct manipulation,10.1145/142750.142772,113,0.473,85.2,80,1.0,1.0,32
0,3D Pointing & VR Interaction,1049,1997,chi,The Rockin'Mouse,10.1145/258549.258778,112,0.469,187.6,136,0.7727272727272727,1.0,31
0,3D Pointing & VR Interaction,6299,2018,chi,SymbiosisSketch,10.1145/3173574.3173759,66,0.276,667.7,185,-0.0975609756097561,-0.13636363636363635,9
0,3D Pointing & VR Interaction,796,1992,chi,The perceptual structure of multidimensional input device selection,10.1145/142750.142792,141,0.59,98.4,84,1.0,1.0,32
1,RF & Radar Sensing,963,1995,chi,Glove-TalkII,10.1145/223904.223966,26,0.366,11.2,42,1.0,1.0,20
1,RF & Radar Sensing,7076,2019,chi,SottoVoce,10.1145/3290605.3300376,25,0.352,395.8,122,0.16666666666666666,0.15384615384615385,7
1,RF & Radar Sensing,4652,2015,chi,Tongue-in-Cheek,10.1145/2702123.2702591,32,0.451,91.9,39,0.3333333333333333,0.2857142857142857,11
1,RF & Radar Sensing,10579,2024,chi,EyeEcho: Continuous and Low-power Facial Expression Tracking on Glasses,10.1145/3613904.3642613,7,0.099,235.3,24,-0.3333333333333333,-0.3333333333333333,2
1,RF & Radar Sensing,4342,2014,chi,Non-intrusive tongue machine interface,10.1145/2556288.2556981,39,0.549,165.3,41,0.4090909090909091,0.5,12
1,RF & Radar Sensing,5722,2017,chi,<i>EarFieldSensing</i>,10.1145/3025453.3025692,34,0.479,251.0,75,0.42857142857142855,0.0,10
1,RF & Radar Sensing,8029,2020,chi,EarBuddy: Enabling On-Face Interaction via Wireless Earbuds,10.1145/3313831.3376836,17,0.239,361.3,88,0.0,-0.011764705882352941,8
1,RF & Radar Sensing,9982,2023,chi,EchoSpeech: Continuous Silent Speech Recognition on Minimally-obtrusive Eyewear Powered by,10.1145/3544548.3580801,15,0.211,446.5,49,0.25,0.25,4
2,Wearable Activity Recognition,10346,2023,chi,"IMUPoser: Full-Body Pose Estimation using IMUs in Phones, Watches, and Earbuds",10.1145/3544548.3581392,3,0.111,72.6,96,0.1875,0.1875,3
2,Wearable Activity Recognition,8111,2020,chi,Automated Class Discovery and One-Shot Interactions for Acoustic Activity Recognition,10.1145/3313831.3376875,4,0.148,124.5,51,0.625,0.6153846153846154,6
2,Wearable Activity Recognition,5744,2017,chi,Synthetic Sensors,10.1145/3025453.3025773,3,0.111,70.6,159,0.2,0.14814814814814814,9
2,Wearable Activity Recognition,4787,2015,chi,SpecTrans,10.1145/2702123.2702169,5,0.185,95.9,30,0.16666666666666666,0.13333333333333333,10
2,Wearable Activity Recognition,8796,2021,chi,Pose-on-the-Go: Approximating User Pose with Smartphone Sensor Fusion and Inverse Kinemati,10.1145/3411764.3445582,5,0.185,112.9,38,0.02040816326530612,0.02040816326530612,5
3,Pointing & Target Selection,6306,2018,chi,Moving Target Selection,10.1145/3173574.3173804,49,0.185,586.0,107,-0.11403508771929824,-0.18055555555555555,9
3,Pointing & Target Selection,838,1992,chi,Extending Fitts' law to two-dimensional tasks,10.1145/142750.142794,198,0.747,507.1,612,0.3217391304347826,0.0,32
3,Pointing & Target Selection,519,1990,chi,How does Fitts' law fit pointing and dragging?,10.1145/97243.97278,214,0.808,115.5,110,1.0,1.0,39
3,Pointing & Target Selection,1448,2002,chi,Acquisition of expanding targets,10.1145/503376.503388,187,0.706,672.0,210,0.36764705882352944,0.2916666666666667,29
3,Pointing & Target Selection,1450,2002,chi,More than dotting the i's --- foundations for crossing-based interfaces,10.1145/503376.503390,192,0.725,544.2,369,0.3904761904761905,0.47368421052631576,29
3,Pointing & Target Selection,1709,2005,chi,The bubble cursor,10.1145/1054972.1055012,169,0.638,1072.4,591,-0.09210526315789473,-0.1951219512195122,25
3,Pointing & Target Selection,3918,2013,chi,FFitts law,10.1145/2470654.2466180,71,0.268,727.8,233,-0.13533834586466165,-0.1206896551724138,17
3,Pointing & Target Selection,527,1990,chi,A comparison of selection time from walking and pull-down menus,10.1145/97243.97277,193,0.728,35.1,45,1.0,,30
3,Pointing & Target Selection,1616,2004,chi,Semantic pointing,10.1145/985692.985758,184,0.694,799.1,294,-0.11188811188811189,-0.1509433962264151,27
3,Pointing & Target Selection,662,1991,chi,A comparison of input devices in element pointing and dragging tasks,10.1145/108844.108868,212,0.8,372.8,367,0.4696969696969697,0.375,38
4,Hand Input & Gesture Sensing,4192,2014,chi,Exploring the use of hand-to-face input for interacting with head-worn displays,10.1145/2556288.2556984,64,0.376,506.1,121,-0.08943089430894309,-0.08064516129032258,17
4,Hand Input & Gesture Sensing,3715,2013,chi,Understanding palm-based imaginary interfaces,10.1145/2470654.2466114,71,0.418,484.6,93,-0.05982905982905983,-0.09259259259259259,18
4,Hand Input & Gesture Sensing,1926,2007,chi,Intimate interfaces in action,10.1145/1240624.1240747,116,0.682,248.9,90,0.012987012987012988,0.05263157894736842,23
4,Hand Input & Gesture Sensing,1801,2006,chi,An examination of the effects of a wearable display on informal face-to-face communication,10.1145/1124772.1124780,120,0.706,148.1,55,1.0,1.0,24
4,Hand Input & Gesture Sensing,1710,2005,chi,Toward subtle intimate interfaces for mobile devices using an EMG controller,10.1145/1054972.1055039,117,0.688,216.4,97,0.028169014084507043,0.0,24
4,Hand Input & Gesture Sensing,4398,2014,chi,More than touch,10.1145/2556288.2557239,56,0.329,508.4,117,-0.0984251968503937,-0.1092436974789916,17
4,Hand Input & Gesture Sensing,2962,2011,chi,Nenya,10.1145/1978942.1979238,89,0.524,512.0,230,0.75,0.8125,19
4,Hand Input & Gesture Sensing,2900,2010,chi,Skinput,10.1145/1753326.1753394,94,0.553,1195.7,686,0.5390625,0.5531914893617021,20
4,Hand Input & Gesture Sensing,1430,2002,chi,Gestural and audio metaphors as a means of control for mobile devices,10.1145/503376.503428,129,0.759,243.4,255,0.23076923076923078,-0.125,29
4,Hand Input & Gesture Sensing,1337,2000,chi,Programming and enjoying music with your eyes closed,10.1145/332040.332460,130,0.765,61.1,25,0.09090909090909091,0.1111111111111111,30
5,Fisheye & Scrolling Techniques,579,1991,chi,The perspective wall,10.1145/108844.108870,101,0.532,604.8,702,1.0,1.0,39
5,Fisheye & Scrolling Techniques,837,1992,chi,Graphical fisheye views of graphs,10.1145/142750.142763,86,0.453,377.2,474,0.12244897959183673,-0.3333333333333333,34
5,Fisheye & Scrolling Techniques,647,1991,chi,Cone Trees,10.1145/108844.108883,89,0.468,205.7,1160,0.09333333333333334,-0.16666666666666666,35
5,Fisheye & Scrolling Techniques,971,1995,chi,Space-scale diagrams,10.1145/223904.223934,69,0.363,414.9,325,0.2127659574468085,0.5,33
5,Fisheye & Scrolling Techniques,1488,2002,chi,Quantitative analysis of scrolling techniques,10.1145/503376.503389,42,0.221,382.8,139,0.09022556390977443,0.07142857142857142,24
5,Fisheye & Scrolling Techniques,307,1986,chi,Generalized fisheye views,10.1145/22627.22342,101,0.532,653.5,887,1.0,1.0,36
5,Fisheye & Scrolling Techniques,1462,2002,chi,Improving focus targeting in interactive fisheye views,10.1145/503376.503424,48,0.253,471.3,160,0.10144927536231885,0.0,29
