sub,name,band,papers,q1_year,early_papers,in_corpus_refs,external_refs,self_share,parent1,p1_share,parent2,p2_share,parent3,p3_share
0,3D Pointing & VR Interaction,Input & Interaction Techniques,239,2000,23,38,346,0.474,Pen & Sketch Input,0.158,Pointing & Target Selection,0.105,Tangible Interaction,0.053
1,RF & Radar Sensing,Input & Interaction Techniques,71,2019,20,48,572,0.354,Hand Input & Gesture Sensing,0.125,Gamification & Engagement,0.083,Ubicomp Privacy & Home Automation,0.042
2,Wearable Activity Recognition,Input & Interaction Techniques,27,2023,20,80,910,0.138,Hand Input & Gesture Sensing,0.15,RF & Radar Sensing,0.1,Printed Electronics,0.075
3,Pointing & Target Selection,Input & Interaction Techniques,265,1999,26,32,221,0.531,3D Pointing & VR Interaction,0.125,Gaze-based Interaction,0.094,Hand Input & Gesture Sensing,0.031
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,170,2006,20,26,278,0.346,Pointing & Target Selection,0.115,Touch & Multi-touch Input,0.115,CSCW Foundations,0.077
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,190,1991,20,8,171,0.75,UI Toolkits & Automatic Generation,0.125,Pen & Sketch Input,0.125,,
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,164,2007,20,56,255,0.393,Pen & Sketch Input,0.143,Pointing & Target Selection,0.107,3D Pointing & VR Interaction,0.054
7,Pen & Sketch Input,Input & Interaction Techniques,157,1998,20,47,330,0.426,Meeting Capture & Reading,0.128,Tangible Interaction,0.085,UI Toolkits & Automatic Generation,0.064
8,Text Entry,Input & Interaction Techniques,169,2006,20,39,282,0.667,Pointing & Target Selection,0.103,Voice & Conversational Agents,0.051,Task Switching at Work,0.051
9,Touch & Multi-touch Input,Input & Interaction Techniques,107,2011,20,104,295,0.183,Pen & Sketch Input,0.26,Pointing & Target Selection,0.183,Tangible Interaction,0.058
11,VR Haptics,"Tangible, VR & Fabrication",283,2016,28,71,658,0.296,Tactile & Thermal Feedback,0.225,Hand Input & Gesture Sensing,0.07,Deformable & Soft Displays,0.07
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",193,2011,20,54,266,0.148,Tangible Interaction,0.296,Pen & Sketch Input,0.074,CSCW Foundations,0.056
13,Tangible Interaction,"Tangible, VR & Fabrication",134,2000,20,74,275,0.622,Pen & Sketch Input,0.068,VR Haptics,0.068,CSCW Foundations,0.027
