sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
0,3D Pointing & VR Interaction,Input & Interaction Techniques,239,1990,1994,1992,2025,2018,2011,2023,22.29,40
1,RF & Radar Sensing,Input & Interaction Techniques,71,1995,2015,2015,2026,2023,2019,2025,25.14,42
2,Wearable Activity Recognition,Input & Interaction Techniques,27,2011,2011,2017,2019,2021,2018,2023,24.44,41
3,Pointing & Target Selection,Input & Interaction Techniques,265,1982,1997,1985,2008,2015,2008,2021,19.46,39
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,170,1982,1997,1990,2015,2017,2013,2022,23.41,40
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,190,1983,1986,1986,1992,2003,1995,2010,9.29,35
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,164,1982,2005,1994,2013,2015,2011,2020,21.24,39
7,Pen & Sketch Input,Input & Interaction Techniques,157,1985,1995,1991,2011,2011,2004,2017,16.78,38
8,Text Entry,Input & Interaction Techniques,169,1982,1997,1999,2018,2016,2010,2021,21.4,40
9,Touch & Multi-touch Input,Input & Interaction Techniques,107,1986,2007,2005,2014,2015,2012,2018,22.07,38
11,VR Haptics,"Tangible, VR & Fabrication",283,1994,2009,2010,2026,2022,2019,2025,28.42,40
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",193,1991,2007,1996,2016,2018,2015,2023,25.38,40
13,Tangible Interaction,"Tangible, VR & Fabrication",134,1992,1997,1997,1999,2012,2006,2018,18.26,40
14,Printed Electronics,"Tangible, VR & Fabrication",134,1985,2010,2008,2018,2019,2016,2023,25.37,40
15,Digital Fabrication,"Tangible, VR & Fabrication",161,2000,2012,2013,2026,2021,2018,2024,29.06,42
16,E-textiles & Weaving,"Tangible, VR & Fabrication",78,2007,2017,2010,2020,2021,2018,2023,27.29,39
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",103,1998,2006,2006,2026,2017,2011,2021,21.42,40
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",72,2001,2017,2017,2025,2023,2020,2025,28.01,40
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",30,1986,1986,2004,2019,2019,2008,2021,21.7,35
20,Making & Makerspaces,"Tangible, VR & Fabrication",47,1990,2012,2009,2021,2017,2014,2021,24.98,37
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",87,2006,2013,2013,2025,2023,2018,2025,30.17,41
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",87,1982,1998,1998,2019,2019,2010,2023,21.8,38
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",33,2003,2005,2007,2009,2012,2009,2021,12.36,37
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",69,1983,2008,2003,2014,2015,2011,2019,16.23,38
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",81,2003,2007,2009,2015,2016,2013,2020,17.2,38
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",31,1990,2013,2012,2016,2016,2014,2023,17.16,39
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",206,1982,1990,1986,2023,2017,2009,2023,20.04,40
