sub,name,band,year,papers,cites_received
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1990,2,0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1991,1,1
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1992,2,2
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1994,2,1
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1995,2,4
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1996,3,1
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1997,2,7
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1998,4,6
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1999,3,6
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2000,4,10
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2001,4,9
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2002,4,8
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2003,1,6
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2004,1,4
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2005,3,7
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2006,2,14
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2007,2,13
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2008,3,19
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2009,2,9
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2010,7,19
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2011,9,42
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2012,7,20
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2013,6,34
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2014,8,52
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2015,12,37
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2016,6,37
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2017,8,59
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2018,11,70
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2019,11,80
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2020,10,92
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2021,18,101
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2022,11,100
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2023,19,194
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2024,9,172
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2025,20,209
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2026,20,201
1,RF & Radar Sensing,Input & Interaction Techniques,1995,1,0
1,RF & Radar Sensing,Input & Interaction Techniques,1997,1,0
1,RF & Radar Sensing,Input & Interaction Techniques,1998,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,1999,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2005,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2007,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2011,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2012,1,0
1,RF & Radar Sensing,Input & Interaction Techniques,2014,1,1
1,RF & Radar Sensing,Input & Interaction Techniques,2015,2,3
1,RF & Radar Sensing,Input & Interaction Techniques,2016,3,5
1,RF & Radar Sensing,Input & Interaction Techniques,2017,5,7
1,RF & Radar Sensing,Input & Interaction Techniques,2018,1,5
