wave,year,papers,share_of_corpus
WWW,1994,1,0.0233
WWW,1995,1,0.0133
WWW,1996,4,0.0597
WWW,1997,2,0.0263
WWW,1998,6,0.0741
WWW,1999,4,0.0513
WWW,2000,5,0.0694
WWW,2001,3,0.0435
WWW,2002,2,0.0299
WWW,2003,0,0.0
WWW,2004,0,0.0
WWW,2005,2,0.0217
WWW,2006,2,0.0134
WWW,2007,4,0.0195
WWW,2008,0,0.0
WWW,2009,4,0.0143
WWW,2010,3,0.01
WWW,2011,3,0.0073
WWW,2012,3,0.008
WWW,2013,2,0.0052
WWW,2014,3,0.0066
WWW,2015,4,0.0083
WWW,2016,4,0.0074
WWW,2017,5,0.0083
WWW,2018,6,0.009
WWW,2019,18,0.0255
WWW,2020,17,0.0224
WWW,2021,22,0.0295
WWW,2022,13,0.0204
WWW,2023,21,0.0239
WWW,2024,16,0.0153
WWW,2025,22,0.0177
Mobile phones,2003,1,0.0132
Mobile phones,2004,3,0.0326
Mobile phones,2005,0,0.0
Mobile phones,2006,2,0.0134
Mobile phones,2007,2,0.0098
Mobile phones,2008,1,0.0045
Mobile phones,2009,2,0.0072
Mobile phones,2010,3,0.01
Mobile phones,2011,4,0.0097
Mobile phones,2012,2,0.0053
Mobile phones,2013,9,0.0236
Mobile phones,2014,6,0.0131
Mobile phones,2015,2,0.0042
Mobile phones,2016,6,0.0111
Mobile phones,2017,5,0.0083
Mobile phones,2018,5,0.0075
Mobile phones,2019,11,0.0156
Mobile phones,2020,17,0.0224
Mobile phones,2021,13,0.0174
Mobile phones,2022,10,0.0157
Mobile phones,2023,15,0.017
Mobile phones,2024,8,0.0077
Mobile phones,2025,9,0.0073
Tabletop & multitouch,2006,3,0.0201
Tabletop & multitouch,2007,4,0.0195
Tabletop & multitouch,2008,4,0.0182
Tabletop & multitouch,2009,7,0.0251
Tabletop & multitouch,2010,7,0.0233
Tabletop & multitouch,2011,12,0.0291
Tabletop & multitouch,2012,6,0.0159
Tabletop & multitouch,2013,8,0.0209
Tabletop & multitouch,2014,7,0.0153
Tabletop & multitouch,2015,8,0.0167
Tabletop & multitouch,2016,13,0.024
Tabletop & multitouch,2017,5,0.0083
Tabletop & multitouch,2018,10,0.015
Tabletop & multitouch,2019,20,0.0283
Tabletop & multitouch,2020,17,0.0224
Tabletop & multitouch,2021,23,0.0308
Tabletop & multitouch,2022,12,0.0188
Tabletop & multitouch,2023,19,0.0216
Tabletop & multitouch,2024,11,0.0105
Tabletop & multitouch,2025,8,0.0064
Social media,2010,7,0.0233
Social media,2011,11,0.0267
Social media,2012,10,0.0265
