citing_wave,WWW,Mobile phones,Tabletop & multitouch,Social media,Smartphones & apps,Crowdsourcing (MTurk),Depth cameras (Kinect),Personal fabrication,Wearables & smartwatches,Deep learning,VR (consumer HMDs),Voice assistants,LLMs & generative AI,VR (1990s)
WWW,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mobile phones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabletop & multitouch,0.007,0.007,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
Social media,0.0,0.006,0.0,0.14,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartphones & apps,0.046,0.026,0.033,0.0,0.046,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowdsourcing (MTurk),0.0,0.0,0.007,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth cameras (Kinect),0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0
Personal fabrication,0.0,0.007,0.0,0.0,0.0,0.015,0.007,0.11,0.0,0.0,0.0,0.0,0.0,0.0
Wearables & smartwatches,0.0,0.015,0.05,0.003,0.035,0.006,0.009,0.0,0.047,0.0,0.023,0.0,0.0,0.003
Deep learning,0.015,0.023,0.042,0.099,0.031,0.095,0.004,0.0,0.004,0.046,0.011,0.019,0.0,0.0
VR (consumer HMDs),0.001,0.011,0.019,0.002,0.011,0.005,0.008,0.007,0.005,0.001,0.183,0.0,0.0,0.021
Voice assistants,0.004,0.0,0.0,0.032,0.054,0.051,0.0,0.004,0.004,0.013,0.003,0.283,0.0,0.0
LLMs & generative AI,0.013,0.002,0.006,0.044,0.034,0.032,0.001,0.004,0.006,0.021,0.021,0.094,0.292,0.0
VR (1990s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222
