wave,start,start_manual,papers,years_to_1pct,years_to_2pct,peak_year,peak_share,share_at_10y_over_peak,subs_with_5plus,sub_entropy,self_reference_share,cohesion_lift,absorbed_into,newcomer_author_share,baseline_newcomer_share,incumbents_from,ref_age,baseline_ref_age
WWW,1994,1994,221,0,0,1998,0.074,0.0,1,0.81,nan,nan,Web Search & Navigation 7; Fisheye & Scrolling Techniqu 2; CSCW Foundations 1,0.81,0.69,Fisheye & Scrolling Techniques 2; Remote Collaboration & Telepresence 1; CSCW Foundations 1,2.2,3.5
Mobile phones,2003,1999,152,0,1,2004,0.033,0.72,0,0.97,nan,nan,Pointing & Target Selection 2; Text Entry 2; Pen & Sketch Input 1,0.36,0.63,Children's Play & Learning Environments 2; CSCW Foundations 1; Cognitive Modeling & Mixed Small Topics 1,5.8,5.7
Tabletop & multitouch,2006,2005,216,0,0,2021,0.031,0.78,1,0.93,0.118,10.9,Tabletop Collaboration 5; Pen & Sketch Input 4; Public & Ambient Displays 2,0.4,0.62,Tangible Interaction 3; Tabletop Collaboration 3; 3D Pointing & VR Interaction 3,6.9,5.6
Social media,2010,2007,565,0,0,2022,0.064,0.8,3,0.72,0.14,19.6,Social Media & Mental Health 22; Crisis Informatics 9; Wikipedia & Open Source 5,0.61,0.56,Wikipedia & Open Source 3; Enterprise Social Media & Crowdfunding 3; Tangible Interaction 2,3.1,5.4
Smartphones & apps,2012,2008,446,1,4,2019,0.082,0.59,1,0.94,0.046,9.5,Mobile Information Needs & T 6; Ubicomp Privacy & Home Autom 4; Text Entry 3,0.77,0.53,Bodily Play & Spectator Experience 2; Usable Security & Phishing 2; Authentication & Passwords 2,4.3,5.4
Crowdsourcing (MTurk),2008,2008,384,0,1,2016,0.063,0.48,3,0.88,0.316,51.2,Crowdsourcing & Human Comput 11; Wikipedia & Open Source 5; Data Visualization 5,0.45,0.59,Web Search & Navigation 4; Bodily Play & Spectator Experience 4; Wikipedia & Open Source 2,3.8,5.4
Depth cameras (Kinect),2016,2011,31,,,2017,0.008,,0,0.96,0.011,5.2,Bodily Play & Spectator Expe 3; 3D Pointing & VR Interaction 2; Cross-device & Large Display 2,0.4,0.52,Bodily Play & Spectator Experience 5; Text Entry 4; Email & Web Revisitation 2,5.7,5.7
Personal fabrication,2014,2012,277,1,5,2021,0.05,0.68,2,0.78,0.11,19.7,Digital Fabrication 13; Printed Electronics 5; Data Physicalization & Bio-m 2,0.51,0.53,Sustainable HCI 2; Tangible Interaction 2; Video Interfaces & Editing 2,4.7,5.6
Wearables & smartwatches,2016,2014,94,0,,2024,0.016,,1,0.92,0.047,13.8,Hand Input & Gesture Sensing 6; Self-tracking & Reflection 4; Tactile & Thermal Feedback 4,0.43,0.52,Text Entry 5; Pointing & Target Selection 4; Social Media & Mental Health 3,5.3,5.7
Deep learning,2016,2015,148,1,4,2021,0.031,,1,0.96,0.046,13.9,Social Media & Mental Health 5; End-user Programming & UI De 3; Visual Accessibility 3,0.55,0.52,Crowdsourcing & Human Computation 4; Crisis Informatics 3; Autonomous Vehicles & Pedestrians 3,5.1,5.7
VR (consumer HMDs),2016,2016,733,1,2,2020,0.108,,11,0.81,0.183,41.9,VR Haptics 39; VR Locomotion & Presence 18; Mixed Reality Rooms & Video 15,0.6,0.52,Video Interfaces & Editing 6; Touch & Multi-touch Input 5; Pointing & Target Selection 4,5.3,5.7
Voice assistants,2017,2016,350,1,2,2020,0.05,,3,0.57,0.283,86.4,Voice & Conversational Agent 60; Robots & Agents in Education 6; Social Robots in the Field 5,0.66,0.51,Notifications & Interruptibility 3; ICTD & Rural Communities 3; Mobile Information Needs & Translation 3,5.4,5.8
LLMs & generative AI,2022,2022,872,1,1,2025,0.216,,30,0.7,0.292,10.8,Generative AI & Writing 253; Voice & Conversational Agent 86; Robots & Agents in Education 53,0.62,0.54,Data Visualization 13; Generative AI & Writing 12; Video Interfaces & Editing 11,4.7,6.0
VR (1990s),1995,1992,23,0,0,2000,0.056,0.0,0,0.92,nan,nan,Remote Collaboration & Telep 4; 3D Pointing & VR Interaction 2; Fisheye & Scrolling Techniqu 2,0.76,0.72,CSCW Foundations 2; Fisheye & Scrolling Techniques 1,3.9,3.4
