year,refs,same_sub_share,same_band_share,other_band_share,mean_ref_age,median_ref_age
1986,77,0.857,0.026,0.117,1.81,1
1988,84,0.75,0.119,0.131,2.52,2
1989,104,0.769,0.087,0.144,2.25,1
1990,210,0.61,0.171,0.219,2.1,2
1991,204,0.77,0.108,0.123,2.11,2
1992,467,0.67,0.148,0.182,2.3,2
1993,143,0.713,0.147,0.14,2.71,3
1994,379,0.649,0.135,0.216,3.51,3
1995,457,0.621,0.147,0.232,3.6,3
1996,537,0.613,0.149,0.238,3.63,4
1997,494,0.551,0.152,0.298,3.66,3
1998,689,0.639,0.147,0.215,3.54,3
1999,556,0.59,0.099,0.311,3.89,3
2000,942,0.521,0.153,0.326,4.36,4
2001,606,0.536,0.12,0.343,4.63,4
2002,1083,0.546,0.134,0.32,4.87,4
2003,853,0.517,0.154,0.329,4.59,3
2004,1541,0.476,0.162,0.362,5.22,4
2005,1047,0.511,0.168,0.321,5.53,4
2006,1959,0.497,0.167,0.336,5.45,4
2007,1735,0.524,0.176,0.3,5.63,4
2008,2655,0.497,0.174,0.328,5.53,4
2009,2424,0.508,0.183,0.309,5.26,4
2010,3572,0.505,0.172,0.322,5.35,4
2011,3947,0.487,0.198,0.315,5.63,4
2012,5256,0.513,0.165,0.322,5.54,4
2013,5579,0.51,0.179,0.311,5.28,3
2014,7417,0.502,0.187,0.311,5.47,4
2015,8118,0.5,0.198,0.302,5.26,4
2016,11273,0.493,0.186,0.321,5.33,4
2017,15194,0.492,0.189,0.319,5.51,4
2018,17683,0.487,0.198,0.315,5.53,4
2019,20292,0.491,0.193,0.316,5.64,4
2020,21571,0.501,0.196,0.302,5.69,4
2021,30006,0.48,0.207,0.313,5.8,4
2022,31480,0.472,0.2,0.328,6.01,4
2023,35784,0.481,0.202,0.317,6.05,5
2024,44703,0.49,0.202,0.308,5.98,5
2025,55224,0.485,0.204,0.311,5.86,4
2026,35824,0.476,0.202,0.322,6.12,4
