sub,name,year,founder_paper,citers,citers_outside,years_to_10_outside,self_share_first20
0,Speculative & Critical Design,2007,Research through design as a method for interaction design research in,632,613,3,0.3
0,Speculative & Critical Design,2012,What should we expect from research through design?,383,378,2,0.05
0,Speculative & Critical Design,2014,Research through design fiction,145,139,2,0.15
1,"Gender, Intimacy & Safety",2010,Feminist HCI,451,438,3,0.25
1,"Gender, Intimacy & Safety",2010,Postcolonial computing,274,265,3,0.15
1,"Gender, Intimacy & Safety",2018,Design Within a Patriarchal Society,104,90,2,0.15
3,Gig Work & Labor,2013,Turkopticon,272,265,2,0.05
3,Gig Work & Labor,2015,Working with Machines,154,140,2,0.15
3,Gig Work & Labor,2016,Standing Out from the Crowd,117,117,1,0.0
4,Civic Participation,2015,Data-in-Place,101,98,1,0.1
4,Civic Participation,2015,Strangers at the Gate,131,118,3,0.15
4,Civic Participation,2014,PosterVote,52,35,2,0.4
6,Crisis Informatics,2011,"""Voluntweeters""",105,82,3,0.35
6,Crisis Informatics,2010,Microblogging during two natural hazards events,92,80,2,0.15
6,Crisis Informatics,2007,Citizen communications in crisis,58,51,6,0.25
7,ICTD & Rural Communities,2010,Avaaj Otalo,86,84,3,0.1
7,ICTD & Rural Communities,2010,Mobile-izing health workers in rural India,53,51,7,0.1
7,ICTD & Rural Communities,2012,"""Yours is better!""",97,88,5,0.3
9,"Religion, Migration & Digital Life",2006,Technology in spiritual formation,39,34,12,0.25
9,"Religion, Migration & Digital Life",2006,"No More SMS from Jesus: Ubicomp, Religion and Techno-spiritual Practic",54,54,5,0.0
9,"Religion, Migration & Digital Life",2007,Sabbath day home automation,92,91,2,0.05
10,CSCW Foundations,1988,Why CSCW applications fail: problems in the design and evaluationof or,148,148,3,0.0
10,CSCW Foundations,1992,Faltering from ethnography to design,58,55,5,0.15
10,CSCW Foundations,1992,Ethnographically-informed systems design for air traffic control,50,46,6,0.2
12,Crowdsourcing & Human Computation,2010,Soylent,168,140,2,0.35
12,Crowdsourcing & Human Computation,2008,Crowdsourcing user studies with Mechanical Turk,212,192,3,0.25
12,Crowdsourcing & Human Computation,2011,CrowdForge,103,94,3,0.25
13,Wikipedia & Open Source,2007,SuggestBot,66,57,4,0.1
13,Wikipedia & Open Source,2007,"He says, she says",90,80,4,0.3
13,Wikipedia & Open Source,2008,Harnessing the wisdom of crowds in wikipedia,87,72,4,0.35
15,Crisis Informatics & Misinformation,2018,Falling for Fake News,37,37,3,0.0
15,Crisis Informatics & Misinformation,2009,NewsCube,44,40,7,0.15
15,Crisis Informatics & Misinformation,2018,To Label or Not to Label,22,19,5,0.15
16,Live Streaming,2014,Streaming on twitch,125,123,3,0.1
16,Live Streaming,2016,Meerkat and Periscope,53,50,3,0.15
16,Live Streaming,2017,"What Makes Live Events Engaging on Facebook Live, Periscope, and Snapc",48,47,2,0.05
18,Self-tracking & Reflection,2010,A stage-based model of personal informatics systems,349,346,3,0.05
18,Self-tracking & Reflection,2015,A lived informatics model of personal informatics,248,201,2,0.5
18,Self-tracking & Reflection,2014,Personal tracking as lived informatics,254,251,1,0.05
19,Chronic Care & Caregiving,2008,MAHI,156,148,3,0.15
19,Chronic Care & Caregiving,2016,Boundary Negotiating Artifacts in Personal Informatics,110,95,1,0.2
19,Chronic Care & Caregiving,2013,Caring for caregivers,103,95,4,0.1
20,Social Media & Mental Health,2017,"Sensitive Self-disclosures, Responses, and Social Support on Instagram",146,128,1,0.25
20,Social Media & Mental Health,2016,Understanding Social Media Disclosures of Sexual Abuse Through the Len,154,113,2,0.5
20,Social Media & Mental Health,2011,"It's not that i don't have problems, i'm just not putting them on face",124,115,2,0.0
21,Behavior Sensing,2014,StudentLife,130,111,3,0.25
21,Behavior Sensing,2015,Trajectories of depression,71,67,3,0.1
21,Behavior Sensing,2018,Tracking Depression Dynamics in College Students Using Mobile Phone an,57,48,2,0.2
22,Stress & Mood Technology,2012,Engagement with online mental health interventions,50,41,5,0.15
22,Stress & Mood Technology,2016,EmotionCheck,48,44,4,0.15
22,Stress & Mood Technology,2010,Mind the body!,45,39,8,0.2
23,Persuasive Health & Activity,2006,Fish’n’Steps: Encouraging Physical Activity with an Interactive Comput,179,174,2,0.1
23,Persuasive Health & Activity,2006,Design requirements for technologies that encourage physical activity,157,150,2,0.2
23,Persuasive Health & Activity,2008,Activity sensing in the wild,215,196,3,0.3
24,Sleep & Family Routines,2015,Snack Buddy,58,57,4,0.05
24,Sleep & Family Routines,2012,Lullaby,73,61,3,0.35
24,Sleep & Family Routines,2011,Opportunities for computing technologies to support healthy sleep beha,37,30,7,0.3
25,Parkinson's & Mobility Support,2011,Motivating mobility,34,30,6,0.15
25,Parkinson's & Mobility Support,2015,Designing for and with People with Parkinson's,15,11,10,0.27
25,Parkinson's & Mobility Support,2016,Motivating Stroke Rehabilitation Through Music,9,9,,0.0
26,Smart Home Automation,2006,Principles of Smart Home Control,68,55,5,0.45
26,Smart Home Automation,2002,Unremarkable computing,91,87,3,0.05
26,Smart Home Automation,2008,More than meets the eye,36,28,7,0.35
27,Youth Online Safety,2017,Parental Control vs. Teen Self-Regulation,66,44,4,0.4
27,Youth Online Safety,2018,Safety vs. Surveillance,55,40,3,0.3
27,Youth Online Safety,2016,Dear Diary,49,25,6,0.5
28,Usable Security & Phishing,2006,Why phishing works,40,40,5,0.0
28,Usable Security & Phishing,2008,You've been warned,47,41,6,0.2
28,Usable Security & Phishing,2006,Do security toolbars actually prevent phishing attacks?,24,24,5,0.0
29,Photo Sharing & Privacy,2003,"Unpacking ""privacy"" for a networked world",195,194,2,0.0
29,Photo Sharing & Privacy,2014,Privacy behaviors of lifeloggers using wearable cameras,66,55,3,0.2
29,Photo Sharing & Privacy,2011,We're in it together,83,82,4,0.0
30,Authentication & Passwords,2013,Patterns in the wild,30,23,4,0.35
30,Authentication & Passwords,2012,Touch me once and i know it's you!,39,29,5,0.5
30,Authentication & Passwords,2009,Can i borrow your phone?,37,37,5,0.0
31,Smart-home Privacy,2018,"Alexa, Are You Listening?",114,111,2,0.0
31,Smart-home Privacy,2018,User Perceptions of Smart Home IoT Privacy,71,71,3,0.0
31,Smart-home Privacy,2019,Privacy Perceptions and Designs of Bystanders in Smart Homes,62,58,2,0.05
32,App Permissions & Policy,2012,Expectation and purpose,69,58,4,0.25
32,App Permissions & Policy,2010,Standardizing privacy notices,42,38,10,0.1
32,App Permissions & Policy,2004,Privacy policies as decision-making tools,41,41,12,0.0
35,Task Switching at Work,2004,A diary study of task switching and interruptions,142,130,2,0.1
35,Task Switching at Work,2004,"""Constant, constant, multi-tasking craziness""",115,101,3,0.1
35,Task Switching at Work,2005,No task left behind?,77,69,3,0.1
36,Notifications & Interruptibility,2004,"If not now, when?",101,97,6,0.2
36,Notifications & Interruptibility,2005,Using context-aware computing to reduce the perceived burden of interr,76,75,7,0.0
36,Notifications & Interruptibility,2003,Predicting human interruptibility with sensors,64,57,2,0.3
39,Digital Self-control,2015,NUGU,67,51,4,0.35
39,Digital Self-control,2016,MyTime,68,61,3,0.2
39,Digital Self-control,2016,Lock n' LoL,59,47,3,0.3
41,Email & Peripheral Displays,1996,Email overload,107,93,7,0.35
41,Email & Peripheral Displays,2003,Taking email to task,62,60,2,0.05
41,Email & Peripheral Displays,1988,More than just a communication system: diversity in the use of electro,23,20,16,0.15
43,Automated Driving,2017,SupportingTrust in Autonomous Driving,27,26,4,0.05
43,Automated Driving,2014,Evaluating multimodal driver displays under varying situational urgenc,18,14,8,0.22
43,Automated Driving,2017,Priming Drivers before Handover in Semi-Autonomous Cars,11,9,,0.18
44,Dementia & Ageing Care,2017,A Critical Lens on Dementia and Design in HCI,83,70,2,0.15
44,Dementia & Ageing Care,2017,The Value of Experience-Centred Design Approaches in Dementia Research,40,32,3,0.35
44,Dementia & Ageing Care,2012,"Empathy, participatory design and people with dementia",72,67,5,0.2
45,Autonomous Vehicle Communication,1982,Analogy considered harmful,15,14,31,0.07
45,Autonomous Vehicle Communication,1989,Skilled financial planning: the cost of translating ideas into action,8,8,,0.0
45,Autonomous Vehicle Communication,1989,Programmable user models for predictive evaluation of interface design,8,4,,0.5
46,Memory & Reminiscence,2008,AutoTopography,61,52,4,0.2
46,Memory & Reminiscence,2002,Requirements for photoware,66,65,4,0.0
46,Memory & Reminiscence,2003,Ambiguity as a resource for design,407,384,3,0.3
47,Sustainable HCI,2010,Mapping the landscape of sustainable HCI,261,256,2,0.0
47,Sustainable HCI,2010,The design of eco-feedback technology,148,144,2,0.05
47,Sustainable HCI,2007,Sustainable interaction design,239,231,2,0.1
49,Bio-materials & Sustainable Making,2019,Myco-accessories,66,58,3,0.15
49,Bio-materials & Sustainable Making,2015,bioLogic,119,87,3,0.35
49,Bio-materials & Sustainable Making,2021,"Unmaking: Enabling and Celebrating the Creative Material of Failure, D",77,73,2,0.1
50,Playful Food Experiences,2008,Celebratory technology,121,121,4,0.0
50,Playful Food Experiences,2012,Telematic dinner party,43,38,8,0.1
