award,award_year,paper_year,title,venue,sub_name,sub_size,in_sub_cites,rank_in_sub,rank_in_early_quartile
UIST,2023,2010,VizWiz,uist,Visual Accessibility,399,107,1,1
UIST,2022,2011,OmniTouch,uist,Hand Input & Gesture Sensing,880,98,3,3
UIST,2021,2011,KinectFusion,uist,Augmented Reality Collaboration,231,19,16,16
UIST,2020,2010,Soylent,uist,Crowdsourcing & Human Computation,391,91,1,1
UIST,2018,2007,SearchTogether,uist,Search & Recommendation,395,32,1,
UIST,2017,2002,Ambient touch,uist,VR Haptics,755,17,82,60
UIST,2016,2005,Low-cost multi-touch sensing through frustrated total intern,uist,Touch & Multi-touch Input,536,53,3,3
UIST,2015,2001,Phidgets,uist,Printed Electronics,318,58,2,2
UIST,2014,2004,SHARK2: a large vocabulary shorthand writing system for pen-,,,,,,
UIST,2013,1995,The world through the computer,uist,Tangible Interaction,884,9,100,65
UIST,2012,2001,DiamondTouch: a multi-user touch technology,,,,,,
UIST,2011,2000,Sensing techniques for mobile interaction,uist,Touch & Multi-touch Input,536,37,7,5
UIST,2010,1993,Windows on the world,uist,Mixed Reality Systems,229,17,15,5
UIST,2009,1997,The metaDESK,uist,Tangible Interaction,884,46,8,8
UIST,2008,1991,SUIT: the Pascal of user interface toolkits,,,,,,
UIST,2007,1993,SpeechSkimmer,uist,Meeting Capture & Reading,253,7,37,21
UIST,2006,1992,The information grid,uist,Fisheye & Scrolling Techniques,314,1,153,57
UIST,2005,1991,Issues in combining marking and direct manipulation techniqu,uist,Menus & Command Selection,188,14,19,9
UIST,2004,1993,Animation: from cartoons to the user interface,uist,GUI Toolkits & Web Interfaces,752,17,29,4
UIST,2003,1991,The DigitalDesk calculator,uist,Tangible Interaction,884,23,31,26
CSCW,2025,2013,Hollaback!,cscw,"Gender, Intimacy & Safety",513,33,18,17
CSCW,2024,1992,Faltering from ethnography to design,cscw,CSCW Foundations,139,17,2,2
CSCW,2022,1988,Patterns of contact and communication in scientific research,cscw,Distributed Team Awareness,215,21,4,4
CSCW,2021,1996,Re-place-ing space,cscw,Civic Participation,322,30,12,11
CSCW,2020,2004,Territoriality in collaborative tabletop workspaces,cscw,Tabletop Collaboration,152,49,1,1
CSCW,2019,1994,GroupLens: an open architecture for collaborative filtering ,,,,,,
