corpus,window_prev,window,clusters_prev,motor_prev,clusters,motor,motor_persisted,motor_persist_rate,cit_subfields,cit_persisted,cit_persist_rate
CHI,1994-1998,1999-2003,0,0,0,0,0,,3,1,0.33
CHI,1999-2003,2004-2008,0,0,1,1,0,0.0,8,3,0.38
CHI,2004-2008,2009-2013,1,1,5,3,0,0.0,36,7,0.19
CHI,2009-2013,2014-2018,5,3,9,4,0,0.0,55,32,0.58
CHI,2014-2018,2019-2023,9,4,10,3,0,0.0,72,43,0.6
CHI,2019-2023,2024-2026,10,3,9,3,1,0.33,58,55,0.95
13 venues,1994-1998,1999-2003,3,2,6,2,0,0.0,21,11,0.52
13 venues,1999-2003,2004-2008,6,2,7,3,1,0.33,36,21,0.58
13 venues,2004-2008,2009-2013,7,3,11,3,0,0.0,79,33,0.42
13 venues,2009-2013,2014-2018,11,3,8,2,0,0.0,105,77,0.73
13 venues,2014-2018,2019-2023,8,2,8,2,0,0.0,108,100,0.93
13 venues,2019-2023,2024-2026,8,2,7,2,0,0.0,96,96,1.0
