year,papers,mean_depth,median_depth,p90_depth,share_depth0
1981,80,0.0,0,0,1.0
1982,74,0.068,0,0,0.932
1983,59,0.305,0,1,0.746
1985,44,0.295,0,1,0.795
1986,147,0.51,0,2,0.646
1987,1,0.0,0,0,1.0
1988,102,0.745,0,2,0.559
1989,98,1.133,0,4,0.541
1990,120,2.017,1,5,0.458
1991,121,2.388,2,6,0.38
1992,268,2.575,0,7,0.507
1993,66,3.53,3,8,0.364
1994,125,5.192,6,9,0.224
1995,151,5.397,7,10,0.238
1996,232,4.651,3,11,0.427
1997,293,5.229,4,12,0.392
1998,269,6.502,8,13,0.32
1999,223,7.964,10,15,0.283
2000,409,6.264,3,15,0.44
2001,228,9.171,12,17,0.246
2002,371,8.784,11,18,0.329
2003,362,9.345,12,19,0.326
2004,561,10.56,14,20,0.298
2005,502,10.556,14,21,0.337
2006,723,11.45,15,22,0.32
2007,791,12.129,16,23,0.276
2008,1036,13.41,18,25,0.284
2009,1183,13.142,18,26,0.346
2010,1546,14.465,20,28,0.342
2011,1513,15.897,22,30,0.313
2012,1961,17.74,24,31,0.264
2013,1797,19.825,27,33,0.23
2014,2169,20.422,28,34,0.26
2015,2104,22.843,30,36,0.227
2016,2382,24.984,33,38,0.194
2017,2495,28.551,36,40,0.15
2018,2731,28.443,37,41,0.188
2019,2907,30.797,39,43,0.17
2020,2474,34.876,41,45,0.116
2021,2884,37.771,44,47,0.099
2022,3018,37.224,46,49,0.146
2023,3091,40.169,48,51,0.115
2024,3912,41.506,50,54,0.133
2025,4702,40.327,52,57,0.199
2026,3584,39.328,53,59,0.261
