sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
0,Speculative & Critical Design,"Work, Community & Society",851,437,0.667,0.662,0.861,40
1,"Gender, Intimacy & Safety","Work, Community & Society",513,178,0.566,0.56,0.82,45
2,Gender & Algorithmic Bias,"Work, Community & Society",470,153,0.625,0.611,0.882,58
3,Gig Work & Labor,"Work, Community & Society",371,139,0.615,0.597,0.832,41
4,Civic Participation,"Work, Community & Society",322,178,0.574,0.584,0.822,37
5,Infrastructure & Making,"Work, Community & Society",275,153,0.604,0.611,0.852,36
6,Crisis Informatics,"Work, Community & Society",234,132,0.73,0.731,0.882,47
7,ICTD & Rural Communities,"Work, Community & Society",225,135,0.667,0.656,0.892,28
8,Race & Social Justice in HCI,"Work, Community & Society",172,45,0.579,0.575,0.867,45
9,"Religion, Migration & Digital Life","Work, Community & Society",161,62,0.607,0.591,0.82,46
10,CSCW Foundations,"Work, Community & Society",139,102,0.903,0.847,0.908,39
11,Data Work & Crypto Economies,"Work, Community & Society",156,71,0.694,0.678,0.823,29
12,Crowdsourcing & Human Computation,Online Communities & Crowds,391,282,0.725,0.715,0.868,35
13,Wikipedia & Open Source,Online Communities & Crowds,365,268,0.778,0.758,0.824,36
14,Moderation & Online Harassment,Online Communities & Crowds,258,68,0.595,0.611,0.837,71
15,Crisis Informatics & Misinformation,Online Communities & Crowds,216,64,0.814,0.786,0.883,49
16,Live Streaming,Online Communities & Crowds,173,84,0.705,0.693,0.849,37
17,Crowdfunding & Online Feedback,Online Communities & Crowds,368,279,0.789,0.745,0.919,32
18,Self-tracking & Reflection,Health & Wellbeing,427,174,0.579,0.584,0.744,49
19,Chronic Care & Caregiving,Health & Wellbeing,374,190,0.554,0.557,0.834,41
20,Social Media & Mental Health,Health & Wellbeing,343,168,0.65,0.654,0.872,62
21,Behavior Sensing,Health & Wellbeing,277,135,0.824,0.79,0.926,48
22,Stress & Mood Technology,Health & Wellbeing,201,80,0.674,0.674,0.878,53
23,Persuasive Health & Activity,Health & Wellbeing,158,113,0.775,0.75,0.824,38
24,Sleep & Family Routines,Health & Wellbeing,120,59,0.59,0.612,0.808,48
25,Parkinson's & Mobility Support,Health & Wellbeing,71,34,0.75,0.757,0.885,23
26,Smart Home Automation,"Privacy, Security & Smart Homes",199,145,0.811,0.775,0.872,45
27,Youth Online Safety,"Privacy, Security & Smart Homes",162,53,0.667,0.661,0.868,69
28,Usable Security & Phishing,"Privacy, Security & Smart Homes",152,75,0.861,0.828,0.875,62
29,Photo Sharing & Privacy,"Privacy, Security & Smart Homes",149,84,0.712,0.71,0.834,44
30,Authentication & Passwords,"Privacy, Security & Smart Homes",145,101,0.857,0.838,0.882,51
31,Smart-home Privacy,"Privacy, Security & Smart Homes",130,43,0.658,0.692,0.823,70
32,App Permissions & Policy,"Privacy, Security & Smart Homes",122,46,0.818,0.801,0.844,49
