sub,name,band,papers,external_refs_seen,f1,f1_share,f2,f2_share,f3,f3_share,top_sources
0,3D Pointing & VR Interaction,Input & Interaction Techniques,675,589,graphics,0.3,psychology,0.15,social science,0.07,ACM SIGGRAPH Computer Graphics (56) / IEEE Computer Graphics and Applications (29) / 1992 symposium on Interactive 3D graphics  - SI3D '92 (19) / Communications of the ACM (18)
1,RF & Radar Sensing,Input & Interaction Techniques,656,623,engineering,0.14,other,0.12,signal/sensing,0.11,21st Annual International Conference on Mobile Computing and (17) / IEEE Transactions on Mobile Computing (13) / 20th annual international conference on Mobile computing and (12) / IEEE Transactions on Biomedical Engineering (11)
2,Wearable Activity Recognition,Input & Interaction Techniques,535,353,ml/ai,0.22,graphics,0.17,cs general,0.13,"IEEE Pervasive Computing (16) / Seventh IEEE International Symposium on Wearable Computers,  (13) / Computer (9) / Eighth International Symposium on Wearable Computers (9)"
3,Pointing & Target Selection,Input & Interaction Techniques,523,391,psychology,0.23,hci (journals & other venues),0.15,human factors,0.15,Human-Computer Interaction (29) / Journal of Experimental Psychology General (18) / Human Factors The Journal of the Human Factors and Ergonomic (18) / Journal of Experimental Psychology (17)
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,501,321,hci (journals & other venues),0.16,other,0.13,ml/ai,0.09,Communications of the ACM (14) / Human-Computer Interaction (12) / SIGCHI conference on Human factors in computing systems  - C (9) / Personal and Ubiquitous Computing (9)
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,463,199,graphics,0.25,hci (journals & other venues),0.15,other,0.13,ACM SIGGRAPH Computer Graphics (24) / 1986 workshop on Interactive 3D graphics  - SI3D '86 (15) / Communications of the ACM (14) / Human-Computer Interaction (11)
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,444,292,ml/ai,0.15,hci (journals & other venues),0.12,graphics,0.12,Communications of the ACM (12) / SIGCHI conference on Human factors in computing systems  - C (12) / ACM SIGGRAPH Computer Graphics (8) / International Journal of Man-Machine Studies (8)
7,Pen & Sketch Input,Input & Interaction Techniques,414,302,other,0.15,psychology,0.12,graphics,0.1,SIGCHI conference on Human factors in computing systems  - C (22) / ACM SIGGRAPH Computer Graphics (15) / Communications of the ACM (12) / SIGCHI Conference on Human Factors in Computing Systems (9)
8,Text Entry,Input & Interaction Techniques,399,257,hci (journals & other venues),0.21,psychology,0.16,other,0.11,Human-Computer Interaction (28) / Behaviour and Information Technology (13) / SIGCHI conference on Human factors in computing systems  - C (11) / Communications of the ACM (10)
9,Touch & Multi-touch Input,Input & Interaction Techniques,308,213,graphics,0.15,social science,0.1,hci (journals & other venues),0.09,Communications of the ACM (9) / IEEE Computer Graphics and Applications (9) / ACM Transactions on Information Systems (7) / ACM SIGGRAPH Computer Graphics (7)
11,VR Haptics,"Tangible, VR & Fabrication",684,530,psychology,0.17,graphics,0.11,robotics/control,0.1,PRESENCE Virtual and Augmented Reality (37) / IEEE Computer Graphics and Applications (13) / Perception & Psychophysics (13) / The Journal of the Acoustical Society of America (11)
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",679,351,other,0.13,psychology,0.13,graphics,0.08,Communications of the ACM (11) / IEEE Computer Graphics and Applications (8) / Computer (7) / IBM Systems Journal (7)
13,Tangible Interaction,"Tangible, VR & Fabrication",674,414,social science,0.22,other,0.12,hci (journals & other venues),0.09,Communications of the ACM (71) / SIGCHI conference on Human factors in computing systems  - C (9) / Conference companion on Human factors in computing systems   (9) / Computer (9)
14,Printed Electronics,"Tangible, VR & Fabrication",518,190,other,0.14,cs general,0.13,hci (journals & other venues),0.09,14th annual ACM symposium on User interface software and tec (8) / IEEE Pervasive Computing (6) / Computer Music Journal (5) / IBM Systems Journal (5)
15,Digital Fabrication,"Tangible, VR & Fabrication",513,288,graphics,0.31,other,0.2,social science,0.09,"Works - Scholarship, Research, & Creative Expression (Swarth (22) / ACM Transactions on Graphics (20) / ACM SIGGRAPH 2006 Courses on   - SIGGRAPH '06 (15) / Communications of the ACM (9)"
16,E-textiles & Weaving,"Tangible, VR & Fabrication",477,191,other,0.23,social science,0.12,hci (journals & other venues),0.12,IBM Systems Journal (15) / Personal and Ubiquitous Computing (12) / TEXTILE (5) / Communications of the ACM (5)
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",344,305,psychology,0.21,robotics/control,0.12,hci (companion tracks),0.11,First Joint Eurohaptics Conference and Symposium on Haptic I (17) / Perception & Psychophysics (10) / CHI '01 Extended Abstracts on Human Factors in Computing Sys (9) / Science (8)
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",286,263,graphics,0.28,hci (journals & other venues),0.2,psychology,0.09,PRESENCE Virtual and Augmented Reality (48) / ACM Transactions on Graphics (13) / ACM SIGGRAPH Computer Graphics (8) / Eurographics (6)
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",198,101,graphics,0.21,social science,0.13,other,0.12,Communications of the ACM (5) / IEEE Computer Graphics and Applications (4) / Proceedings IEEE and ACM International Symposium on Augmente (4) / ACM Transactions on Information Systems (4)
20,Making & Makerspaces,"Tangible, VR & Fabrication",152,128,hci (journals & other venues),0.22,social science,0.19,other,0.16,Communications of the ACM (6) / International Journal of Man-Machine Studies (5) / Computer Supported Cooperative Work (CSCW) (4) / Human–Computer Interaction–INTERACT '87 (3)
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",320,211,graphics,0.18,hci (journals & other venues),0.15,other,0.1,ACM Transactions on Graphics (13) / interactions (10) / IEEE Transactions on Visualization and Computer Graphics (10) / Communications of the ACM (8)
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",351,192,other,0.19,psychology,0.18,social science,0.15,Studies in visual information processing (15) / Virtual Environments and Advanced Interface Design (12) / Communications of the ACM (12) / ACM Transactions on Information Systems (9)
23,Eye Tracker Quality & Gaze Estimation,"Gaze, Eye Tracking & Multimodal Sensing",260,126,hci,0.22,psychology,0.19,ml/ai,0.17,Computer Vision and Image Understanding (9) / IEEE Transactions on Biomedical Engineering (9) / 2003 IEEE Computer Society Conference on Computer Vision and (5) / 2005 IEEE Computer Society Conference on Computer Vision and (4)
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",255,144,psychology,0.38,other,0.1,ml/ai,0.08,Science (6) / Vision Research (6) / Human-Computer Interaction (6) / IEEE Transactions on Pattern Analysis and Machine Intelligen (6)
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",245,143,psychology,0.32,other,0.08,hci (journals & other venues),0.08,Psychological Bulletin (6) / Science (5) / Human Factors The Journal of the Human Factors and Ergonomic (4) / Human-Computer Interaction (4)
26,Gaze in Conversation & Groups,"Gaze, Eye Tracking & Multimodal Sensing",218,162,ml/ai,0.26,psychology,0.18,social science,0.1,IEEE Transactions on Pattern Analysis and Machine Intelligen (8) / CHI '02 Extended Abstracts on Human Factors in Computing Sys (4) / Proceedings IEEE Conference on Computer Vision and Pattern R (3) / Journal of Personality and Social Psychology (3)
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",200,145,software/systems,0.27,social science,0.14,other,0.14,Communications of the ACM (11) / 3rd symposium on Usable privacy and security (7) / second symposium on Usable privacy and security  - SOUPS '06 (7) / 11th ACM conference on Computer and communications security (5)
28,Affect Recognition,"Gaze, Eye Tracking & Multimodal Sensing",180,237,ml/ai,0.32,psychology,0.32,graphics,0.14,IEEE Transactions on Pattern Analysis and Machine Intelligen (29) / Face and Gesture 2011 (11) / IEEE Transactions on Affective Computing (9) / Image and Vision Computing (8)
29,Multimodal Sentiment & Speaking,"Gaze, Eye Tracking & Multimodal Sensing",163,240,ml/ai,0.33,psychology,0.28,graphics,0.09,IEEE Transactions on Pattern Analysis and Machine Intelligen (15) / Journal of Personality and Social Psychology (8) / Journal of Applied Psychology (5) / Pattern Recognition (4)
30,Fixation & Saccade Analysis,"Gaze, Eye Tracking & Multimodal Sensing",153,174,psychology,0.28,ml/ai,0.18,graphics,0.11,IEEE Transactions on Pattern Analysis and Machine Intelligen (8) / Vision Research (5) / Perception & Psychophysics (4) / Advances in psychology (3)
31,Gaze Calibration & Datasets,"Gaze, Eye Tracking & Multimodal Sensing",140,115,ml/ai,0.16,hci,0.13,social science,0.13,Communications of the ACM (10) / CHI '02 Extended Abstracts on Human Factors in Computing Sys (6) / CHI '03 extended abstracts on Human factors in computing sys (4) / Proceedings Fourth IEEE International Conference on Automati (3)
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",307,200,psychology,0.3,ml/ai,0.12,graphics,0.1,"SPIE, the International Society for Optical Engineering/Proc (9) / Communications of the ACM (8) / Human Factors The Journal of the Human Factors and Ergonomic (7) / Visual Cognition (5)"
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",653,401,hci (journals & other venues),0.19,social science,0.15,psychology,0.14,Communications of the ACM (26) / PRESENCE Virtual and Augmented Reality (15) / SIGCHI conference on Human factors in computing systems  - C (14) / Human-Computer Interaction (14)
34,CSCW Foundations,"Collaboration, Displays & Mixed Reality",564,224,social science,0.33,other,0.19,psychology,0.13,Communications of the ACM (27) / Computer (13) / ACM Transactions on Information Systems (11) / Human-Computer Interaction (6)
35,Cross-device & Large Displays,"Collaboration, Displays & Mixed Reality",467,305,social science,0.2,other,0.13,hci (journals & other venues),0.12,Communications of the ACM (33) / SIGCHI conference on Human factors in computing systems  - C (15) / ACM Transactions on Information Systems (9) / ACM SIGGRAPH Computer Graphics (8)
36,UI Toolkits & Automatic Generation,"Collaboration, Displays & Mixed Reality",378,142,graphics,0.33,social science,0.14,software/systems,0.11,ACM SIGGRAPH Computer Graphics (34) / Communications of the ACM (11) / International Journal of Man-Machine Studies (8) / IEEE Transactions on Software Engineering (8)
37,AR Authoring & Assembly,"Collaboration, Displays & Mixed Reality",349,286,graphics,0.22,other,0.1,ml/ai,0.09,ACM Transactions on Graphics (26) / Communications of the ACM (8) / Computer (8) / IEEE Pervasive Computing (7)
38,Tabletop Collaboration,"Collaboration, Displays & Mixed Reality",294,190,hci (journals & other venues),0.23,social science,0.13,other,0.13,International Journal of Man-Machine Studies (9) / ACM Transactions on Information Systems (5) / Proceedings (5) / CHI 98 Conference Summary on Human Factors in Computing Syst (5)
39,Public & Ambient Displays,"Collaboration, Displays & Mixed Reality",288,155,social science,0.25,hci (journals & other venues),0.17,other,0.09,Communications of the ACM (8) / CHI 98 Conference Summary on Human Factors in Computing Syst (5) / ACM SIGCHI Bulletin (5) / SIGCHI conference on Human factors in computing systems  - C (5)
40,Real-time Groupware,"Collaboration, Displays & Mixed Reality",289,173,social science,0.32,cs general,0.22,software/systems,0.21,ACM Transactions on Information Systems (19) / Computer (16) / Communications of the ACM (9) / ACM Computing Surveys (9)
41,Social VR & Presence,"Collaboration, Displays & Mixed Reality",240,227,social science,0.24,psychology,0.21,hci (journals & other venues),0.14,PRESENCE Virtual and Augmented Reality (9) / Journal of Personality and Social Psychology (8) / CyberPsychology & Behavior (8) / Human-computer interaction series (6)
42,Mixed Reality Rooms & Video,"Collaboration, Displays & Mixed Reality",197,137,graphics,0.47,engineering,0.13,psychology,0.07,ACM Transactions on Graphics (8) / IEEE Transactions on Visualization and Computer Graphics (7) / IEEE Transactions on Pattern Analysis and Machine Intelligen (6) / IEEE Computer Graphics and Applications (6)
