sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
1,"Gender, Intimacy & Safety",hci,513,2009,18,nan,0.5,0.5,0.12,0.29,0.14,0.04
2,Gender & Algorithmic Bias,hci,470,2012,20,0.33,0.44,0.75,0.15,0.31,0.21,nan
3,Gig Work & Labor,hci,371,2013,34,0.67,0.73,0.54,0.33,0.31,0.19,nan
4,Civic Participation,hci,322,2010,18,0.44,0.4,0.27,0.39,0.37,0.41,0.03
5,Infrastructure & Making,hci,275,2010,14,0.0,0.62,0.69,0.39,0.21,0.23,0.07
6,Crisis Informatics,hci,234,2009,16,nan,0.55,0.71,0.73,0.33,0.42,0.12
7,ICTD & Rural Communities,hci,225,2007,24,1.0,0.83,0.43,0.31,0.4,0.18,0.11
8,Race & Social Justice in HCI,hci,172,2017,11,0.6,0.33,0.57,0.3,0.13,nan,nan
9,"Religion, Migration & Digital Life",hci,161,2014,12,0.5,0.86,0.5,0.33,0.08,0.05,nan
10,CSCW Foundations,hci,139,1988,7,0.75,0.33,0.36,0.18,0.0,nan,nan
11,Data Work & Crypto Economies,hci,156,2015,23,0.33,0.56,0.64,0.4,0.0,0.12,nan
12,Crowdsourcing & Human Computation,hci,391,2006,9,0.67,0.5,0.6,0.14,0.23,0.11,0.0
13,Wikipedia & Open Source,hci,365,2004,19,0.33,0.83,0.64,0.29,0.34,0.3,0.06
14,Moderation & Online Harassment,hci,258,2015,23,nan,0.73,0.61,0.14,0.18,0.23,nan
15,Crisis Informatics & Misinformation,hci,216,2013,14,0.4,0.75,0.5,0.0,0.0,0.0,nan
16,Live Streaming,hci,173,2014,24,0.62,0.67,0.56,0.22,0.19,0.31,nan
17,Crowdfunding & Online Feedback,hci,368,2002,4,nan,0.25,0.38,0.11,0.14,0.05,0.16
18,Self-tracking & Reflection,hci,427,2011,19,0.75,0.71,0.5,0.17,0.12,0.17,0.12
19,Chronic Care & Caregiving,hci,374,2008,18,nan,0.8,0.44,0.33,0.38,0.3,0.04
20,Social Media & Mental Health,hci,343,2011,14,0.0,0.62,0.29,0.3,0.26,0.23,0.0
21,Behavior Sensing,hci,277,2011,21,0.75,0.25,0.6,0.56,0.4,0.17,0.07
22,Stress & Mood Technology,hci,201,2013,21,0.33,0.5,0.14,0.43,0.0,0.28,nan
23,Persuasive Health & Activity,hci,158,2006,16,0.75,0.6,0.3,0.0,0.0,0.07,0.0
24,Sleep & Family Routines,hci,120,2014,24,0.5,0.71,0.5,0.3,0.12,0.38,nan
25,Parkinson's & Mobility Support,hci,71,2019,20,0.6,0.5,0.5,0.17,nan,nan,nan
