sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
0,Speculative & Critical Design,11329,2014,chi,Research through design fiction,10.1145/2556288.2557098,427,0.502,2618.0,414,0.07050359712230216,0.05825242718446602,24
0,Speculative & Critical Design,2242,1999,chi,Projected realities,10.1145/302979.303168,687,0.807,226.5,163,1.0,1.0,45
0,Speculative & Critical Design,3300,2003,chi,Technology probes,10.1145/642611.642616,683,0.803,1329.4,1425,0.589540412044374,0.11688311688311688,41
0,Speculative & Critical Design,4774,2007,chi,Research through design as a method for interaction design research in HCI,10.1145/1240624.1240704,573,0.673,2190.5,2246,0.733044733044733,0.19230769230769232,32
0,Speculative & Critical Design,561,1989,chi,Artifact as theory-nexus: hermeneutics meets theory-based design,10.1145/67449.67452,712,0.837,283.8,185,0.5897435897435898,0.625,60
0,Speculative & Critical Design,721,1990,chi,Contextual design: an emergent view of system design,10.1145/97243.97304,681,0.8,66.0,165,0.2564102564102564,0.6,42
0,Speculative & Critical Design,14771,2017,chi,On Speculative Enactments,10.1145/3025453.3025503,296,0.348,1964.8,241,-0.042340261739799843,-0.06788079470198675,20
0,Speculative & Critical Design,1432,1995,dis,Applying design methodology to software development,10.1145/225434.225444,679,0.798,233.2,99,0.3055555555555556,0.0,38
0,Speculative & Critical Design,9436,2013,chi,"What is ""critical"" about critical design?",10.1145/2470654.2466451,461,0.542,1747.5,480,0.04875148632580262,0.04142011834319527,26
0,Speculative & Critical Design,8894,2012,chi,What should we expect from research through design?,10.1145/2207676.2208538,465,0.546,2765.5,1094,-0.10920034393809114,-0.10909090909090909,26
1,"Gender, Intimacy & Safety",5156,2008,cscw,The view from the trenches,10.1145/1460563.1460656,410,0.799,611.6,84,0.021739130434782608,0.02,31
1,"Gender, Intimacy & Safety",6761,2010,chi,Postcolonial computing,10.1145/1753326.1753522,428,0.834,1538.7,763,0.8775510204081632,0.7837837837837838,29
1,"Gender, Intimacy & Safety",16464,2018,chi,“A Stalker's Paradise”,10.1145/3173574.3174241,277,0.54,1541.2,291,-0.09287925696594428,-0.085,19
1,"Gender, Intimacy & Safety",7123,2011,chi,Towards a feminist HCI methodology,10.1145/1978942.1979041,391,0.762,1538.1,502,-0.03770949720670391,-0.013636363636363636,28
1,"Gender, Intimacy & Safety",16693,2018,chi,Design Within a Patriarchal Society,10.1145/3173574.3174110,275,0.536,1967.2,198,-0.05591200733272227,-0.05345911949685535,19
1,"Gender, Intimacy & Safety",5463,2008,dis,The landscape's apprentice,10.1145/1394445.1394455,429,0.836,96.3,46,0.020161290322580645,0.02127659574468085,30
1,"Gender, Intimacy & Safety",6809,2010,chi,Feminist HCI,10.1145/1753326.1753521,435,0.848,3366.9,1098,0.40502183406113534,0.072,29
1,"Gender, Intimacy & Safety",6778,2010,chi,Intermediated technology use in developing communities,10.1145/1753326.1753718,410,0.799,900.3,228,0.6164383561643836,0.25,29
2,Gender & Algorithmic Bias,7745,2011,cscw,"Faceted identity, faceted lives",10.1145/1958824.1958880,371,0.789,514.2,169,0.6363636363636364,0.5471698113207547,28
2,Gender & Algorithmic Bias,5026,2008,chi,Keeping in touch by technology,10.1145/1357054.1357182,341,0.726,211.0,60,0.5,0.0,28
2,Gender & Algorithmic Bias,17572,2018,pacmhci,The Misgendering Machines,10.1145/3274357,231,0.491,1863.9,501,-0.03556187766714083,-0.03761061946902655,18
2,Gender & Algorithmic Bias,9030,2012,cscw,Finding a new normal,10.1145/2145204.2145314,339,0.721,422.3,112,-0.0012610340479192938,-0.03765690376569038,26
2,Gender & Algorithmic Bias,9575,2013,chi,Digital motherhood,10.1145/2470654.2470700,400,0.851,672.8,188,0.3939393939393939,0.5357142857142857,26
2,Gender & Algorithmic Bias,17510,2018,pacmhci,Safe Spaces and Safe Places,10.1145/3274424,260,0.553,2280.8,236,-0.07528089887640449,-0.08957952468007313,17
2,Gender & Algorithmic Bias,10283,2014,cscw,Social networking site use by mothers of young children,10.1145/2531602.2531603,397,0.845,635.2,169,-0.05752212389380531,-0.0945273631840796,25
2,Gender & Algorithmic Bias,23468,2021,pacmhci,Algorithmic Folk Theories and Identity: How TikTok Users Co-Produce Knowledge of Identity ,10.1145/3476046,136,0.289,1920.6,318,-0.07495069033530571,-0.07495069033530571,11
2,Gender & Algorithmic Bias,12336,2015,cscw,"Disclosure, Stress, and Support During Gender Transition on Facebook",10.1145/2675133.2675152,338,0.719,2053.8,215,0.1048951048951049,0.08374384236453201,24
2,Gender & Algorithmic Bias,19742,2020,chi,Designing Trans Technology,10.1145/3313831.3376669,157,0.334,1673.1,137,-0.07142857142857142,-0.05609756097560976,15
3,Gig Work & Labor,10211,2014,chi,Towards community-centered support for peer-to-peer service exchange,10.1145/2556288.2557061,290,0.782,250.5,118,1.0,1.0,26
3,Gig Work & Labor,4931,2008,chi,Designs on dignity,10.1145/1357054.1357155,294,0.792,317.6,187,0.3248730964467005,0.3142857142857143,32
3,Gig Work & Labor,4741,2007,chi,Social dynamics of early stage co-design in developing regions,10.1145/1240624.1240790,295,0.795,81.4,88,0.0014814814814814814,-0.011494252873563218,33
3,Gig Work & Labor,11622,2015,chi,Working with Machines,10.1145/2702123.2702548,274,0.739,2598.9,757,0.016643550624133148,0.021505376344086023,23
3,Gig Work & Labor,6151,2010,cscw,Survival needs and social inclusion,10.1145/1718918.1718993,291,0.784,242.0,70,0.01282051282051282,-0.1111111111111111,29
3,Gig Work & Labor,9961,2013,chi,Turkopticon,10.1145/2470654.2470742,304,0.819,3117.7,799,0.13769363166953527,0.17153284671532848,26
3,Gig Work & Labor,12436,2015,chi,The Promise of the Sharing Economy among Disadvantaged Communities,10.1145/2702123.2702189,278,0.749,1602.0,329,0.015503875968992248,0.03125,23
3,Gig Work & Labor,24444,2022,chi,Algorithmic Management Reimagined For Workers and By Workers: Centering Worker Well-Being ,10.1145/3491102.3501866,84,0.226,1761.1,154,-0.07320644216691069,-0.07320644216691069,10
3,Gig Work & Labor,13085,2016,cscw,Standing Out from the Crowd,10.1145/2818048.2820026,265,0.714,2362.6,225,-0.07419898819561552,-0.08843537414965986,22
