sub,sub_name,rank,year,venue,title,doi,in_sub_cites,in_sub_share,spc_out,cited_by,cd5,on_main_path,q1_year
0,3D Pointing & VR Interaction,1,1996,uist,The go-go interaction technique,10.1145/237091.237102,63,0.093,812.0,838,-0.058823529411764705,False,2009
0,3D Pointing & VR Interaction,2,2005,uist,"Distant freehand pointing and clicking on very large, high resolution displays",10.1145/1095034.1095041,42,0.062,1023.4,426,0.0,False,2009
0,3D Pointing & VR Interaction,3,1994,uist,A survey of design issues in spatial input,10.1145/192426.192501,32,0.047,685.9,356,-0.045454545454545456,False,2009
0,3D Pointing & VR Interaction,4,1994,tochi,Integrality and separability of input devices,10.1145/174630.174631,31,0.046,673.1,367,0.6666666666666666,False,2009
0,3D Pointing & VR Interaction,5,2007,chi,Shallow-depth 3d interaction,10.1145/1240624.1240798,30,0.044,975.5,173,-0.04807692307692308,False,2009
1,RF & Radar Sensing,1,2016,ubicomp,Gait recognition using wifi signals,10.1145/2971648.2971670,55,0.084,270.0,561,1.0,False,2019
1,RF & Radar Sensing,2,2016,ubicomp,Human respiration detection with commodity wifi devices,10.1145/2971648.2971744,54,0.082,1430.1,481,-0.03571428571428571,False,2019
1,RF & Radar Sensing,3,2016,chi,FingerIO,10.1145/2858036.2858580,53,0.081,1640.4,401,-0.05371900826446281,False,2019
1,RF & Radar Sensing,4,2015,chi,Smart Homes that Monitor Breathing and Heart Rate,10.1145/2702123.2702200,51,0.078,1417.5,895,0.32142857142857145,False,2019
1,RF & Radar Sensing,5,2019,imwut,FarSense,10.1145/3351279,50,0.076,1576.2,424,-0.248,False,2019
2,Wearable Activity Recognition,1,2012,iswc,Introducing a New Benchmarked Dataset for Activity Monitoring,10.1109/iswc.2012.13,50,0.093,238.0,1401,1.0,False,2013
2,Wearable Activity Recognition,2,2010,ubicomp,ElectriSense,10.1145/1864349.1864375,24,0.045,655.4,417,-0.15625,False,2013
2,Wearable Activity Recognition,3,2008,ubicomp,Discovery of activity patterns using topic models,10.1145/1409635.1409638,21,0.039,395.3,444,0.21621621621621623,False,2013
2,Wearable Activity Recognition,4,2012,ubicomp,USC-HAD,10.1145/2370216.2370438,18,0.034,72.5,537,1.0,False,2013
2,Wearable Activity Recognition,5,2013,iswc,On preserving statistical characteristics of accelerometry data using their empirical cumu,10.1145/2493988.2494353,18,0.034,132.4,144,-0.08333333333333333,False,2013
3,Pointing & Target Selection,1,2005,chi,The bubble cursor,10.1145/1054972.1055012,63,0.12,1615.3,591,-0.2916666666666667,False,2009
3,Pointing & Target Selection,2,1992,chi,Extending Fitts' law to two-dimensional tasks,10.1145/142750.142794,51,0.098,892.2,612,0.2,False,2009
3,Pointing & Target Selection,3,2004,chi,Semantic pointing,10.1145/985692.985758,48,0.092,1340.9,294,-0.0847457627118644,False,2009
3,Pointing & Target Selection,4,2007,chi,A predictive model of menu performance,10.1145/1240624.1240723,48,0.092,1020.3,303,-0.16129032258064516,False,2009
3,Pointing & Target Selection,5,2002,chi,More than dotting the i's --- foundations for crossing-based interfaces,10.1145/503376.503390,44,0.084,825.1,369,0.22580645161290322,False,2009
4,Hand Input & Gesture Sensing,1,2010,chi,Skinput,10.1145/1753326.1753394,114,0.228,3210.0,686,0.19393939393939394,False,2013
4,Hand Input & Gesture Sensing,2,2009,uist,Enabling always-available input with muscle-computer interfaces,10.1145/1622176.1622208,87,0.174,2446.8,323,0.18032786885245902,False,2013
4,Hand Input & Gesture Sensing,3,2012,uist,Digits,10.1145/2380116.2380139,86,0.172,2874.4,426,-0.1091703056768559,False,2013
4,Hand Input & Gesture Sensing,4,2011,uist,OmniTouch,10.1145/2047196.2047255,81,0.162,2578.3,556,-0.13793103448275862,False,2013
4,Hand Input & Gesture Sensing,5,2009,uist,Abracadabra,10.1145/1622176.1622199,59,0.118,1913.8,263,-0.11607142857142858,False,2013
5,Fisheye & Scrolling Techniques,1,1986,chi,Generalized fisheye views,10.1145/22627.22342,60,0.13,1524.3,887,1.0,False,1996
5,Fisheye & Scrolling Techniques,2,1991,chi,The perspective wall,10.1145/108844.108870,54,0.117,1498.4,702,0.6071428571428571,False,1996
5,Fisheye & Scrolling Techniques,3,1994,uist,Pad++,10.1145/192426.192435,43,0.093,1236.6,637,0.41509433962264153,False,1996
5,Fisheye & Scrolling Techniques,4,1993,uist,The document lens,10.1145/168642.168652,36,0.078,1116.0,296,0.0,False,1996
5,Fisheye & Scrolling Techniques,5,1991,chi,Cone Trees,10.1145/108844.108883,32,0.069,897.1,1160,-0.2777777777777778,False,1996
6,Gesture Elicitation & Recognition,1,2009,chi,User-defined gestures for surface computing,10.1145/1518701.1518866,141,0.318,3937.3,1293,0.07037037037037037,False,2012
6,Gesture Elicitation & Recognition,2,2007,uist,"Gestures without libraries, toolkits or training: a $1 recognizer for user interface proto",10.1145/1294211.1294238,114,0.257,3116.9,815,0.11267605633802817,False,2012
6,Gesture Elicitation & Recognition,3,2008,uist,OctoPocus,10.1145/1449715.1449724,65,0.146,1832.8,262,-0.05660377358490566,False,2012
6,Gesture Elicitation & Recognition,4,2009,chi,Using strokes as command shortcuts,10.1145/1518701.1519052,59,0.133,1680.3,153,-0.14285714285714285,False,2012
6,Gesture Elicitation & Recognition,5,2011,chi,User-defined motion gestures for mobile interaction,10.1145/1978942.1978971,53,0.119,1515.7,423,-0.11191335740072202,False,2012
7,Pen & Sketch Input,1,1998,chi,Beyond paper,10.1145/274644.274680,47,0.114,1166.3,322,0.0,False,2005
7,Pen & Sketch Input,2,1997,chi,A comparison of reading paper and on-line documents,10.1145/258549.258787,39,0.094,726.1,576,0.3125,False,2005
7,Pen & Sketch Input,3,2005,chi,Experimental analysis of mode switching techniques in pen-based user interfaces,10.1145/1054972.1055036,39,0.094,1204.6,175,-0.11458333333333333,False,2005
7,Pen & Sketch Input,4,2005,chi,Design and analysis of delimiters for selection-action pen gesture phrases in scriboli,10.1145/1054972.1055035,30,0.072,931.3,170,-0.06382978723404255,False,2005
