graph,rep,windows,persist,clusters,share
observed,0,1994-1998→1999-2003,10,16,0.625
observed,0,1999-2003→2004-2008,15,20,0.75
observed,0,2004-2008→2009-2013,18,26,0.692
observed,0,2009-2013→2014-2018,21,28,0.75
observed,0,2014-2018→2019-2023,13,23,0.565
observed,0,2019-2023→2024-2026,14,24,0.583
rewired,1,1994-1998→1999-2003,0,18,0.0
rewired,1,1999-2003→2004-2008,0,26,0.0
rewired,1,2004-2008→2009-2013,0,31,0.0
rewired,1,2009-2013→2014-2018,0,32,0.0
rewired,1,2014-2018→2019-2023,0,20,0.0
rewired,1,2019-2023→2024-2026,0,32,0.0
rewired,2,1994-1998→1999-2003,1,20,0.05
rewired,2,1999-2003→2004-2008,0,24,0.0
rewired,2,2004-2008→2009-2013,0,34,0.0
rewired,2,2009-2013→2014-2018,0,26,0.0
rewired,2,2014-2018→2019-2023,0,20,0.0
rewired,2,2019-2023→2024-2026,0,30,0.0
rewired,3,1994-1998→1999-2003,0,19,0.0
rewired,3,1999-2003→2004-2008,0,23,0.0
rewired,3,2004-2008→2009-2013,0,28,0.0
rewired,3,2009-2013→2014-2018,0,33,0.0
rewired,3,2014-2018→2019-2023,0,18,0.0
rewired,3,2019-2023→2024-2026,0,30,0.0
rewired,4,1994-1998→1999-2003,0,20,0.0
rewired,4,1999-2003→2004-2008,0,26,0.0
rewired,4,2004-2008→2009-2013,0,28,0.0
rewired,4,2009-2013→2014-2018,0,25,0.0
rewired,4,2014-2018→2019-2023,0,21,0.0
rewired,4,2019-2023→2024-2026,0,33,0.0
rewired,5,1994-1998→1999-2003,0,20,0.0
rewired,5,1999-2003→2004-2008,0,24,0.0
rewired,5,2004-2008→2009-2013,0,30,0.0
rewired,5,2009-2013→2014-2018,0,29,0.0
rewired,5,2014-2018→2019-2023,0,18,0.0
rewired,5,2019-2023→2024-2026,0,30,0.0
