sub,name,band,papers,birth,founding_papers,author_groups,largest_group_share,top_paper_share,flag_paper,top_paper,top_paper_doi,ext_trigger_share,ext_trigger,export_share,founder_share_y6
0,3D Pointing & VR Interaction,Input & Interaction Techniques,675,1992,22,19,0.136,0.244,0,The go-go interaction technique,10.1145/237091.237102,0.227,3DM: a three dimensional modeler using a head-mounted displa,0.795,0.09
1,RF & Radar Sensing,Input & Interaction Techniques,656,2013,57,30,0.158,0.079,0,Human respiration detection with commodity wifi devices,10.1145/2971648.2971744,0.193,Whole-home gesture recognition using wireless signals,0.818,0.2
2,Wearable Activity Recognition,Input & Interaction Techniques,535,2003,27,14,0.259,0.14,0,Fine-Grained Activity Recognition by Aggregating Abstract Object Usage,10.1109/iswc.2005.22,0.333,Activity Recognition from User-Annotated Acceleration Data,0.896,0.59
3,Pointing & Target Selection,Input & Interaction Techniques,523,1992,11,9,0.182,0.314,0,Extending Fitts' law to two-dimensional tasks,10.1145/142750.142794,0.364,Fitts' Law as a Research and Design Tool in Human-Computer I,0.75,0.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,501,1997,11,9,0.182,0.34,0,“Body coupled FingerRing”,10.1145/258549.258636,0.273,,0.642,nan
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,463,1986,20,18,0.15,0.476,1,Generalized fisheye views,10.1145/22627.22342,0.2,Virtual environment display system,0.881,0.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,444,1998,14,10,0.143,0.165,0,Visual similarity of pen gestures,10.1145/332040.332458,0.214,,0.676,0.0
7,Pen & Sketch Input,Input & Interaction Techniques,414,1990,16,14,0.188,0.18,0,A perceptually-supported sketch editor,10.1145/192426.192494,0.25,,0.727,0.0
8,Text Entry,Input & Interaction Techniques,399,1997,19,15,0.158,0.208,0,The design and evaluation of a high-performance soft keyboard,10.1145/302979.302983,0.211,Touch-typing with a stylus,0.667,0.29
9,Touch & Multi-touch Input,Input & Interaction Techniques,308,2001,16,15,0.125,0.343,1,Low-cost multi-touch sensing through frustrated total internal reflection,10.1145/1095034.1095054,0.188,Rock 'n' Scroll is here to stay [user interface],0.579,0.0
11,VR Haptics,"Tangible, VR & Fabrication",684,2008,30,24,0.133,0.249,0,PossessedHand,10.1145/1978942.1979018,0.1,"Distance Perception in Immersive Virtual Environments, Revis",0.687,0.0
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",679,2002,13,10,0.231,0.286,0,Gummi,10.1145/985692.985726,0.154,Interacting with paper on the DigitalDesk,0.593,0.15
13,Tangible Interaction,"Tangible, VR & Fabrication",674,1995,36,22,0.278,0.299,1,Tangible bits,10.1145/258549.258715,0.278,Interacting with paper on the DigitalDesk,0.743,0.5
14,Printed Electronics,"Tangible, VR & Fabrication",518,2007,34,20,0.265,0.167,0,Electronic popables,10.1145/1709886.1709909,0.176,DiamondTouch,0.545,0.17
15,Digital Fabrication,"Tangible, VR & Fabrication",513,2010,34,19,0.294,0.106,0,Interactive fabrication,10.1145/1935701.1935716,0.559,FAB: The Coming Revolution on Your Desktop--from Personal Co,0.455,0.17
16,E-textiles & Weaving,"Tangible, VR & Fabrication",477,2005,32,23,0.125,0.271,1,The LilyPad Arduino,10.1145/1357054.1357123,0.312,E-broidery: Design and fabrication of textile-based computin,0.574,0.25
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",344,2003,19,12,0.316,0.143,0,Tactile feedback for mobile interactions,10.1145/1240624.1240649,0.263,Perceptual Design of Haptic Icons,0.743,0.09
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",286,2000,15,13,0.2,0.263,0,Walking-pad,10.1145/1027933.1027948,0.133,Musings on Telepresence and Virtual Presence,0.838,
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",198,2001,13,11,0.154,0.383,1,Phidgets,10.1145/502348.502388,0.154,,0.7,0.12
20,Making & Makerspaces,"Tangible, VR & Fabrication",152,2011,40,26,0.1,0.14,0,Democratizing technology,10.1145/2470654.2481360,0.375,Rise of the expert amateur,0.609,0.33
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",320,2011,39,30,0.154,0.233,0,Opportunities and Challenges for Data Physicalization,10.1145/2702123.2702180,0.154,Beyond the Tyranny of the Pixel: Exploring the Physicality o,0.688,0.09
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",351,1998,20,14,0.15,0.283,0,Manual and gaze input cascaded (MAGIC) pointing,10.1145/302979.303053,0.35,Eye Tracking in Advanced Interface Design,0.759,0.17
23,Eye Tracker Quality & Gaze Estimation,"Gaze, Eye Tracking & Multimodal Sensing",260,2006,34,19,0.147,0.127,0,Homography normalization for robust gaze estimation in uncalibrated setups,10.1145/1743666.1743670,0.265,A Novel Approach to 3-D Gaze Tracking Using Stereo Cameras,0.85,0.33
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",255,2002,25,19,0.12,0.138,0,eyePatterns,10.1145/1117309.1117360,0.2,Scanpaths in saccadic eye movements while viewing and recogn,0.867,0.33
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",245,2008,39,26,0.128,0.097,0,Feasibility and pragmatics of classifying working memory load with an electroenc,10.1145/1357054.1357187,0.179,,0.84,0.18
26,Gaze in Conversation & Groups,"Gaze, Eye Tracking & Multimodal Sensing",218,2002,24,15,0.167,0.169,0,A probabilistic inference of multiparty-conversation structure based on Markov-s,10.1145/1088463.1088497,0.25,,0.872,0.5
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",200,2009,32,15,0.25,0.098,0,Touch me once and i know it's you!,10.1145/2207676.2208544,0.281,,0.843,0.6
28,Affect Recognition,"Gaze, Eye Tracking & Multimodal Sensing",180,2011,48,31,0.104,0.109,0,Video and Image based Emotion Recognition Challenges in the Wild,10.1145/2818346.2829994,0.604,"Collecting Large, Richly Annotated Facial-Expression Databas",0.929,0.11
