sub,name,band,papers,q1_year,early_papers,in_corpus_refs,external_refs,self_share,parent1,p1_share,parent2,p2_share,parent3,p3_share
0,Speculative & Critical Design,"Work, Community & Society",851,2008,85,288,1778,0.427,CSCW Foundations,0.076,Autonomous Vehicle Communication,0.031,GUI Toolkits & Web Interfaces,0.028
1,"Gender, Intimacy & Safety","Work, Community & Society",513,2015,51,301,1370,0.262,Sustainable HCI,0.093,ICTD & Rural Communities,0.08,Speculative & Critical Design,0.063
2,Gender & Algorithmic Bias,"Work, Community & Society",470,2016,47,172,1281,0.209,Social Media & Mental Health,0.081,Social Network Sites at Work,0.081,Photo Sharing & Privacy,0.07
3,Gig Work & Labor,"Work, Community & Society",371,2015,37,194,959,0.16,Speculative & Critical Design,0.072,Sustainable HCI,0.072,Wikipedia & Open Source,0.072
4,Civic Participation,"Work, Community & Society",322,2012,32,147,681,0.17,Speculative & Critical Design,0.088,Gig Work & Labor,0.061,Distributed Team Awareness,0.061
5,Infrastructure & Making,"Work, Community & Society",275,2012,27,113,651,0.142,CSCW Foundations,0.08,Smart Home Automation,0.071,"Gender, Intimacy & Safety",0.071
6,Crisis Informatics,"Work, Community & Society",234,2011,23,80,600,0.388,Playful Experience & Drones,0.062,Social Network Sites at Work,0.062,Email & Peripheral Displays,0.062
7,ICTD & Rural Communities,"Work, Community & Society",225,2010,22,52,429,0.288,Memory & Reminiscence,0.077,Tabletop Collaboration,0.077,Data Work & Crypto Economies,0.077
8,Race & Social Justice in HCI,"Work, Community & Society",172,2016,20,72,470,0.264,Civic Participation,0.083,Crisis Informatics,0.069,Sustainable HCI,0.069
9,"Religion, Migration & Digital Life","Work, Community & Society",161,2014,20,95,432,0.211,Family Video Communication,0.147,Speculative & Critical Design,0.126,Smart Home Automation,0.116
10,CSCW Foundations,"Work, Community & Society",139,1991,20,28,278,0.643,Speculative & Critical Design,0.071,Email & Peripheral Displays,0.071,Distributed Team Awareness,0.071
11,Data Work & Crypto Economies,"Work, Community & Society",156,2015,20,67,312,0.179,Tangible Interaction,0.119,Authentication & Passwords,0.06,Social Network Sites at Work,0.06
12,Crowdsourcing & Human Computation,Online Communities & Crowds,391,2012,39,124,818,0.468,Wikipedia & Open Source,0.081,GUI Toolkits & Web Interfaces,0.056,Data Visualization,0.048
13,Wikipedia & Open Source,Online Communities & Crowds,365,2009,36,160,750,0.419,Distributed Team Awareness,0.094,Email & Peripheral Displays,0.081,Search & Recommendation,0.081
14,Moderation & Online Harassment,Online Communities & Crowds,258,2017,25,161,828,0.273,Wikipedia & Open Source,0.186,Social Media & Mental Health,0.118,Photo Sharing & Privacy,0.05
15,Crisis Informatics & Misinformation,Online Communities & Crowds,216,2013,21,71,537,0.324,Crisis Informatics,0.099,Wikipedia & Open Source,0.085,Search & Recommendation,0.056
16,Live Streaming,Online Communities & Crowds,173,2014,20,59,331,0.339,Esports & Player Communities,0.085,Video Interfaces & Editing,0.085,Gaze in Video Communication,0.068
17,Crowdfunding & Online Feedback,Online Communities & Crowds,368,2008,36,53,602,0.283,Gaze in Video Communication,0.151,Instant Messaging,0.094,CSCW Foundations,0.094
18,Self-tracking & Reflection,Health & Wellbeing,427,2015,42,289,839,0.218,Persuasive Health & Activity,0.204,Memory & Reminiscence,0.062,Chronic Care & Caregiving,0.052
19,Chronic Care & Caregiving,Health & Wellbeing,374,2012,37,144,725,0.312,Clinical Information Work,0.104,Persuasive Health & Activity,0.069,Older Adults & Technology,0.049
20,Social Media & Mental Health,Health & Wellbeing,343,2014,34,142,971,0.218,Social Network Sites at Work,0.183,Crowdfunding & Online Feedback,0.085,Wikipedia & Open Source,0.085
21,Behavior Sensing,Health & Wellbeing,277,2014,27,53,661,0.34,Persuasive Health & Activity,0.113,Indoor Localization,0.094,Wearable Activity Recognition,0.057
22,Stress & Mood Technology,Health & Wellbeing,201,2014,20,72,517,0.167,Persuasive Health & Activity,0.083,Speculative & Critical Design,0.069,Chronic Care & Caregiving,0.056
23,Persuasive Health & Activity,Health & Wellbeing,158,2010,20,74,346,0.5,Exergames & Bodily Play,0.054,Sustainable HCI,0.054,Tangible Interaction,0.041
24,Sleep & Family Routines,Health & Wellbeing,120,2012,20,86,361,0.233,Smart Home Automation,0.151,Family Video Communication,0.081,Neurodivergence & Autism,0.07
25,Parkinson's & Mobility Support,Health & Wellbeing,71,2017,20,48,370,0.271,Rehabilitation Games,0.104,Speculative & Critical Design,0.083,Visual Accessibility,0.083
26,Smart Home Automation,"Privacy, Security & Smart Homes",199,2003,20,50,342,0.36,CSCW Foundations,0.12,Location-based Museum Play,0.08,Speculative & Critical Design,0.06
27,Youth Online Safety,"Privacy, Security & Smart Homes",162,2017,20,100,655,0.29,Gender & Algorithmic Bias,0.12,Digital Self-control,0.07,Distributed Team Awareness,0.05
28,Usable Security & Phishing,"Privacy, Security & Smart Homes",152,2012,20,48,335,0.688,Location Sharing & Privacy,0.042,Fisheye & Scrolling Techniques,0.042,Sustainable HCI,0.021
29,Photo Sharing & Privacy,"Privacy, Security & Smart Homes",149,2012,20,80,402,0.375,Social Network Sites at Work,0.163,Location Sharing & Privacy,0.075,Memory & Reminiscence,0.062
30,Authentication & Passwords,"Privacy, Security & Smart Homes",145,2011,20,40,299,0.5,Photo Sharing & Privacy,0.075,Touch & Multi-touch Input,0.05,Usable Security & Phishing,0.05
31,Smart-home Privacy,"Privacy, Security & Smart Homes",130,2018,20,104,482,0.25,Photo Sharing & Privacy,0.144,Smart Home Automation,0.115,Speculative & Critical Design,0.067
32,App Permissions & Policy,"Privacy, Security & Smart Homes",122,2015,20,71,384,0.479,Location Sharing & Privacy,0.155,Usable Security & Phishing,0.113,Photo Sharing & Privacy,0.085
33,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",120,2020,20,106,666,0.274,Speculative & Critical Design,0.236,Persuasive Health & Activity,0.038,GUI Toolkits & Web Interfaces,0.038
34,Location Sharing & Privacy,"Privacy, Security & Smart Homes",134,2006,20,58,265,0.345,Distributed Team Awareness,0.121,Photo Sharing & Privacy,0.069,Indoor Localization,0.052
35,Task Switching at Work,Mobile Life & Attention,201,2002,20,67,207,0.299,GUI Toolkits & Web Interfaces,0.104,Meeting Capture & Reading,0.09,Distributed Team Awareness,0.045
36,Notifications & Interruptibility,Mobile Life & Attention,183,2006,20,105,400,0.4,Distributed Team Awareness,0.162,Task Switching at Work,0.105,Instant Messaging,0.076
37,Social Network Sites at Work,Mobile Life & Attention,156,2008,20,45,371,0.356,Wikipedia & Open Source,0.111,Distributed Team Awareness,0.089,Memory & Reminiscence,0.067
