sub,name,band,papers,first,last,span,peak,share_last5,same_sub_share_all
0,3D Pointing & VR Interaction,Input & Interaction Techniques,675,1990,2026,36,2025,0.249,0.46
1,RF & Radar Sensing,Input & Interaction Techniques,656,1995,2026,31,2025,0.559,0.65
2,Wearable Activity Recognition,Input & Interaction Techniques,535,2001,2026,25,2018,0.329,0.569
3,Pointing & Target Selection,Input & Interaction Techniques,523,1982,2026,44,2019,0.256,0.614
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,501,1982,2026,44,2016,0.275,0.506
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,463,1983,2026,43,2009,0.05,0.626
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,444,1982,2026,44,2013,0.14,0.524
7,Pen & Sketch Input,Input & Interaction Techniques,414,1985,2026,41,2012,0.077,0.475
8,Text Entry,Input & Interaction Techniques,399,1982,2026,44,2018,0.231,0.631
9,Touch & Multi-touch Input,Input & Interaction Techniques,308,1986,2026,40,2017,0.13,0.482
11,VR Haptics,"Tangible, VR & Fabrication",684,1994,2026,32,2025,0.437,0.642
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",679,1991,2026,35,2016,0.3,0.51
13,Tangible Interaction,"Tangible, VR & Fabrication",674,1991,2026,35,2010,0.108,0.468
14,Printed Electronics,"Tangible, VR & Fabrication",518,1985,2026,41,2018,0.297,0.478
15,Digital Fabrication,"Tangible, VR & Fabrication",513,1997,2026,29,2024,0.472,0.6
16,E-textiles & Weaving,"Tangible, VR & Fabrication",477,2005,2026,21,2024,0.363,0.526
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",344,1998,2026,28,2015,0.218,0.484
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",286,1995,2026,31,2025,0.35,0.547
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",198,1986,2026,40,2009,0.141,0.503
20,Making & Makerspaces,"Tangible, VR & Fabrication",152,1990,2026,36,2015,0.184,0.407
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",320,1999,2026,27,2025,0.525,0.374
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",351,1982,2026,44,2024,0.345,0.56
23,Eye Tracker Quality & Gaze Estimation,"Gaze, Eye Tracking & Multimodal Sensing",260,1985,2026,41,2018,0.3,0.651
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",255,2000,2026,26,2019,0.384,0.688
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",245,1983,2026,43,2022,0.327,0.484
26,Gaze in Conversation & Groups,"Gaze, Eye Tracking & Multimodal Sensing",218,2000,2026,26,2013,0.22,0.551
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",200,2003,2026,23,2024,0.3,0.615
28,Affect Recognition,"Gaze, Eye Tracking & Multimodal Sensing",180,2004,2026,22,2020,0.117,0.909
29,Multimodal Sentiment & Speaking,"Gaze, Eye Tracking & Multimodal Sensing",163,2000,2026,26,2015,0.184,0.632
30,Fixation & Saccade Analysis,"Gaze, Eye Tracking & Multimodal Sensing",153,2000,2026,26,2025,0.549,0.519
31,Gaze Calibration & Datasets,"Gaze, Eye Tracking & Multimodal Sensing",140,2000,2026,26,2018,0.186,0.474
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",307,1990,2026,36,2023,0.296,0.554
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",653,1982,2026,44,2025,0.274,0.552
34,CSCW Foundations,"Collaboration, Displays & Mixed Reality",564,1982,2026,44,1992,0.041,0.593
35,Cross-device & Large Displays,"Collaboration, Displays & Mixed Reality",467,1983,2026,43,2014,0.073,0.522
36,UI Toolkits & Automatic Generation,"Collaboration, Displays & Mixed Reality",378,1981,2025,44,1988,0.013,0.71
37,AR Authoring & Assembly,"Collaboration, Displays & Mixed Reality",349,1995,2026,31,2024,0.467,0.407
38,Tabletop Collaboration,"Collaboration, Displays & Mixed Reality",294,1986,2025,39,2010,0.051,0.455
39,Public & Ambient Displays,"Collaboration, Displays & Mixed Reality",288,1990,2026,36,2014,0.073,0.48
40,Real-time Groupware,"Collaboration, Displays & Mixed Reality",289,1982,2026,44,1998,0.045,0.711
41,Social VR & Presence,"Collaboration, Displays & Mixed Reality",240,1995,2026,31,2025,0.571,0.481
42,Mixed Reality Rooms & Video,"Collaboration, Displays & Mixed Reality",197,1996,2026,30,2019,0.264,0.37
43,Live Streaming,"Collaboration, Displays & Mixed Reality",168,2002,2026,24,2021,0.292,0.477
44,Meeting Capture & Reading,"Collaboration, Displays & Mixed Reality",158,1983,2025,42,2001,0.051,0.473
45,Distributed Cognition & Emergency Coordination,"Collaboration, Displays & Mixed Reality",97,1983,2026,43,2012,0.082,0.45
46,Driver Distraction & Take-over,Automotive & Automated Driving,165,2004,2025,21,2017,0.115,0.511
47,In-Car Interfaces,Automotive & Automated Driving,140,2005,2025,20,2013,0.207,0.429
48,Automated Driving,Automotive & Automated Driving,128,2009,2026,17,2021,0.344,0.498
49,Car Navigation & Driver UIs,Automotive & Automated Driving,122,1989,2026,37,2014,0.066,0.505
50,Autonomous Vehicles & Pedestrians,Automotive & Automated Driving,482,1990,2026,36,2020,0.363,0.588
51,Cognitive Modeling & Mixed Small Topics,Mixed Small Communities,672,1982,2026,44,2025,0.198,0.766
52,Non-visual Navigation,Accessibility & Assistive Tech,152,2005,2026,21,2024,0.441,0.406
53,Accessibility Research Practice,Accessibility & Assistive Tech,152,1995,2026,31,2026,0.5,0.318
54,Visual Accessibility,Accessibility & Assistive Tech,126,2005,2026,21,2024,0.571,0.421
55,Disability Studies in HCI,Accessibility & Assistive Tech,551,1986,2026,40,2025,0.441,0.444
56,Esports & Player Communities,Games & Play,144,2004,2026,22,2021,0.347,0.496
57,Player Experience & Immersion,Games & Play,132,1981,2026,45,2016,0.205,0.352
58,Gamification & Engagement,Games & Play,692,1982,2026,44,2024,0.324,0.487
59,Social Robots in the Field,"Robots, Agents & Human-AI Interaction",1732,1992,2026,34,2019,0.344,0.678
60,Generative AI & Writing,"Robots, Agents & Human-AI Interaction",1160,1982,2026,44,2025,0.721,0.532
61,Voice & Conversational Agents,"Robots, Agents & Human-AI Interaction",1098,1983,2026,43,2025,0.608,0.487
62,End-user Programming & UI Design Tools,"Robots, Agents & Human-AI Interaction",619,1981,2026,45,2024,0.247,0.526
63,Robots & Agents in Education,"Robots, Agents & Human-AI Interaction",475,1992,2026,34,2025,0.585,0.419
64,Video Interfaces & Editing,"Robots, Agents & Human-AI Interaction",427,1982,2026,44,2014,0.227,0.535
65,Meeting Support & Group Displays,"Robots, Agents & Human-AI Interaction",183,1986,2026,40,2025,0.503,0.232
66,Usability Methods & Personas,"Robots, Agents & Human-AI Interaction",158,1982,2026,44,2026,0.278,0.531
67,Multimodal Speech Interfaces,"Robots, Agents & Human-AI Interaction",122,1989,2026,37,2004,0.082,0.67
68,Natural Language Interfaces & Human-AI Teams,"Robots, Agents & Human-AI Interaction",316,1982,2026,44,2025,0.582,0.314
69,Urban Mobility Data,Mobile Life & Attention,221,2006,2026,20,2018,0.095,0.651
70,Email & Web Revisitation,Mobile Life & Attention,221,1983,2026,43,2009,0.05,0.524
71,Notifications & Interruptibility,Mobile Life & Attention,195,1992,2026,34,2017,0.221,0.56
72,Instant Messaging,Mobile Life & Attention,173,1994,2026,32,2005,0.104,0.446
73,Digital Self-control,Mobile Life & Attention,122,2010,2026,16,2024,0.582,0.458
74,Location Sharing & Privacy,Mobile Life & Attention,120,2001,2024,23,2012,0.05,0.512
75,Task Switching at Work,Mobile Life & Attention,121,1992,2026,34,2016,0.298,0.408
76,Mobile Information Needs & Translation,Mobile Life & Attention,275,1983,2026,43,2017,0.153,0.433
77,Recommender Explanations & User-centric Evaluation,Recommender Systems,318,1982,2026,44,2021,0.327,0.59
78,Sequential & Session-based Recommendation,Recommender Systems,244,2009,2026,17,2025,0.553,0.677
79,Neural Session Recommendation,Recommender Systems,226,2007,2025,18,2017,0.341,0.634
80,"Diversity, Novelty & Bias in Recommendation",Recommender Systems,219,2007,2026,19,2025,0.479,0.632
81,Collaborative Filtering & Trust,Recommender Systems,211,1995,2026,31,2009,0.09,0.674
82,Knowledge-aware & LLM Recommendation,Recommender Systems,189,2007,2026,19,2025,0.593,0.612
83,Industrial Recommendation & CTR Prediction,Recommender Systems,178,2007,2026,19,2023,0.59,0.698
84,Web Search & Navigation,Recommender Systems,173,1991,2026,35,2010,0.04,0.59
85,Context-aware & Cold-start Recommendation,Recommender Systems,151,2007,2026,19,2017,0.132,0.638
86,News Recommendation & Offline Evaluation,Recommender Systems,136,2001,2026,25,2025,0.368,0.581
87,Social Tagging & Group Recommendation,Recommender Systems,411,1994,2026,32,2018,0.214,0.686
88,Co-design with Children,Children & Learning,334,1989,2026,37,2013,0.177,0.496
89,Tangibles for Learning,Children & Learning,300,1996,2026,30,2015,0.183,0.461
90,Autistic Children & Technology,Children & Learning,243,2004,2026,22,2024,0.362,0.47
91,Youth Online Safety,Children & Learning,225,1988,2026,38,2025,0.547,0.477
92,Children's Agency & Research Ethics,Children & Learning,213,2004,2026,22,2025,0.46,0.337
93,AI Literacy & K-12,Children & Learning,167,2009,2026,17,2026,0.713,0.426
94,Children's Play & Learning Environments,Children & Learning,427,1996,2026,30,2013,0.234,0.4
95,Usable Security & Phishing,"Privacy, Security & Smart Homes",141,2001,2026,25,2025,0.461,0.488
96,Smart-home Privacy,"Privacy, Security & Smart Homes",134,2002,2026,24,2024,0.567,0.435
97,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",124,2012,2026,14,2024,0.742,0.507
98,Ubicomp Privacy & Home Automation,"Privacy, Security & Smart Homes",313,1983,2026,43,2025,0.39,0.442
99,Movement & Somaesthetics,Design Research & Critical HCI,647,1990,2026,36,2024,0.515,0.443
100,Bodily Play & Spectator Experience,Design Research & Critical HCI,571,1992,2026,34,2017,0.187,0.46
101,Speculative & Critical Design,Design Research & Critical HCI,563,1981,2026,45,2025,0.325,0.379
102,Sustainable HCI,Design Research & Critical HCI,510,1998,2026,28,2025,0.318,0.533
103,Family Video Communication,Design Research & Critical HCI,429,1990,2026,36,2010,0.193,0.463
104,Memory & Reminiscence,Design Research & Critical HCI,358,1998,2026,28,2026,0.263,0.485
105,Interpretation & Critique in Design Research,Design Research & Critical HCI,340,1989,2026,37,2019,0.312,0.371
106,More-than-human Design,Design Research & Critical HCI,306,1997,2026,29,2025,0.533,0.416
107,VR Meditation & Breathing,Design Research & Critical HCI,225,2004,2026,22,2026,0.462,0.38
108,Playful Food Experiences,Design Research & Critical HCI,174,2002,2026,24,2022,0.374,0.474
109,Calendars & Scheduling,Design Research & Critical HCI,40,1986,2026,40,2001,0.125,0.273
110,Self-tracking & Reflection,Health & Wellbeing,519,1997,2026,29,2025,0.41,0.408
111,Chronic Care & Caregiving,Health & Wellbeing,336,1996,2026,30,2025,0.387,0.389
112,Behavior Sensing,Health & Wellbeing,329,2005,2026,21,2025,0.447,0.466
113,Stress & Mood Technology,Health & Wellbeing,299,2006,2026,20,2025,0.495,0.297
114,Aging & Dementia Care,Health & Wellbeing,287,1990,2026,36,2019,0.362,0.455
115,Personal Informatics Models,Health & Wellbeing,264,2002,2026,24,2021,0.439,0.383
116,Clinical Information Work,Health & Wellbeing,141,1988,2026,38,2010,0.17,0.499
117,"Sleep, ADHD & Lifelogging",Health & Wellbeing,213,2005,2026,21,2025,0.39,0.334
118,Crowdsourcing & Human Computation,"Crowds, Data & Human-AI Decisions",423,1986,2026,40,2017,0.161,0.539
119,Explainable Machine Learning,"Crowds, Data & Human-AI Decisions",415,1983,2026,43,2025,0.675,0.562
120,Data Visualization,"Crowds, Data & Human-AI Decisions",399,1991,2026,35,2025,0.451,0.573
121,Fairness & Clinical AI,"Crowds, Data & Human-AI Decisions",299,1988,2026,38,2025,0.706,0.397
122,Data Work & Infrastructure,"Crowds, Data & Human-AI Decisions",293,1982,2026,44,2025,0.457,0.405
123,Interactive Machine Learning,"Crowds, Data & Human-AI Decisions",173,1983,2026,43,2021,0.306,0.386
124,Peer & Crowd Feedback,"Crowds, Data & Human-AI Decisions",126,1986,2026,40,2017,0.151,0.487
125,Computational Notebooks,"Crowds, Data & Human-AI Decisions",159,1982,2026,44,2021,0.396,0.425
126,Social Media & Mental Health,"Work, Community & Society",689,1996,2026,30,2025,0.325,0.506
127,ICTD & Rural Communities,"Work, Community & Society",591,1997,2026,29,2021,0.318,0.493
128,Wikipedia & Open Source,"Work, Community & Society",567,1998,2026,28,2017,0.175,0.568
129,Crisis Informatics,"Work, Community & Society",534,2007,2026,19,2025,0.457,0.525
130,Gender & Algorithmic Bias,"Work, Community & Society",437,1983,2026,43,2025,0.606,0.371
131,Civic Participation,"Work, Community & Society",409,2001,2026,25,2025,0.484,0.411
132,Moderation & Online Harassment,"Work, Community & Society",340,1985,2026,41,2025,0.635,0.477
133,Gig Work & Labor,"Work, Community & Society",336,1988,2026,38,2025,0.5,0.434
134,"Gender, Intimacy & Safety","Work, Community & Society",328,2007,2026,19,2025,0.619,0.411
135,Enterprise Social Media & Crowdfunding,"Work, Community & Society",230,1990,2026,36,2014,0.065,0.504
136,"Refugees, Hackathons & Crypto","Work, Community & Society",140,1995,2026,31,2025,0.514,0.374
