sub,name,band,papers,first_year,birth_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
0,Speculative & Critical Design,"Work, Community & Society",851,1982,1997,2025,2020,2014,2023,36.92,60
1,"Gender, Intimacy & Safety","Work, Community & Society",513,1982,2010,2024,2022,2019,2025,44.63,60
2,Gender & Algorithmic Bias,"Work, Community & Society",470,1983,2009,2025,2022,2019,2024,44.44,60
3,Gig Work & Labor,"Work, Community & Society",371,1988,2010,2025,2022,2018,2024,43.12,60
4,Civic Participation,"Work, Community & Society",322,1996,2006,2025,2019,2016,2023,39.43,59
5,Infrastructure & Making,"Work, Community & Society",275,1986,2004,2025,2019,2016,2023,37.6,60
6,Crisis Informatics,"Work, Community & Society",234,2002,2006,2025,2019,2015,2023,36.8,58
7,ICTD & Rural Communities,"Work, Community & Society",225,1990,2004,2025,2018,2013,2023,36.01,59
8,Race & Social Justice in HCI,"Work, Community & Society",172,1988,2010,2025,2023,2020,2025,44.52,61
9,"Religion, Migration & Digital Life","Work, Community & Society",161,2004,2006,2025,2022,2018,2024,41.09,60
10,CSCW Foundations,"Work, Community & Society",139,1986,1988,1992,2002,1993,2015,17.32,55
11,Data Work & Crypto Economies,"Work, Community & Society",156,2004,2008,2022,2021,2018,2024,40.71,57
12,Crowdsourcing & Human Computation,Online Communities & Crowds,391,2006,2008,2017,2017,2014,2020,36.22,54
13,Wikipedia & Open Source,Online Communities & Crowds,365,1998,2004,2012,2015,2012,2019,30.66,56
14,Moderation & Online Harassment,Online Communities & Crowds,258,2004,2012,2025,2023,2020,2025,45.75,58
15,Crisis Informatics & Misinformation,Online Communities & Crowds,216,2005,2009,2025,2022,2019,2024,41.3,59
16,Live Streaming,Online Communities & Crowds,173,1992,2008,2021,2020,2017,2023,39.0,59
17,Crowdfunding & Online Feedback,Online Communities & Crowds,368,1982,1996,2014,2016,2012,2019,30.74,58
18,Self-tracking & Reflection,Health & Wellbeing,427,2005,2011,2025,2021,2018,2024,43.23,60
19,Chronic Care & Caregiving,Health & Wellbeing,374,1998,2009,2024,2020,2016,2024,39.0,60
20,Social Media & Mental Health,Health & Wellbeing,343,1996,2011,2021,2020,2017,2023,40.91,58
21,Behavior Sensing,Health & Wellbeing,277,2005,2011,2025,2021,2018,2024,38.85,59
22,Stress & Mood Technology,Health & Wellbeing,201,2008,2010,2025,2022,2018,2024,42.22,61
23,Persuasive Health & Activity,Health & Wellbeing,158,1998,2006,2011,2015,2011,2020,31.87,54
24,Sleep & Family Routines,Health & Wellbeing,120,1996,2003,2025,2020,2015,2024,38.51,59
25,Parkinson's & Mobility Support,Health & Wellbeing,71,2005,2011,2022,2021,2016,2023,34.32,57
26,Smart Home Automation,"Privacy, Security & Smart Homes",199,1989,1999,2019,2015,2008,2020,30.63,56
27,Youth Online Safety,"Privacy, Security & Smart Homes",162,2011,2014,2025,2022,2019,2025,43.68,58
28,Usable Security & Phishing,"Privacy, Security & Smart Homes",152,2001,2006,2026,2020,2016,2024,33.01,57
29,Photo Sharing & Privacy,"Privacy, Security & Smart Homes",149,2003,2007,2023,2018,2014,2023,36.73,60
30,Authentication & Passwords,"Privacy, Security & Smart Homes",145,2003,2008,2015,2016,2013,2021,30.1,55
31,Smart-home Privacy,"Privacy, Security & Smart Homes",130,2002,2008,2024,2022,2020,2024,43.12,58
32,App Permissions & Policy,"Privacy, Security & Smart Homes",122,2001,2010,2024,2022,2017,2024,39.9,61
33,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",120,2012,2014,2024,2024,2021,2025,45.62,59
34,Location Sharing & Privacy,"Privacy, Security & Smart Homes",134,1983,1988,2013,2013,2009,2016,26.27,53
35,Task Switching at Work,Mobile Life & Attention,201,1983,1986,2008,2014,2008,2020,28.88,60
36,Notifications & Interruptibility,Mobile Life & Attention,183,2000,2003,2019,2017,2012,2021,34.3,61
37,Social Network Sites at Work,Mobile Life & Attention,156,1998,2002,2011,2013,2010,2017,27.9,54
38,Instant Messaging,Mobile Life & Attention,144,1986,1990,2018,2015,2004,2018,26.76,56
39,Digital Self-control,Mobile Life & Attention,130,2007,2013,2024,2022,2018,2024,43.65,59
40,Smartphone Usage Logging,Mobile Life & Attention,120,2000,2003,2016,2015,2011,2017,26.52,60
41,Email & Peripheral Displays,Mobile Life & Attention,331,1982,1986,2000,2011,2003,2018,23.62,60
42,Older Adults & Technology,"Ageing, Care & Automation",208,2001,2004,2024,2020,2015,2024,36.83,58
43,Automated Driving,"Ageing, Care & Automation",136,2004,2009,2020,2020,2017,2023,33.25,56
44,Dementia & Ageing Care,"Ageing, Care & Automation",134,2005,2008,2022,2021,2017,2024,40.66,60
45,Autonomous Vehicle Communication,"Ageing, Care & Automation",291,1981,1982,1986,2003,1992,2018,9.96,58
46,Memory & Reminiscence,Sustainability & Everyday Living,319,1992,2002,2014,2014,2010,2019,30.83,59
