sub,name,band,year,papers,cites_received
0,Speculative & Critical Design,"Work, Community & Society",1982,3,0
0,Speculative & Critical Design,"Work, Community & Society",1985,1,0
0,Speculative & Critical Design,"Work, Community & Society",1986,3,1
0,Speculative & Critical Design,"Work, Community & Society",1989,1,0
0,Speculative & Critical Design,"Work, Community & Society",1990,2,11
0,Speculative & Critical Design,"Work, Community & Society",1991,0,1
0,Speculative & Critical Design,"Work, Community & Society",1992,1,2
0,Speculative & Critical Design,"Work, Community & Society",1994,1,1
0,Speculative & Critical Design,"Work, Community & Society",1995,2,3
0,Speculative & Critical Design,"Work, Community & Society",1996,2,5
0,Speculative & Critical Design,"Work, Community & Society",1997,4,4
0,Speculative & Critical Design,"Work, Community & Society",1998,0,1
0,Speculative & Critical Design,"Work, Community & Society",1999,3,3
0,Speculative & Critical Design,"Work, Community & Society",2000,12,12
0,Speculative & Critical Design,"Work, Community & Society",2001,1,5
0,Speculative & Critical Design,"Work, Community & Society",2002,6,17
0,Speculative & Critical Design,"Work, Community & Society",2003,3,10
0,Speculative & Critical Design,"Work, Community & Society",2004,7,29
0,Speculative & Critical Design,"Work, Community & Society",2005,2,5
0,Speculative & Critical Design,"Work, Community & Society",2006,14,55
0,Speculative & Critical Design,"Work, Community & Society",2007,11,52
0,Speculative & Critical Design,"Work, Community & Society",2008,7,62
0,Speculative & Critical Design,"Work, Community & Society",2009,9,57
0,Speculative & Critical Design,"Work, Community & Society",2010,19,129
0,Speculative & Critical Design,"Work, Community & Society",2011,13,82
0,Speculative & Critical Design,"Work, Community & Society",2012,33,211
0,Speculative & Critical Design,"Work, Community & Society",2013,19,152
0,Speculative & Critical Design,"Work, Community & Society",2014,44,261
0,Speculative & Critical Design,"Work, Community & Society",2015,16,203
0,Speculative & Critical Design,"Work, Community & Society",2016,35,393
0,Speculative & Critical Design,"Work, Community & Society",2017,42,566
0,Speculative & Critical Design,"Work, Community & Society",2018,38,628
0,Speculative & Critical Design,"Work, Community & Society",2019,55,823
0,Speculative & Critical Design,"Work, Community & Society",2020,66,975
0,Speculative & Critical Design,"Work, Community & Society",2021,54,1177
0,Speculative & Critical Design,"Work, Community & Society",2022,55,1114
0,Speculative & Critical Design,"Work, Community & Society",2023,55,1251
0,Speculative & Critical Design,"Work, Community & Society",2024,67,1596
0,Speculative & Critical Design,"Work, Community & Society",2025,77,1859
0,Speculative & Critical Design,"Work, Community & Society",2026,68,1688
1,"Gender, Intimacy & Safety","Work, Community & Society",1982,1,0
1,"Gender, Intimacy & Safety","Work, Community & Society",1983,1,1
1,"Gender, Intimacy & Safety","Work, Community & Society",2002,2,0
1,"Gender, Intimacy & Safety","Work, Community & Society",2003,0,1
1,"Gender, Intimacy & Safety","Work, Community & Society",2007,1,2
1,"Gender, Intimacy & Safety","Work, Community & Society",2008,4,0
1,"Gender, Intimacy & Safety","Work, Community & Society",2009,1,5
1,"Gender, Intimacy & Safety","Work, Community & Society",2010,6,8
1,"Gender, Intimacy & Safety","Work, Community & Society",2011,10,35
1,"Gender, Intimacy & Safety","Work, Community & Society",2012,8,52
