sub,name,band,papers,birth,founding_papers,founders,founder_share_in_founding,founder_share_all,takeoff_year,years_to_takeoff,share_last5
1,"Gender, Intimacy & Safety","Work, Community & Society",513,2009,31,18,0.645,0.127,2014,5,0.554
2,Gender & Algorithmic Bias,"Work, Community & Society",470,2012,42,20,0.595,0.215,2017,5,0.57
3,Gig Work & Labor,"Work, Community & Society",371,2013,64,34,0.609,0.264,2018,5,0.531
4,Civic Participation,"Work, Community & Society",322,2010,44,18,0.409,0.252,2015,5,0.354
5,Infrastructure & Making,"Work, Community & Society",275,2010,39,14,0.59,0.258,2016,6,0.338
6,Crisis Informatics,"Work, Community & Society",234,2009,34,16,0.676,0.359,2017,8,0.338
7,ICTD & Rural Communities,"Work, Community & Society",225,2007,32,24,0.719,0.209,2013,6,0.302
8,Race & Social Justice in HCI,"Work, Community & Society",172,2017,38,11,0.421,0.262,2022,5,0.657
9,"Religion, Migration & Digital Life","Work, Community & Society",161,2014,26,12,0.538,0.199,2019,5,0.534
10,CSCW Foundations,"Work, Community & Society",139,1988,32,7,0.5,0.158,1994,6,0.122
11,Data Work & Crypto Economies,"Work, Community & Society",156,2015,46,23,0.587,0.282,2020,5,0.442
12,Crowdsourcing & Human Computation,Online Communities & Crowds,391,2006,20,9,0.55,0.09,2011,5,0.153
13,Wikipedia & Open Source,Online Communities & Crowds,365,2004,27,19,0.704,0.219,2010,6,0.173
14,Moderation & Online Harassment,Online Communities & Crowds,258,2015,44,23,0.705,0.318,2020,5,0.655
15,Crisis Informatics & Misinformation,Online Communities & Crowds,216,2013,24,14,0.625,0.083,2018,5,0.583
16,Live Streaming,Online Communities & Crowds,173,2014,43,24,0.558,0.301,2019,5,0.387
17,Crowdfunding & Online Feedback,Online Communities & Crowds,368,2002,16,4,0.25,0.106,2008,6,0.155
18,Self-tracking & Reflection,Health & Wellbeing,427,2011,51,19,0.471,0.171,2016,5,0.482
19,Chronic Care & Caregiving,Health & Wellbeing,374,2008,38,18,0.579,0.225,2013,5,0.385
20,Social Media & Mental Health,Health & Wellbeing,343,2011,47,14,0.447,0.239,2017,6,0.379
21,Behavior Sensing,Health & Wellbeing,277,2011,34,21,0.5,0.26,2016,5,0.44
22,Stress & Mood Technology,Health & Wellbeing,201,2013,33,21,0.424,0.194,2018,5,0.532
23,Persuasive Health & Activity,Health & Wellbeing,158,2006,25,16,0.56,0.127,2011,5,0.158
