sub,name,band,papers,import_share,export_share,type,founder_share_y0_4
0,Speculative & Critical Design,"Work, Community & Society",851,0.861,0.667,"imported, grown inside",0.46
1,"Gender, Intimacy & Safety","Work, Community & Society",513,0.82,0.566,"inward (home-grown, kept inside)",0.62
2,Gender & Algorithmic Bias,"Work, Community & Society",470,0.882,0.625,"imported, grown inside",
3,Gig Work & Labor,"Work, Community & Society",371,0.832,0.615,"inward (home-grown, kept inside)",0.26
4,Civic Participation,"Work, Community & Society",322,0.822,0.574,"inward (home-grown, kept inside)",0.22
5,Infrastructure & Making,"Work, Community & Society",275,0.852,0.604,"inward (home-grown, kept inside)",
6,Crisis Informatics,"Work, Community & Society",234,0.882,0.73,"imported, grown inside",0.8
7,ICTD & Rural Communities,"Work, Community & Society",225,0.892,0.667,"imported, grown inside",0.17
8,Race & Social Justice in HCI,"Work, Community & Society",172,0.867,0.579,"imported, grown inside",
9,"Religion, Migration & Digital Life","Work, Community & Society",161,0.82,0.607,"inward (home-grown, kept inside)",0.0
10,CSCW Foundations,"Work, Community & Society",139,0.908,0.903,"bridge (import high, export high)",0.36
11,Data Work & Crypto Economies,"Work, Community & Society",156,0.823,0.694,"inward (home-grown, kept inside)",
12,Crowdsourcing & Human Computation,Online Communities & Crowds,391,0.868,0.725,"imported, grown inside",0.79
13,Wikipedia & Open Source,Online Communities & Crowds,365,0.824,0.778,"home-grown, exported",0.64
14,Moderation & Online Harassment,Online Communities & Crowds,258,0.837,0.595,"inward (home-grown, kept inside)",
15,Crisis Informatics & Misinformation,Online Communities & Crowds,216,0.883,0.814,"bridge (import high, export high)",0.5
16,Live Streaming,Online Communities & Crowds,173,0.849,0.705,"inward (home-grown, kept inside)",0.17
17,Crowdfunding & Online Feedback,Online Communities & Crowds,368,0.919,0.789,"bridge (import high, export high)",
18,Self-tracking & Reflection,Health & Wellbeing,427,0.744,0.579,"inward (home-grown, kept inside)",0.71
19,Chronic Care & Caregiving,Health & Wellbeing,374,0.834,0.554,"inward (home-grown, kept inside)",0.4
20,Social Media & Mental Health,Health & Wellbeing,343,0.872,0.65,"imported, grown inside",0.29
21,Behavior Sensing,Health & Wellbeing,277,0.926,0.824,"bridge (import high, export high)",0.6
22,Stress & Mood Technology,Health & Wellbeing,201,0.878,0.674,"imported, grown inside",0.38
23,Persuasive Health & Activity,Health & Wellbeing,158,0.824,0.775,"home-grown, exported",0.6
24,Sleep & Family Routines,Health & Wellbeing,120,0.808,0.59,"inward (home-grown, kept inside)",
25,Parkinson's & Mobility Support,Health & Wellbeing,71,0.885,0.75,"bridge (import high, export high)",0.7
26,Smart Home Automation,"Privacy, Security & Smart Homes",199,0.872,0.811,"bridge (import high, export high)",0.5
27,Youth Online Safety,"Privacy, Security & Smart Homes",162,0.868,0.667,"imported, grown inside",0.92
28,Usable Security & Phishing,"Privacy, Security & Smart Homes",152,0.875,0.861,"bridge (import high, export high)",0.0
29,Photo Sharing & Privacy,"Privacy, Security & Smart Homes",149,0.834,0.712,"inward (home-grown, kept inside)",0.54
30,Authentication & Passwords,"Privacy, Security & Smart Homes",145,0.882,0.857,"bridge (import high, export high)",0.67
31,Smart-home Privacy,"Privacy, Security & Smart Homes",130,0.823,0.658,"inward (home-grown, kept inside)",
32,App Permissions & Policy,"Privacy, Security & Smart Homes",122,0.844,0.818,"home-grown, exported",
34,Location Sharing & Privacy,"Privacy, Security & Smart Homes",134,0.82,0.854,"home-grown, exported",
35,Task Switching at Work,Mobile Life & Attention,201,0.755,0.793,"home-grown, exported",0.17
36,Notifications & Interruptibility,Mobile Life & Attention,183,0.792,0.737,"inward (home-grown, kept inside)",0.6
37,Social Network Sites at Work,Mobile Life & Attention,156,0.892,0.857,"bridge (import high, export high)",
38,Instant Messaging,Mobile Life & Attention,144,0.823,0.818,"home-grown, exported",
39,Digital Self-control,Mobile Life & Attention,130,0.743,0.646,"inward (home-grown, kept inside)",0.38
40,Smartphone Usage Logging,Mobile Life & Attention,120,0.804,0.867,"home-grown, exported",
41,Email & Peripheral Displays,Mobile Life & Attention,331,0.911,0.857,"bridge (import high, export high)",0.29
42,Older Adults & Technology,"Ageing, Care & Automation",208,0.855,0.722,"imported, grown inside",
43,Automated Driving,"Ageing, Care & Automation",136,0.933,0.868,"bridge (import high, export high)",0.88
44,Dementia & Ageing Care,"Ageing, Care & Automation",134,0.859,0.592,"imported, grown inside",0.2
45,Autonomous Vehicle Communication,"Ageing, Care & Automation",291,0.923,0.929,"bridge (import high, export high)",0.31
46,Memory & Reminiscence,Sustainability & Everyday Living,319,0.811,0.667,"inward (home-grown, kept inside)",0.2
47,Sustainable HCI,Sustainability & Everyday Living,293,0.867,0.733,"imported, grown inside",0.67
48,Multispecies & Urban Nature,Sustainability & Everyday Living,192,0.803,0.67,"inward (home-grown, kept inside)",
49,Bio-materials & Sustainable Making,Sustainability & Everyday Living,167,0.82,0.632,"inward (home-grown, kept inside)",0.25
50,Playful Food Experiences,Sustainability & Everyday Living,144,0.855,0.623,"imported, grown inside",0.5
51,"Materials, Death & Legacy",Sustainability & Everyday Living,267,0.832,0.64,"inward (home-grown, kept inside)",
52,Explainable Machine Learning,"AI, Data & Intelligent Interfaces",1000,0.814,0.784,"home-grown, exported",0.6
53,Generative AI & Writing,"AI, Data & Intelligent Interfaces",994,0.878,0.714,"imported, grown inside",
54,Voice & Conversational Agents,"AI, Data & Intelligent Interfaces",759,0.918,0.819,"bridge (import high, export high)",0.14
55,GUI Toolkits & Web Interfaces,"AI, Data & Intelligent Interfaces",752,0.892,0.867,"bridge (import high, export high)",0.58
56,Data Visualization,"AI, Data & Intelligent Interfaces",416,0.878,0.842,"bridge (import high, export high)",
57,Search & Recommendation,"AI, Data & Intelligent Interfaces",395,0.838,0.91,"home-grown, exported",0.43
58,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",372,0.86,0.778,"bridge (import high, export high)",0.39
59,Programming & Notebooks,"AI, Data & Intelligent Interfaces",360,0.918,0.779,"bridge (import high, export high)",
60,Prototyping & Authoring Tools,"AI, Data & Intelligent Interfaces",292,0.867,0.815,"bridge (import high, export high)",
61,Meeting Capture & Reading,"AI, Data & Intelligent Interfaces",253,0.867,0.827,"bridge (import high, export high)",
62,Usability Methods & Personas,"AI, Data & Intelligent Interfaces",195,0.89,0.913,"bridge (import high, export high)",0.33
63,Clinical Information Work,"AI, Data & Intelligent Interfaces",251,0.885,0.842,"bridge (import high, export high)",0.5
64,Gamification & Engagement,Games & Play,457,0.921,0.762,"bridge (import high, export high)",
65,Movement & Somaesthetics,Games & Play,340,0.819,0.652,"inward (home-grown, kept inside)",0.33
66,Exergames & Bodily Play,Games & Play,257,0.845,0.667,"inward (home-grown, kept inside)",0.5
67,Esports & Player Communities,Games & Play,245,0.81,0.735,"inward (home-grown, kept inside)",0.38
68,Location-based Museum Play,Games & Play,158,0.866,0.848,"bridge (import high, export high)",0.57
69,VR Meditation & Breathing,Games & Play,155,0.834,0.651,"inward (home-grown, kept inside)",0.4
70,Brain-Computer Interfaces,Games & Play,123,0.943,0.837,"bridge (import high, export high)",0.34
71,Rehabilitation Games,Games & Play,120,0.864,0.723,"imported, grown inside",0.5
72,Playful Experience & Drones,Games & Play,335,0.882,0.787,"bridge (import high, export high)",
73,Visual Accessibility,Accessibility & Assistive Tech,399,0.83,0.649,"inward (home-grown, kept inside)",
74,Neurodivergence & Autism,Accessibility & Assistive Tech,378,0.868,0.714,"imported, grown inside",0.33
75,Web Accessibility,Accessibility & Assistive Tech,319,0.837,0.828,"home-grown, exported",0.71
76,Deaf & Sign Language Tech,Accessibility & Assistive Tech,311,0.895,0.667,"imported, grown inside",0.6
77,Non-visual Navigation,Accessibility & Assistive Tech,286,0.889,0.746,"imported, grown inside",0.5
78,Tactile Graphics,Accessibility & Assistive Tech,235,0.888,0.693,"imported, grown inside",0.33
79,Blind & Low-vision Access,Accessibility & Assistive Tech,232,0.884,0.686,"imported, grown inside",
80,DIY Assistive Technology,Accessibility & Assistive Tech,153,0.834,0.596,"inward (home-grown, kept inside)",0.33
81,Accessible Games & VR,Accessibility & Assistive Tech,143,0.824,0.719,"inward (home-grown, kept inside)",
82,AAC & Communication Disabilities,Accessibility & Assistive Tech,223,0.9,0.771,"bridge (import high, export high)",0.71
83,Real-time Groupware,Remote & Mixed-Reality Collaboration,285,0.954,0.904,"bridge (import high, export high)",0.31
84,Gaze in Video Communication,Remote & Mixed-Reality Collaboration,254,0.798,0.801,"home-grown, exported",0.71
85,Family Video Communication,Remote & Mixed-Reality Collaboration,253,0.795,0.66,"inward (home-grown, kept inside)",
86,Augmented Reality Collaboration,Remote & Mixed-Reality Collaboration,231,0.785,0.757,"home-grown, exported",
87,Public & Ambient Displays,Remote & Mixed-Reality Collaboration,222,0.72,0.778,"home-grown, exported",0.2
88,Distributed Team Awareness,Remote & Mixed-Reality Collaboration,215,0.845,0.87,"home-grown, exported",0.46
89,Social VR & Presence,Remote & Mixed-Reality Collaboration,184,0.887,0.78,"bridge (import high, export high)",
90,Tabletop Collaboration,Remote & Mixed-Reality Collaboration,152,0.706,0.818,"home-grown, exported",
91,Surgical AR & Video Guidance,Remote & Mixed-Reality Collaboration,154,0.879,0.833,"bridge (import high, export high)",
92,RF & Radar Sensing,Activity Sensing & Recognition,235,0.893,0.879,"bridge (import high, export high)",0.67
93,Wearable Activity Recognition,Activity Sensing & Recognition,212,0.92,0.894,"bridge (import high, export high)",
94,Indoor Localization,Activity Sensing & Recognition,170,0.86,0.914,"bridge (import high, export high)",0.45
95,Urban Mobility Data,Activity Sensing & Recognition,161,0.893,0.915,"bridge (import high, export high)",0.38
96,Acoustic Health Sensing,Activity Sensing & Recognition,244,0.919,0.824,"bridge (import high, export high)",0.33
97,Tangible Interaction,"Tangible, VR & Fabrication",884,0.765,0.785,"home-grown, exported",0.45
98,VR Haptics,"Tangible, VR & Fabrication",755,0.816,0.706,"inward (home-grown, kept inside)",0.44
99,Deformable & Soft Displays,"Tangible, VR & Fabrication",386,0.698,0.581,"inward (home-grown, kept inside)",0.75
100,Digital Fabrication,"Tangible, VR & Fabrication",378,0.707,0.489,"inward (home-grown, kept inside)",
101,E-textiles & Weaving,"Tangible, VR & Fabrication",355,0.848,0.483,"inward (home-grown, kept inside)",0.17
102,Printed Electronics,"Tangible, VR & Fabrication",318,0.709,0.5,"inward (home-grown, kept inside)",
103,Data Physicalization,"Tangible, VR & Fabrication",123,0.779,0.647,"inward (home-grown, kept inside)",0.73
104,Electrical Muscle Stimulation,"Tangible, VR & Fabrication",258,0.906,0.755,"bridge (import high, export high)",
105,Hand Input & Gesture Sensing,Input & Interaction Techniques,880,0.756,0.647,"inward (home-grown, kept inside)",0.12
106,Touch & Multi-touch Input,Input & Interaction Techniques,536,0.757,0.7,"inward (home-grown, kept inside)",0.5
107,Pointing & Target Selection,Input & Interaction Techniques,421,0.834,0.705,"inward (home-grown, kept inside)",0.25
108,Gaze & Eye Tracking,Input & Interaction Techniques,415,0.835,0.842,"home-grown, exported",0.34
109,Text Entry,Input & Interaction Techniques,392,0.863,0.704,"imported, grown inside",
110,Fisheye & Scrolling Techniques,Input & Interaction Techniques,314,0.867,0.908,"bridge (import high, export high)",0.6
111,Cross-device & Large Displays,Input & Interaction Techniques,280,0.722,0.771,"home-grown, exported",0.29
112,Gesture Elicitation & Recognition,Input & Interaction Techniques,249,0.806,0.761,"home-grown, exported",
113,Mixed Reality Systems,Input & Interaction Techniques,229,0.806,0.813,"home-grown, exported",
114,Menus & Command Selection,Input & Interaction Techniques,188,0.866,0.766,"bridge (import high, export high)",
115,Multimodal Speech Input,Input & Interaction Techniques,66,0.876,0.875,"bridge (import high, export high)",
