wave,year,papers,share_of_corpus
WWW,1994,1,0.008
WWW,1995,2,0.0132
WWW,1996,8,0.0345
WWW,1997,16,0.0546
WWW,1998,20,0.0743
WWW,1999,9,0.0404
WWW,2000,16,0.0391
WWW,2001,4,0.0175
WWW,2002,6,0.0162
WWW,2003,4,0.011
WWW,2004,3,0.0053
WWW,2005,4,0.008
WWW,2006,4,0.0055
WWW,2007,5,0.0063
WWW,2008,6,0.0058
WWW,2009,12,0.0101
WWW,2010,10,0.0065
WWW,2011,9,0.0059
WWW,2012,14,0.0071
WWW,2013,9,0.005
WWW,2014,13,0.006
WWW,2015,17,0.0081
WWW,2016,14,0.0059
WWW,2017,19,0.0076
WWW,2018,46,0.0168
WWW,2019,70,0.0241
WWW,2020,54,0.0218
WWW,2021,67,0.0232
WWW,2022,71,0.0235
WWW,2023,64,0.0207
WWW,2024,68,0.0174
WWW,2025,74,0.0157
Mobile phones,1999,3,0.0135
Mobile phones,2000,8,0.0196
Mobile phones,2001,5,0.0219
Mobile phones,2002,2,0.0054
Mobile phones,2003,4,0.011
Mobile phones,2004,6,0.0107
Mobile phones,2005,1,0.002
Mobile phones,2006,12,0.0166
Mobile phones,2007,8,0.0101
Mobile phones,2008,12,0.0116
Mobile phones,2009,11,0.0093
Mobile phones,2010,15,0.0097
Mobile phones,2011,14,0.0093
Mobile phones,2012,11,0.0056
Mobile phones,2013,21,0.0117
Mobile phones,2014,19,0.0088
Mobile phones,2015,13,0.0062
Mobile phones,2016,20,0.0084
Mobile phones,2017,19,0.0076
Mobile phones,2018,43,0.0157
Mobile phones,2019,48,0.0165
Mobile phones,2020,57,0.023
Mobile phones,2021,47,0.0163
Mobile phones,2022,36,0.0119
Mobile phones,2023,45,0.0146
Mobile phones,2024,34,0.0087
Mobile phones,2025,32,0.0068
Tabletop & multitouch,2005,1,0.002
Tabletop & multitouch,2006,3,0.0041
Tabletop & multitouch,2007,6,0.0076
Tabletop & multitouch,2008,8,0.0077
Tabletop & multitouch,2009,27,0.0228
Tabletop & multitouch,2010,56,0.0362
Tabletop & multitouch,2011,46,0.0304
Tabletop & multitouch,2012,39,0.0199
Tabletop & multitouch,2013,54,0.0301
Tabletop & multitouch,2014,43,0.0198
Tabletop & multitouch,2015,37,0.0176
Tabletop & multitouch,2016,50,0.021
Tabletop & multitouch,2017,34,0.0136
Tabletop & multitouch,2018,59,0.0216
Tabletop & multitouch,2019,62,0.0213
Tabletop & multitouch,2020,43,0.0174
Tabletop & multitouch,2021,53,0.0184
Tabletop & multitouch,2022,35,0.0116
Tabletop & multitouch,2023,44,0.0142
Tabletop & multitouch,2024,43,0.011
Tabletop & multitouch,2025,41,0.0087
Social media,2007,0,0.0
Social media,2008,1,0.001
Social media,2009,5,0.0042
Social media,2010,16,0.0103
Social media,2011,22,0.0145
Social media,2012,31,0.0158
Social media,2013,36,0.02
Social media,2014,40,0.0184
Social media,2015,41,0.0195
Social media,2016,50,0.021
Social media,2017,69,0.0277
Social media,2018,99,0.0363
