citing_wave,WWW,Mobile phones,Tabletop & multitouch,Social media,Smartphones & apps,Crowdsourcing (MTurk),Depth cameras (Kinect),Personal fabrication,Wearables & smartwatches,Deep learning,VR (consumer HMDs),Voice assistants,LLMs & generative AI,VR (1990s)
WWW,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037
Mobile phones,0.043,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014
Tabletop & multitouch,0.004,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social media,0.0,0.01,0.0,0.099,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartphones & apps,0.029,0.058,0.043,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowdsourcing (MTurk),0.008,0.0,0.003,0.003,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth cameras (Kinect),0.0,0.017,0.034,0.0,0.0,0.003,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Personal fabrication,0.003,0.008,0.008,0.0,0.0,0.024,0.016,0.084,0.003,0.0,0.0,0.0,0.0,0.003
Wearables & smartwatches,0.0,0.028,0.039,0.003,0.034,0.016,0.014,0.001,0.058,0.001,0.001,0.001,0.0,0.002
Deep learning,0.01,0.014,0.032,0.059,0.056,0.065,0.018,0.001,0.014,0.065,0.003,0.012,0.0,0.0
VR (consumer HMDs),0.001,0.015,0.018,0.004,0.013,0.002,0.033,0.008,0.007,0.003,0.151,0.0,0.0,0.019
Voice assistants,0.004,0.017,0.005,0.044,0.096,0.044,0.0,0.002,0.012,0.015,0.006,0.223,0.0,0.0
LLMs & generative AI,0.016,0.004,0.006,0.049,0.033,0.034,0.004,0.008,0.007,0.032,0.024,0.078,0.245,0.001
VR (1990s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
