wave,start,papers,years_to_1pct,years_to_2pct,peak_year,peak_share,share_at_10y_over_peak,subs_with_5plus,sub_entropy,self_reference_share,cohesion_lift,absorbed_into,newcomer_author_share,baseline_newcomer_share,incumbents_from,ref_age,baseline_ref_age
WWW,1994,605,1,2,1998,0.084,0.03,3,0.87,0.112,10.6,Search & Recommendation 10; Real-time Groupware 6; Web Accessibility 5,0.76,0.67,Real-time Groupware 3; Fisheye & Scrolling Techniques 2; Crowdfunding & Online Feedback 1,3.0,3.6
Mobile phones,1999,448,0,1,2001,0.03,0.66,0,0.97,0.071,9.1,Touch & Multi-touch Input 3; Cross-device & Large Display 2; Text Entry 2,0.56,0.6,GUI Toolkits & Web Interfaces 3; Meeting Capture & Reading 2; Search & Recommendation 2,2.9,4.5
Tabletop & multitouch,2005,528,2,6,2019,0.028,0.33,4,0.86,0.088,11.4,Tabletop Collaboration 7; Touch & Multi-touch Input 6; Pointing & Target Selection 5,0.31,0.57,Tangible Interaction 3; Touch & Multi-touch Input 3; Tabletop Collaboration 2,6.2,5.5
Social media,2007,1491,3,4,2022,0.079,0.45,1,0.89,0.099,44.0,Social Network Sites at Work 8; Crisis Informatics & Misinfo 2; Crisis Informatics 2,0.2,0.55,Social Network Sites at Work 2; Moderation & Online Harassment 1; Distributed Team Awareness 1,4.2,5.5
Smartphones & apps,2008,1450,4,5,2019,0.092,0.74,0,0.96,0.0,0.0,Smartphone Usage Logging 4; Indoor Localization 3; Neurodivergence & Autism 2,0.6,0.57,Search & Recommendation 1; Multimodal Speech Input 1; Usable Security & Phishing 1,4.5,5.5
Crowdsourcing (MTurk),2008,822,1,3,2021,0.04,0.78,1,0.78,0.354,58.3,Crowdsourcing & Human Comput 30; Wikipedia & Open Source 4; Explainable Machine Learning 3,0.38,0.57,GUI Toolkits & Web Interfaces 5; Meeting Capture & Reading 4; Search & Recommendation 4,3.6,5.5
Depth cameras (Kinect),2011,179,1,,2012,0.012,0.47,2,0.92,0.134,24.9,Augmented Reality Collaborat 7; Hand Input & Gesture Sensing 6; Indoor Localization 3,0.54,0.54,Tangible Interaction 7; Touch & Multi-touch Input 7; Video Interfaces & Editing 3,4.9,5.4
Personal fabrication,2012,782,4,6,2023,0.044,0.95,2,0.75,0.084,26.2,Digital Fabrication 16; Printed Electronics 10; Deformable & Soft Displays 3,0.39,0.52,Touch & Multi-touch Input 3; GUI Toolkits & Web Interfaces 2; Tangible Interaction 2,3.8,5.3
Wearables & smartwatches,2014,378,2,4,2019,0.026,0.54,4,0.82,0.058,15.7,Hand Input & Gesture Sensing 25; Self-tracking & Reflection 8; Touch & Multi-touch Input 5,0.45,0.5,Hand Input & Gesture Sensing 5; Text Entry 4; Tangible Interaction 4,4.9,5.4
Deep learning,2015,690,3,3,2021,0.046,0.51,10,0.89,0.065,25.7,Wearable Activity Recognitio 21; Hand Input & Gesture Sensing 13; Acoustic Health Sensing 7,0.54,0.49,Indoor Localization 5; Crowdsourcing & Human Computation 4; Crowdfunding & Online Feedback 4,4.3,5.5
VR (consumer HMDs),2016,1496,0,2,2023,0.088,,17,0.76,0.151,32.9,VR Haptics 112; Augmented Reality Collaborat 29; Hand Input & Gesture Sensing 23,0.55,0.49,Touch & Multi-touch Input 12; Tangible Interaction 11; Exergames & Bodily Play 11,5.9,5.6
Voice assistants,2016,709,2,3,2025,0.04,,3,0.54,0.223,107.7,Voice & Conversational Agent 94; Hand Input & Gesture Sensing 9; Smart-home Privacy 5,0.43,0.49,Tangible Interaction 4; Sustainable HCI 4; Location Sharing & Privacy 3,4.8,5.6
LLMs & generative AI,2022,1559,1,1,2025,0.185,,49,0.7,0.245,15.1,Generative AI & Writing 431; Explainable Machine Learning 127; Voice & Conversational Agent 118,0.53,0.46,Hand Input & Gesture Sensing 32; Programming & Notebooks 30; Generative AI & Writing 27,4.9,6.0
VR (1990s),1992,65,0,1,1995,0.047,0.58,0,0.97,0.175,18.8,Fisheye & Scrolling Techniqu 3; Pointing & Target Selection 2; Social VR & Presence 2,0.72,0.73,Pointing & Target Selection 2; GUI Toolkits & Web Interfaces 1; Clinical Information Work 1,3.4,3.2
