year,papers,mean_depth,median_depth,p90_depth,share_depth0
1981,80,0.0,0,0,1.0
1982,74,0.068,0,0,0.932
1983,59,0.305,0,1,0.746
1985,44,0.295,0,1,0.795
1986,147,0.51,0,2,0.646
1987,1,0.0,0,0,1.0
1988,102,0.745,0,2,0.559
1989,98,1.133,0,4,0.541
1990,120,2.017,1,5,0.458
1991,121,2.388,2,6,0.38
1992,267,2.584,0,7,0.506
1993,66,3.53,3,8,0.364
1994,136,4.897,6,9,0.257
1995,150,5.433,7,10,0.233
1996,219,4.918,4,11,0.393
1997,211,5.521,5,12,0.36
1998,267,6.453,8,13,0.326
1999,120,9.625,12,15,0.125
2000,293,8.024,10,15,0.294
2001,168,9.69,13,17,0.196
2002,327,9.615,13,17,0.281
2003,236,10.369,13,18,0.229
2004,393,12.168,16,19,0.216
2005,272,12.566,17,20,0.228
2006,471,14.1,18,22,0.176
2007,441,13.984,19,23,0.218
2008,644,16.685,21,24,0.148
2009,564,17.505,22,26,0.158
2010,879,17.635,23,27,0.2
2011,902,19.06,24,29,0.196
2012,1190,19.938,25,30,0.192
2013,1011,24.013,28,32,0.115
2014,1314,24.434,29,33,0.148
2015,1364,26.184,31,35,0.121
2016,1468,29.022,33,37,0.102
2017,1665,31.951,36,39,0.067
2018,1767,33.148,37,41,0.077
2019,1836,36.079,40,43,0.057
2020,1860,37.88,42,45,0.058
2021,2126,41.478,44,47,0.036
2022,2038,43.704,46,50,0.043
2023,2207,46.0,49,52,0.037
2024,2816,48.347,51,55,0.038
2025,3083,51.326,54,57,0.026
2026,2474,42.761,55,59,0.224
