sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
0,Participatory & Community Design,Social Media & Online Communities,752,297,0.579,0.57,0.852,42
1,Social Media & Privacy,Social Media & Online Communities,566,290,0.67,0.665,0.828,50
2,Wikipedia & Open Source,Social Media & Online Communities,472,343,0.789,0.766,0.818,37
3,Misinformation & News,Social Media & Online Communities,422,170,0.773,0.743,0.873,51
4,Content Moderation,Social Media & Online Communities,432,142,0.617,0.638,0.836,56
5,Gig Work & Labour,Social Media & Online Communities,356,160,0.659,0.643,0.859,39
6,Civic Data & Communities,Social Media & Online Communities,341,199,0.552,0.569,0.833,36
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,200,137,0.8,0.767,0.897,35
8,Refugees & Migration,Social Media & Online Communities,126,47,0.627,0.625,0.813,41
9,Political Talk & Team Formation,Social Media & Online Communities,114,73,0.706,0.705,0.9,30
10,Crowdfunding & Social Tagging,Social Media & Online Communities,116,95,0.85,0.817,0.774,31
11,Health & Wellbeing,"Health, Care & Ageing",414,171,0.674,0.663,0.877,55
12,Personal Informatics,"Health, Care & Ageing",425,183,0.603,0.599,0.779,55
13,Older Adults & Dementia Care,"Health, Care & Ageing",334,155,0.68,0.675,0.821,42
14,Persuasive Health & Activity,"Health, Care & Ageing",200,137,0.756,0.733,0.846,42
15,Chronic Care & Caregiving,"Health, Care & Ageing",252,138,0.545,0.547,0.837,43
16,Mindfulness & Biofeedback,"Health, Care & Ageing",204,80,0.626,0.629,0.821,50
17,Family Health Informatics,"Health, Care & Ageing",171,88,0.591,0.613,0.799,38
18,Hospital Work & Records,"Health, Care & Ageing",153,102,0.749,0.706,0.839,30
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",111,64,0.772,0.756,0.898,22
20,Autism & Neurodiversity,Accessibility & Assistive Tech,352,157,0.721,0.718,0.901,32
21,Web Accessibility,Accessibility & Assistive Tech,357,199,0.769,0.73,0.773,31
