sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
0,Participatory & Community Design,19268,2019,pacmhci,Deconstructing Community-Based Collaborative Design,10.1145/3359318,325,0.432,4651.7,584,-0.07103825136612021,-0.06509539842873176,16
0,Participatory & Community Design,20037,2020,chi,Critical Race Theory for HCI,10.1145/3313831.3376392,301,0.4,3088.0,388,-0.05142857142857143,-0.05310734463276836,16
0,Participatory & Community Design,6791,2010,chi,Feminist HCI,10.1145/1753326.1753521,599,0.797,3349.7,1098,0.3252190847127556,0.04195804195804196,29
0,Participatory & Community Design,2343,2000,dis,Rapid ethnography,10.1145/347642.347763,633,0.842,138.2,500,0.17194570135746606,0.17647058823529413,38
0,Participatory & Community Design,4427,2006,chi,Implications for design,10.1145/1124772.1124855,644,0.856,1062.8,835,0.24324324324324326,0.2112676056338028,36
0,Participatory & Community Design,13714,2016,dis,Social Justice-Oriented Interaction Design,10.1145/2901790.2901861,424,0.564,3717.0,389,-0.05666486778197517,-0.07493857493857493,22
0,Participatory & Community Design,4723,2007,chi,Social dynamics of early stage co-design in developing regions,10.1145/1240624.1240790,631,0.839,175.0,88,0.001445086705202312,-0.010309278350515464,33
0,Participatory & Community Design,6744,2010,chi,Postcolonial computing,10.1145/1753326.1753522,606,0.806,3396.1,763,0.8745762711864407,0.7631578947368421,29
1,Social Media & Privacy,4064,2006,cscw,A face(book) in the crowd,10.1145/1180875.1180901,528,0.933,1069.6,1002,0.6896551724137931,0.6875,39
1,Social Media & Privacy,17505,2018,pacmhci,Social Media as Social Transition Machinery,10.1145/3274332,226,0.399,1769.9,151,-0.07381370826010544,-0.08757062146892655,16
1,Social Media & Privacy,17415,2018,pacmhci,Safe Spaces and Safe Places,10.1145/3274424,220,0.389,2446.9,236,-0.07528089887640449,-0.08957952468007313,17
1,Social Media & Privacy,13322,2016,chi,Understanding Social Media Disclosures of Sexual Abuse Through the Lenses of Support Seeki,10.1145/2858036.2858096,305,0.539,2038.9,382,0.13089005235602094,-0.024752475247524754,22
1,Social Media & Privacy,4811,2007,chi,A familiar face(book),10.1145/1240624.1240695,524,0.926,644.5,628,0.3069306930693069,-0.05714285714285714,38
1,Social Media & Privacy,5484,2008,cscw,Changes in use and perception of facebook,10.1145/1460563.1460675,515,0.91,1121.1,508,-0.030690537084398978,-0.10101010101010101,36
1,Social Media & Privacy,17455,2018,pacmhci,'Too Gay for Facebook',10.1145/3274313,196,0.346,2139.3,207,-0.03873239436619718,-0.049132947976878616,16
1,Social Media & Privacy,5395,2008,chi,"Looking at, looking up or keeping up with people?",10.1145/1357054.1357213,520,0.919,1178.0,1396,0.325,0.22807017543859648,37
1,Social Media & Privacy,5911,2009,chi,Predicting tie strength with social media,10.1145/1518701.1518736,490,0.866,1306.6,1383,0.4012345679012346,0.3561643835616438,35
1,Social Media & Privacy,12313,2015,cscw,"Disclosure, Stress, and Support During Gender Transition on Facebook",10.1145/2675133.2675152,319,0.564,2545.3,215,0.1048951048951049,0.08374384236453201,24
2,Wikipedia & Open Source,2150,1998,cscw,The dynamics of mass interaction,10.1145/289444.289500,430,0.911,388.1,278,0.125,0.1,43
2,Wikipedia & Open Source,1959,1998,chi,Are newsgroups virtual communities?,10.1145/274644.274694,428,0.907,95.1,89,1.0,1.0,43
2,Wikipedia & Open Source,6635,2010,cscw,Socialization tactics in wikipedia and their effects,10.1145/1718918.1718940,196,0.415,1033.7,165,0.3076923076923077,0.3953488372093023,27
2,Wikipedia & Open Source,4656,2007,chi,"He says, she says",10.1145/1240624.1240698,337,0.714,1454.2,573,0.10704960835509138,0.09090909090909091,38
2,Wikipedia & Open Source,3570,2004,chi,Studying cooperation and conflict between authors with <i>history flow</i> visualizations,10.1145/985692.985765,391,0.828,1174.1,773,0.9855072463768116,1.0,41
2,Wikipedia & Open Source,2546,2000,chi,Lurker demographics,10.1145/332040.332409,383,0.811,295.2,569,0.18012422360248448,0.0,40
2,Wikipedia & Open Source,5145,2008,cscw,Harnessing the wisdom of crowds in wikipedia,10.1145/1460563.1460572,296,0.627,1325.1,680,0.21808510638297873,0.14814814814814814,35
2,Wikipedia & Open Source,4669,2007,iui,SuggestBot,10.1145/1216295.1216309,324,0.686,1541.6,246,0.08849557522123894,0.03571428571428571,38
