sub,name,band,papers,q1_year,early_papers,in_corpus_refs,external_refs,self_share,parent1,p1_share,parent2,p2_share,parent3,p3_share
0,Participatory & Community Design,Social Media & Online Communities,752,2013,75,360,2065,0.239,"ICTD, Mobile Money & Women",0.075,Sustainable HCI,0.069,Memory & Reminiscence,0.064
1,Social Media & Privacy,Social Media & Online Communities,566,2012,56,247,1193,0.437,Enterprise Social Networks,0.073,Wikipedia & Open Source,0.065,Location Sharing & Privacy,0.053
2,Wikipedia & Open Source,Social Media & Online Communities,472,2009,47,190,855,0.453,Real-time Groupware,0.084,Email & Web Revisitation,0.079,Instant Messaging,0.058
3,Misinformation & News,Social Media & Online Communities,422,2013,42,158,1082,0.519,Social Media & Privacy,0.051,Video Game Players & Communities,0.044,"Infrastructure, Hackathons & Crypto",0.044
4,Content Moderation,Social Media & Online Communities,432,2016,43,195,995,0.292,Wikipedia & Open Source,0.128,Video Interfaces & Editing,0.072,Bodily Play & Spectator Experience,0.056
5,Gig Work & Labour,Social Media & Online Communities,356,2015,35,140,853,0.171,Crowdsourcing & Peer Feedback,0.129,Wikipedia & Open Source,0.071,Location Sharing & Privacy,0.057
6,Civic Data & Communities,Social Media & Online Communities,341,2011,34,152,757,0.25,Bodily Play & Spectator Experience,0.086,Public & Ambient Displays,0.072,Design Research & Art,0.072
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,200,1990,20,33,286,0.636,Instant Messaging,0.121,Usable Security & Phishing,0.061,Design Research & Art,0.061
8,Refugees & Migration,Social Media & Online Communities,126,2016,20,101,439,0.139,Memory & Reminiscence,0.178,Participatory & Community Design,0.149,Misinformation & News,0.069
9,Political Talk & Team Formation,Social Media & Online Communities,114,2013,20,58,524,0.276,Wikipedia & Open Source,0.155,Crowdsourcing & Peer Feedback,0.103,Misinformation & News,0.069
10,Crowdfunding & Social Tagging,Social Media & Online Communities,116,2006,20,62,212,0.532,Instant Messaging,0.081,Public & Ambient Displays,0.081,Information Navigation,0.065
11,Health & Wellbeing,"Health, Care & Ageing",414,2014,41,156,1108,0.276,Persuasive Health & Activity,0.09,Chronic Care & Caregiving,0.09,Social Media & Privacy,0.09
12,Personal Informatics,"Health, Care & Ageing",425,2015,42,215,759,0.321,Persuasive Health & Activity,0.2,Memory & Reminiscence,0.088,Location Sharing & Privacy,0.047
13,Older Adults & Dementia Care,"Health, Care & Ageing",334,2010,33,128,588,0.172,Instant Messaging,0.117,Tangibles for Learning,0.086,Real-time Groupware,0.07
14,Persuasive Health & Activity,"Health, Care & Ageing",200,2010,20,67,367,0.418,Bodily Play & Spectator Experience,0.09,Sustainable HCI,0.06,Personal Informatics,0.06
15,Chronic Care & Caregiving,"Health, Care & Ageing",252,2011,25,99,510,0.242,Older Adults & Dementia Care,0.111,Persuasive Health & Activity,0.071,Memory & Reminiscence,0.071
16,Mindfulness & Biofeedback,"Health, Care & Ageing",204,2013,20,81,371,0.16,Memory & Reminiscence,0.16,Persuasive Health & Activity,0.074,Older Adults & Dementia Care,0.074
17,Family Health Informatics,"Health, Care & Ageing",171,2010,20,90,358,0.233,Memory & Reminiscence,0.111,Older Adults & Dementia Care,0.111,Pen & Bimanual Input,0.089
18,Hospital Work & Records,"Health, Care & Ageing",153,2000,20,64,334,0.391,Real-time Groupware,0.141,Instant Messaging,0.062,Email & Web Revisitation,0.062
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",111,2014,20,50,440,0.42,Persuasive Health & Activity,0.14,Older Adults & Dementia Care,0.06,Hand Sensing & Input,0.04
20,Autism & Neurodiversity,Accessibility & Assistive Tech,352,2011,35,87,792,0.264,Family Health Informatics,0.184,Public & Ambient Displays,0.069,Tangibles for Learning,0.046
21,Web Accessibility,Accessibility & Assistive Tech,357,2002,35,73,248,0.712,Real-time Groupware,0.055,Pen & Bimanual Input,0.041,Text Entry,0.027
22,Deaf & Sign Language,Accessibility & Assistive Tech,302,2010,30,70,398,0.329,Information Navigation,0.143,Public & Ambient Displays,0.071,Text Entry,0.057
23,Non-visual Navigation,Accessibility & Assistive Tech,299,2008,29,60,342,0.5,Pointing & Target Selection,0.167,Information Navigation,0.067,Web Accessibility,0.05
