wave,year,papers,share_of_corpus
WWW,1994,1,0.0074
WWW,1995,2,0.0133
WWW,1996,9,0.0411
WWW,1997,12,0.0569
WWW,1998,23,0.0861
WWW,1999,6,0.05
WWW,2000,17,0.058
WWW,2001,4,0.0238
WWW,2002,7,0.0214
WWW,2003,5,0.0212
WWW,2004,1,0.0025
WWW,2005,6,0.0221
WWW,2006,6,0.0127
WWW,2007,6,0.0136
WWW,2008,4,0.0062
WWW,2009,8,0.0142
WWW,2010,8,0.0091
WWW,2011,7,0.0078
WWW,2012,12,0.0101
WWW,2013,6,0.0059
WWW,2014,11,0.0084
WWW,2015,13,0.0095
WWW,2016,8,0.0054
WWW,2017,13,0.0078
WWW,2018,29,0.0164
WWW,2019,40,0.0218
WWW,2020,40,0.0215
WWW,2021,56,0.0263
WWW,2022,49,0.024
WWW,2023,50,0.0227
WWW,2024,47,0.0167
WWW,2025,53,0.0172
Mobile phones,1999,2,0.0167
Mobile phones,2000,8,0.0273
Mobile phones,2001,5,0.0298
Mobile phones,2002,3,0.0092
Mobile phones,2003,3,0.0127
Mobile phones,2004,3,0.0076
Mobile phones,2005,2,0.0074
Mobile phones,2006,10,0.0212
Mobile phones,2007,7,0.0159
Mobile phones,2008,6,0.0093
Mobile phones,2009,11,0.0195
Mobile phones,2010,10,0.0114
Mobile phones,2011,10,0.0111
Mobile phones,2012,9,0.0076
Mobile phones,2013,19,0.0188
Mobile phones,2014,14,0.0107
Mobile phones,2015,12,0.0088
Mobile phones,2016,17,0.0116
Mobile phones,2017,17,0.0102
Mobile phones,2018,26,0.0147
Mobile phones,2019,36,0.0196
Mobile phones,2020,48,0.0258
Mobile phones,2021,36,0.0169
Mobile phones,2022,28,0.0137
Mobile phones,2023,38,0.0172
Mobile phones,2024,27,0.0096
Mobile phones,2025,24,0.0078
Tabletop & multitouch,2005,2,0.0074
Tabletop & multitouch,2006,3,0.0064
Tabletop & multitouch,2007,5,0.0113
Tabletop & multitouch,2008,8,0.0124
Tabletop & multitouch,2009,11,0.0195
Tabletop & multitouch,2010,15,0.0171
Tabletop & multitouch,2011,21,0.0233
Tabletop & multitouch,2012,19,0.016
Tabletop & multitouch,2013,25,0.0247
Tabletop & multitouch,2014,21,0.016
Tabletop & multitouch,2015,13,0.0095
Tabletop & multitouch,2016,27,0.0184
Tabletop & multitouch,2017,15,0.009
Tabletop & multitouch,2018,35,0.0198
Tabletop & multitouch,2019,53,0.0289
Tabletop & multitouch,2020,43,0.0231
Tabletop & multitouch,2021,49,0.023
Tabletop & multitouch,2022,32,0.0157
Tabletop & multitouch,2023,41,0.0186
Tabletop & multitouch,2024,38,0.0135
Tabletop & multitouch,2025,36,0.0117
Social media,2010,9,0.0102
Social media,2011,19,0.0211
Social media,2012,23,0.0193
Social media,2013,27,0.0267
Social media,2014,34,0.0259
Social media,2015,38,0.0279
Social media,2016,38,0.0259
Social media,2017,61,0.0366
Social media,2018,73,0.0413
Social media,2019,108,0.0588
Social media,2020,108,0.0581
Social media,2021,141,0.0663
Social media,2022,162,0.0795
Social media,2023,139,0.063
Social media,2024,175,0.0621
Social media,2025,209,0.0678
