citing_wave,WWW,Mobile phones,Tabletop & multitouch,Social media,Smartphones & apps,Crowdsourcing (MTurk),Depth cameras (Kinect),Personal fabrication,Wearables & smartwatches,Deep learning,VR (consumer HMDs),Voice assistants,LLMs & generative AI,VR (1990s)
WWW,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037
Mobile phones,0.042,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028
Tabletop & multitouch,0.004,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social media,0.002,0.002,0.0,0.155,0.004,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartphones & apps,0.021,0.039,0.029,0.01,0.051,0.025,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Crowdsourcing (MTurk),0.008,0.0,0.003,0.0,0.0,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth cameras (Kinect),0.0,0.017,0.033,0.0,0.0,0.003,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.013
Personal fabrication,0.001,0.006,0.015,0.002,0.007,0.01,0.012,0.115,0.002,0.003,0.012,0.0,0.0,0.002
Wearables & smartwatches,0.001,0.024,0.035,0.004,0.041,0.015,0.016,0.0,0.043,0.005,0.003,0.005,0.0,0.004
Deep learning,0.01,0.021,0.041,0.048,0.063,0.055,0.017,0.003,0.021,0.084,0.011,0.012,0.0,0.0
VR (consumer HMDs),0.001,0.016,0.018,0.003,0.013,0.003,0.033,0.009,0.006,0.003,0.154,0.0,0.0,0.018
Voice assistants,0.005,0.017,0.005,0.039,0.098,0.043,0.0,0.002,0.008,0.019,0.004,0.274,0.0,0.0
LLMs & generative AI,0.016,0.004,0.006,0.048,0.035,0.035,0.004,0.008,0.007,0.032,0.025,0.077,0.244,0.001
VR (1990s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
