wave,start,start_manual,papers,years_to_1pct,years_to_2pct,peak_year,peak_share,share_at_10y_over_peak,subs_with_5plus,sub_entropy,self_reference_share,cohesion_lift,absorbed_into,newcomer_author_share,baseline_newcomer_share,incumbents_from,ref_age,baseline_ref_age
WWW,1994,1994,597,1,2,1998,0.086,0.03,3,0.88,0.103,10.4,Email & Web Revisitation 9; Real-time Groupware 6; Web Accessibility 5,0.74,0.66,Programming & Notebooks 2; Information Navigation 2; Adaptive Help & Software Learnability 2,3.1,3.6
Mobile phones,1999,1999,450,0,1,2001,0.03,0.66,0,0.95,0.07,9.0,Information Navigation 4; Touch & Multi-touch Input 3; Public & Ambient Displays 2,0.56,0.6,Pen & Bimanual Input 5; Task Models & UI Engineering 2; Real-time Groupware 2,2.9,4.5
Tabletop & multitouch,2005,2005,536,2,6,2019,0.029,0.33,2,0.85,0.086,12.3,Pointing & Target Selection 7; Public & Ambient Displays 7; Tangibles for Learning 4,0.31,0.55,Public & Ambient Displays 4; Pen & Bimanual Input 3; Tangibles for Learning 2,6.2,5.6
Social media,2010,2007,1491,0,1,2022,0.079,0.73,5,0.76,0.155,19.6,Social Media & Privacy 31; Misinformation & News 17; Wikipedia & Open Source 13,0.52,0.56,Email & Web Revisitation 7; Real-time Groupware 4; Information Navigation 4,3.5,5.5
Smartphones & apps,2011,2008,1441,1,2,2019,0.093,0.82,4,0.92,0.051,8.5,Urban Mobility Prediction 12; Usable Security & Phishing 8; Notifications & Interruptibi 7,0.6,0.53,Pointing & Target Selection 3; AR Depth Perception 3; Tangibles for Learning 3,4.8,5.5
Crowdsourcing (MTurk),2008,2008,828,0,3,2021,0.04,0.78,2,0.79,0.347,60.0,Crowdsourcing & Peer Feedbac 29; Wikipedia & Open Source 7; Visual Accessibility 3,0.36,0.56,Email & Web Revisitation 7; Adaptive Help & Software Learnability 5; Bodily Play & Spectator Experience 5,3.6,5.6
Depth cameras (Kinect),2011,2011,179,1,,2012,0.011,0.52,1,0.95,0.134,26.3,Telepresence & Remote Collab 5; Activity & Ambient Sensing 4; Hand Sensing & Input 4,0.54,0.53,Tangible & Tabletop Sensing 7; Tangibles for Learning 5; Video Interfaces & Editing 4,4.9,5.5
Personal fabrication,2015,2012,787,1,3,2023,0.045,0.69,7,0.78,0.115,23.3,"Digital Fabrication 38; Knitting, Cloth & Printed Ob 25; Shape-changing Interfaces 15",0.48,0.49,Adaptive Help & Software Learnability 12; Tangibles for Learning 5; Hand Sensing & Input 4,4.5,5.6
Wearables & smartwatches,2015,2014,374,1,3,2019,0.026,0.46,4,0.85,0.043,11.9,Hand Sensing & Input 29; Activity & Ambient Sensing 10; Personal Informatics 10,0.43,0.49,Public & Ambient Displays 7; Text Entry 6; Bodily Play & Spectator Experience 4,5.2,5.6
Deep learning,2016,2015,711,2,2,2021,0.048,,9,0.84,0.084,20.6,Hand Sensing & Input 32; Activity & Ambient Sensing 26; Wearable Activity Recognitio 24,0.58,0.49,Public & Ambient Displays 7; Activity & Ambient Sensing 7; Urban Mobility Prediction 6,4.7,5.7
VR (consumer HMDs),2016,2016,1509,0,2,2023,0.088,,26,0.87,0.154,33.7,VR Locomotion 37; Force Feedback Devices 28; VR Presence & Avatars 22,0.55,0.49,Bodily Play & Spectator Experience 16; Hand Sensing & Input 12; Public & Ambient Displays 7,6.0,5.7
Voice assistants,2018,2016,703,0,1,2025,0.04,,6,0.66,0.274,43.7,Voice Assistants for Older A 98; Chatbot Companions 62; Hand Sensing & Input 12,0.48,0.47,Crowdsourcing & Peer Feedback 13; Wikipedia & Open Source 10; Tangibles for Learning 8,5.1,5.8
LLMs & generative AI,2022,2022,1565,1,1,2025,0.186,,56,0.72,0.244,14.1,"LLMs, Writing & Prompting 452; Human-AI Trust & Explanation 86; Chatbot Companions 56",0.53,0.46,Hand Sensing & Input 27; Programming & Notebooks 23; Crowdsourcing & Peer Feedback 23,5.0,6.1
VR (1990s),1992,1992,65,0,1,1995,0.047,0.59,1,0.92,nan,nan,Real-time Groupware 5; Latency & Input Quality 2; Information Navigation 2,0.72,0.72,Latency & Input Quality 2; Task Models & UI Engineering 1; Data Visualization 1,3.4,3.2
