corpus,window_prev,window,coword_clusters,coword_persisted,motor,motor_persisted,cite_clusters,cite_persisted
CHI,1994-1998,1999-2003,0,0,0,0,4,4
CHI,1999-2003,2004-2008,1,0,1,0,12,8
CHI,2004-2008,2009-2013,5,0,3,0,17,13
CHI,2009-2013,2014-2018,9,1,4,0,25,15
CHI,2014-2018,2019-2023,10,0,3,0,18,6
CHI,2019-2023,2024-2026,9,1,3,1,23,15
core venues,1994-1998,1999-2003,6,0,2,0,15,12
core venues,1999-2003,2004-2008,9,1,3,1,21,14
core venues,2004-2008,2009-2013,13,0,4,0,22,13
core venues,2009-2013,2014-2018,8,1,3,0,22,16
core venues,2014-2018,2019-2023,7,0,2,0,18,12
core venues,2019-2023,2024-2026,7,1,2,0,20,12
