sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
0,3D Pointing & VR Interaction,Input & Interaction Techniques,675,1990,1992,1994,2025,2016,2009,2021,30.54,59
1,RF & Radar Sensing,Input & Interaction Techniques,656,1995,2013,2011,2025,2022,2019,2024,41.96,60
2,Wearable Activity Recognition,Input & Interaction Techniques,535,2001,2003,2005,2018,2018,2013,2023,32.52,59
3,Pointing & Target Selection,Input & Interaction Techniques,523,1982,1992,1988,2019,2017,2009,2022,31.21,58
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,501,1982,1997,1998,2016,2017,2013,2022,37.13,59
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,463,1983,1986,1988,2009,2005,1996,2011,17.15,53
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,444,1982,1998,1995,2013,2015,2012,2019,31.37,56
7,Pen & Sketch Input,Input & Interaction Techniques,414,1985,1990,1992,2012,2011,2005,2015,26.19,54
8,Text Entry,Input & Interaction Techniques,399,1982,1997,1998,2018,2017,2011,2021,33.56,61
9,Touch & Multi-touch Input,Input & Interaction Techniques,308,1986,2001,2000,2017,2015,2011,2018,34.77,54
11,VR Haptics,"Tangible, VR & Fabrication",684,1994,2008,2006,2025,2021,2018,2024,39.89,63
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",679,1991,2002,2004,2016,2018,2014,2022,37.16,60
13,Tangible Interaction,"Tangible, VR & Fabrication",674,1991,1995,1997,2010,2012,2009,2017,26.53,60
14,Printed Electronics,"Tangible, VR & Fabrication",518,1985,2007,2004,2018,2019,2015,2022,38.45,62
15,Digital Fabrication,"Tangible, VR & Fabrication",513,1997,2010,2010,2024,2021,2017,2024,41.93,62
16,E-textiles & Weaving,"Tangible, VR & Fabrication",477,2005,2005,2006,2024,2020,2015,2023,36.65,63
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",344,1998,2003,2003,2015,2016,2012,2021,32.19,60
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",286,1995,2000,2000,2025,2019,2016,2023,28.94,57
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",198,1986,2001,2000,2009,2014,2009,2019,28.24,56
20,Making & Makerspaces,"Tangible, VR & Fabrication",152,1990,2011,1996,2015,2017,2014,2021,34.17,55
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",320,1999,2011,2008,2025,2022,2017,2024,41.02,63
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",351,1982,1998,1999,2024,2018,2012,2023,32.64,60
23,Eye Tracker Quality & Gaze Estimation,"Gaze, Eye Tracking & Multimodal Sensing",260,1985,2006,2004,2018,2018,2012,2023,24.41,52
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",255,2000,2002,2002,2019,2019,2012,2023,22.86,54
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",245,1983,2008,2003,2022,2018,2014,2022,30.11,56
26,Gaze in Conversation & Groups,"Gaze, Eye Tracking & Multimodal Sensing",218,2000,2002,2003,2013,2017,2012,2021,24.14,52
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",200,2003,2009,2008,2024,2018,2014,2023,31.61,57
28,Affect Recognition,"Gaze, Eye Tracking & Multimodal Sensing",180,2004,2011,2012,2020,2017,2015,2020,18.71,47
29,Multimodal Sentiment & Speaking,"Gaze, Eye Tracking & Multimodal Sensing",163,2000,2011,2004,2015,2017,2015,2021,25.33,55
30,Fixation & Saccade Analysis,"Gaze, Eye Tracking & Multimodal Sensing",153,2000,2016,2010,2025,2022,2018,2025,25.74,55
31,Gaze Calibration & Datasets,"Gaze, Eye Tracking & Multimodal Sensing",140,2000,2002,2004,2018,2017,2012,2019,30.64,53
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",307,1990,2000,2000,2023,2018,2012,2022,21.75,54
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",653,1982,1990,1992,2025,2017,2010,2022,30.45,59
34,CSCW Foundations,"Collaboration, Displays & Mixed Reality",564,1982,1985,1986,1992,1999,1994,2007,13.37,54
35,Cross-device & Large Displays,"Collaboration, Displays & Mixed Reality",467,1983,1995,1996,2014,2013,2008,2017,28.02,53
36,UI Toolkits & Automatic Generation,"Collaboration, Displays & Mixed Reality",378,1981,1981,1982,1988,1997,1991,2008,10.26,46
37,AR Authoring & Assembly,"Collaboration, Displays & Mixed Reality",349,1995,2001,2002,2024,2021,2017,2024,36.84,61
38,Tabletop Collaboration,"Collaboration, Displays & Mixed Reality",294,1986,2001,1992,2010,2012,2009,2015,26.93,49
39,Public & Ambient Displays,"Collaboration, Displays & Mixed Reality",288,1990,2000,2000,2014,2014,2010,2016,28.53,58
40,Real-time Groupware,"Collaboration, Displays & Mixed Reality",289,1982,1986,1986,1998,2000,1996,2010,16.56,52
41,Social VR & Presence,"Collaboration, Displays & Mixed Reality",240,1995,2015,2004,2025,2022,2019,2025,39.41,60
42,Mixed Reality Rooms & Video,"Collaboration, Displays & Mixed Reality",197,1996,2014,2003,2019,2019,2016,2022,33.95,56
43,Live Streaming,"Collaboration, Displays & Mixed Reality",168,2002,2011,2008,2021,2019,2016,2022,36.53,58
44,Meeting Capture & Reading,"Collaboration, Displays & Mixed Reality",158,1983,1985,1986,2001,2004,1996,2012,16.79,56
45,Distributed Cognition & Emergency Coordination,"Collaboration, Displays & Mixed Reality",97,1983,2002,1988,2012,2009,2003,2014,18.59,57
46,Driver Distraction & Take-over,Automotive & Automated Driving,165,2004,2009,2007,2017,2017,2013,2020,27.25,52
47,In-Car Interfaces,Automotive & Automated Driving,140,2005,2009,2009,2013,2017,2013,2021,30.39,54
48,Automated Driving,Automotive & Automated Driving,128,2009,2015,2015,2021,2021,2019,2023,35.41,54
49,Car Navigation & Driver UIs,Automotive & Automated Driving,122,1989,2008,2003,2014,2014,2011,2017,24.46,55
50,Autonomous Vehicles & Pedestrians,Automotive & Automated Driving,482,1990,2002,2002,2020,2020,2016,2023,32.69,59
51,Cognitive Modeling & Mixed Small Topics,Mixed Small Communities,672,1982,1982,1983,2025,2013,2003,2019,5.89,55
52,Non-visual Navigation,Accessibility & Assistive Tech,152,2005,2014,2009,2024,2021,2017,2024,39.45,59
53,Accessibility Research Practice,Accessibility & Assistive Tech,152,1995,2015,2007,2026,2021,2018,2024,39.33,59
54,Visual Accessibility,Accessibility & Assistive Tech,126,2005,2017,2013,2024,2022,2019,2024,43.79,59
55,Disability Studies in HCI,Accessibility & Assistive Tech,551,1986,2005,2003,2025,2020,2017,2024,34.98,61
56,Esports & Player Communities,Games & Play,144,2004,2010,2006,2021,2020,2014,2023,37.67,58
57,Player Experience & Immersion,Games & Play,132,1981,2012,2007,2016,2018,2015,2021,30.77,54
58,Gamification & Engagement,Games & Play,692,1982,2004,2004,2024,2019,2015,2023,32.6,58
59,Social Robots in the Field,"Robots, Agents & Human-AI Interaction",1732,1992,2002,2006,2019,2019,2013,2023,25.63,61
60,Generative AI & Writing,"Robots, Agents & Human-AI Interaction",1160,1982,1999,2004,2025,2024,2021,2025,44.02,63
61,Voice & Conversational Agents,"Robots, Agents & Human-AI Interaction",1098,1983,1998,2000,2025,2023,2019,2025,39.15,61
62,End-user Programming & UI Design Tools,"Robots, Agents & Human-AI Interaction",619,1981,1989,1992,2024,2015,2008,2021,30.4,63
63,Robots & Agents in Education,"Robots, Agents & Human-AI Interaction",475,1992,2001,2001,2025,2022,2018,2025,34.94,62
64,Video Interfaces & Editing,"Robots, Agents & Human-AI Interaction",427,1982,1985,1986,2014,2014,2008,2021,28.73,62
65,Meeting Support & Group Displays,"Robots, Agents & Human-AI Interaction",183,1986,2009,2003,2025,2022,2014,2025,34.3,61
66,Usability Methods & Personas,"Robots, Agents & Human-AI Interaction",158,1982,1990,1983,2026,2013,2006,2022,22.8,62
67,Multimodal Speech Interfaces,"Robots, Agents & Human-AI Interaction",122,1989,1995,1991,2004,2007,2004,2012,15.71,56
68,Natural Language Interfaces & Human-AI Teams,"Robots, Agents & Human-AI Interaction",316,1982,2007,1995,2025,2023,2018,2025,36.72,63
69,Urban Mobility Data,Mobile Life & Attention,221,2006,2010,2008,2018,2018,2014,2020,30.23,58
70,Email & Web Revisitation,Mobile Life & Attention,221,1983,1985,1986,2009,2009,2005,2013,22.85,55
71,Notifications & Interruptibility,Mobile Life & Attention,195,1992,2002,2003,2017,2017,2011,2021,34.35,59
72,Instant Messaging,Mobile Life & Attention,173,1994,1997,1998,2005,2008,2004,2017,26.57,57
