sub,name,band,year,papers,cites_received
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1990,3,1
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1991,2,1
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1992,2,6
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1993,1,3
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1994,6,7
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1995,3,9
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1996,10,14
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1997,10,25
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1998,11,29
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1999,11,40
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2000,9,46
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2001,6,23
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2002,6,27
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2003,11,31
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2004,8,31
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2005,14,67
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2006,14,73
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2007,14,72
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2008,20,74
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2009,22,110
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2010,21,131
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2011,21,199
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2012,23,181
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2013,26,191
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2014,26,250
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2015,22,196
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2016,30,200
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2017,28,265
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2018,23,273
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2019,38,348
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2020,25,309
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2021,41,447
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2022,26,420
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2023,38,635
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2024,33,688
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2025,48,799
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2026,23,427
1,RF & Radar Sensing,Input & Interaction Techniques,1995,1,0
1,RF & Radar Sensing,Input & Interaction Techniques,1997,1,0
1,RF & Radar Sensing,Input & Interaction Techniques,1998,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,1999,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2001,2,1
1,RF & Radar Sensing,Input & Interaction Techniques,2003,1,2
1,RF & Radar Sensing,Input & Interaction Techniques,2005,1,2
1,RF & Radar Sensing,Input & Interaction Techniques,2006,0,1
1,RF & Radar Sensing,Input & Interaction Techniques,2007,1,1
1,RF & Radar Sensing,Input & Interaction Techniques,2008,0,2
1,RF & Radar Sensing,Input & Interaction Techniques,2009,3,1
1,RF & Radar Sensing,Input & Interaction Techniques,2010,2,0
1,RF & Radar Sensing,Input & Interaction Techniques,2011,3,6
