group,period,refs,same_sub_share,mean_ref_age,median_ref_age
hci,1995-1999,3089,0.57,3.9,3
hci,2000-2004,5483,0.496,5.01,4
hci,2005-2009,10588,0.498,5.64,4
hci,2010-2014,27493,0.51,5.62,4
hci,2015-2019,76999,0.493,5.64,4
hci,2020-2024,173070,0.478,6.04,4
hci,2025-2029,96455,0.469,6.07,4
graphics,1995-1999,448,0.589,4.57,3
graphics,2000-2004,578,0.63,5.76,5
graphics,2005-2009,623,0.645,7.55,7
graphics,2010-2014,1741,0.593,6.61,3
graphics,2015-2019,4237,0.691,5.53,3
graphics,2020-2024,3185,0.689,6.73,5
graphics,2025-2029,852,0.655,7.42,7
robotics,2005-2009,270,0.544,4.0,2
robotics,2010-2014,404,0.577,5.15,4
robotics,2015-2019,1100,0.52,6.16,5
robotics,2020-2024,2413,0.508,6.55,5
robotics,2025-2029,715,0.481,7.14,6
vr/ar,2005-2009,312,0.526,7.31,7
vr/ar,2010-2014,488,0.588,7.4,5
vr/ar,2015-2019,1876,0.569,7.47,5
vr/ar,2020-2024,6266,0.532,6.59,4
vr/ar,2025-2029,2475,0.514,6.84,5
