sub,name,band,year,refs,same_sub_share,same_band_share,other_band_share,mean_age_same_sub
0,Activity Recognition & Sensing,Sensing & Input Techniques,1997,1,0.0,1.0,0.0,
0,Activity Recognition & Sensing,Sensing & Input Techniques,2001,1,1.0,0.0,0.0,6.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2003,2,0.5,0.0,0.5,2.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2004,1,0.0,0.0,1.0,
0,Activity Recognition & Sensing,Sensing & Input Techniques,2005,1,1.0,0.0,0.0,2.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2006,6,0.667,0.0,0.333,2.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2007,3,0.667,0.333,0.0,2.5
0,Activity Recognition & Sensing,Sensing & Input Techniques,2008,25,0.36,0.08,0.56,3.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2009,8,0.5,0.375,0.125,3.75
0,Activity Recognition & Sensing,Sensing & Input Techniques,2010,12,0.5,0.0,0.5,5.0
0,Activity Recognition & Sensing,Sensing & Input Techniques,2011,17,0.412,0.353,0.235,6.14
0,Activity Recognition & Sensing,Sensing & Input Techniques,2012,56,0.339,0.125,0.536,4.42
0,Activity Recognition & Sensing,Sensing & Input Techniques,2013,29,0.552,0.069,0.379,3.38
0,Activity Recognition & Sensing,Sensing & Input Techniques,2014,89,0.36,0.36,0.281,3.81
0,Activity Recognition & Sensing,Sensing & Input Techniques,2015,94,0.5,0.106,0.394,3.43
0,Activity Recognition & Sensing,Sensing & Input Techniques,2016,158,0.519,0.304,0.177,2.82
0,Activity Recognition & Sensing,Sensing & Input Techniques,2017,181,0.547,0.21,0.243,2.75
0,Activity Recognition & Sensing,Sensing & Input Techniques,2018,361,0.587,0.186,0.227,3.04
0,Activity Recognition & Sensing,Sensing & Input Techniques,2019,402,0.654,0.137,0.209,2.82
0,Activity Recognition & Sensing,Sensing & Input Techniques,2020,482,0.666,0.178,0.156,2.99
0,Activity Recognition & Sensing,Sensing & Input Techniques,2021,679,0.68,0.135,0.184,3.39
0,Activity Recognition & Sensing,Sensing & Input Techniques,2022,811,0.693,0.143,0.164,3.42
0,Activity Recognition & Sensing,Sensing & Input Techniques,2023,1008,0.699,0.126,0.175,3.45
0,Activity Recognition & Sensing,Sensing & Input Techniques,2024,990,0.757,0.125,0.118,3.8
0,Activity Recognition & Sensing,Sensing & Input Techniques,2025,1129,0.803,0.062,0.135,4.1
0,Activity Recognition & Sensing,Sensing & Input Techniques,2026,532,0.607,0.145,0.248,4.19
1,Touch & Multi-touch Input,Sensing & Input Techniques,1978,1,0.0,1.0,0.0,
1,Touch & Multi-touch Input,Sensing & Input Techniques,1983,2,0.5,0.0,0.5,0.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1984,2,0.0,1.0,0.0,
1,Touch & Multi-touch Input,Sensing & Input Techniques,1985,1,1.0,0.0,0.0,0.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1988,2,0.5,0.5,0.0,5.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1989,3,0.333,0.333,0.333,4.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1990,11,0.182,0.273,0.545,1.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1991,1,1.0,0.0,0.0,3.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1992,4,0.5,0.5,0.0,2.5
1,Touch & Multi-touch Input,Sensing & Input Techniques,1994,13,0.385,0.385,0.231,4.8
1,Touch & Multi-touch Input,Sensing & Input Techniques,1995,4,0.25,0.5,0.25,1.0
1,Touch & Multi-touch Input,Sensing & Input Techniques,1996,7,0.714,0.286,0.0,5.4
1,Touch & Multi-touch Input,Sensing & Input Techniques,1997,24,0.208,0.542,0.25,7.4
1,Touch & Multi-touch Input,Sensing & Input Techniques,1998,36,0.389,0.333,0.278,3.71
1,Touch & Multi-touch Input,Sensing & Input Techniques,1999,58,0.448,0.345,0.207,2.92
1,Touch & Multi-touch Input,Sensing & Input Techniques,2000,74,0.446,0.243,0.311,4.21
1,Touch & Multi-touch Input,Sensing & Input Techniques,2001,9,0.444,0.222,0.333,1.25
1,Touch & Multi-touch Input,Sensing & Input Techniques,2002,39,0.41,0.282,0.308,5.56
1,Touch & Multi-touch Input,Sensing & Input Techniques,2003,48,0.458,0.271,0.271,4.23
1,Touch & Multi-touch Input,Sensing & Input Techniques,2004,106,0.406,0.226,0.368,6.4
1,Touch & Multi-touch Input,Sensing & Input Techniques,2005,126,0.468,0.31,0.222,6.41
1,Touch & Multi-touch Input,Sensing & Input Techniques,2006,160,0.506,0.237,0.256,5.59
1,Touch & Multi-touch Input,Sensing & Input Techniques,2007,222,0.55,0.252,0.198,5.75
1,Touch & Multi-touch Input,Sensing & Input Techniques,2008,238,0.529,0.282,0.189,6.41
1,Touch & Multi-touch Input,Sensing & Input Techniques,2009,254,0.563,0.291,0.146,6.11
1,Touch & Multi-touch Input,Sensing & Input Techniques,2010,281,0.544,0.235,0.221,5.34
1,Touch & Multi-touch Input,Sensing & Input Techniques,2011,419,0.594,0.251,0.155,6.43
1,Touch & Multi-touch Input,Sensing & Input Techniques,2012,400,0.557,0.228,0.215,6.59
1,Touch & Multi-touch Input,Sensing & Input Techniques,2013,443,0.587,0.244,0.169,6.01
1,Touch & Multi-touch Input,Sensing & Input Techniques,2014,499,0.601,0.214,0.184,6.75
1,Touch & Multi-touch Input,Sensing & Input Techniques,2015,280,0.589,0.211,0.2,5.53
1,Touch & Multi-touch Input,Sensing & Input Techniques,2016,451,0.561,0.293,0.146,7.06
1,Touch & Multi-touch Input,Sensing & Input Techniques,2017,617,0.583,0.219,0.198,7.25
1,Touch & Multi-touch Input,Sensing & Input Techniques,2018,612,0.65,0.252,0.098,6.66
1,Touch & Multi-touch Input,Sensing & Input Techniques,2019,515,0.538,0.258,0.204,7.88
1,Touch & Multi-touch Input,Sensing & Input Techniques,2020,526,0.561,0.245,0.194,7.86
1,Touch & Multi-touch Input,Sensing & Input Techniques,2021,554,0.46,0.251,0.289,8.77
1,Touch & Multi-touch Input,Sensing & Input Techniques,2022,463,0.479,0.238,0.283,9.73
1,Touch & Multi-touch Input,Sensing & Input Techniques,2023,255,0.565,0.247,0.188,8.51
1,Touch & Multi-touch Input,Sensing & Input Techniques,2024,357,0.538,0.261,0.202,9.44
1,Touch & Multi-touch Input,Sensing & Input Techniques,2025,394,0.419,0.327,0.254,10.91
1,Touch & Multi-touch Input,Sensing & Input Techniques,2026,118,0.415,0.22,0.364,8.84
2,Hand Sensing & Input,Sensing & Input Techniques,1995,5,0.0,0.2,0.8,
2,Hand Sensing & Input,Sensing & Input Techniques,1997,1,1.0,0.0,0.0,2.0
2,Hand Sensing & Input,Sensing & Input Techniques,1999,5,0.0,0.8,0.2,
2,Hand Sensing & Input,Sensing & Input Techniques,2000,8,0.25,0.75,0.0,1.5
2,Hand Sensing & Input,Sensing & Input Techniques,2001,4,0.75,0.25,0.0,4.67
2,Hand Sensing & Input,Sensing & Input Techniques,2004,4,0.0,0.0,1.0,
2,Hand Sensing & Input,Sensing & Input Techniques,2005,14,0.214,0.357,0.429,5.67
2,Hand Sensing & Input,Sensing & Input Techniques,2006,11,0.091,0.182,0.727,5.0
2,Hand Sensing & Input,Sensing & Input Techniques,2007,22,0.182,0.273,0.545,3.5
2,Hand Sensing & Input,Sensing & Input Techniques,2008,18,0.222,0.556,0.222,1.5
2,Hand Sensing & Input,Sensing & Input Techniques,2009,58,0.207,0.517,0.276,2.92
2,Hand Sensing & Input,Sensing & Input Techniques,2010,58,0.379,0.293,0.328,3.32
2,Hand Sensing & Input,Sensing & Input Techniques,2011,134,0.328,0.455,0.216,3.5
2,Hand Sensing & Input,Sensing & Input Techniques,2012,162,0.457,0.321,0.222,2.77
2,Hand Sensing & Input,Sensing & Input Techniques,2013,158,0.506,0.323,0.171,3.64
2,Hand Sensing & Input,Sensing & Input Techniques,2014,272,0.526,0.243,0.232,3.36
2,Hand Sensing & Input,Sensing & Input Techniques,2015,450,0.569,0.213,0.218,3.68
2,Hand Sensing & Input,Sensing & Input Techniques,2016,464,0.612,0.205,0.183,3.66
2,Hand Sensing & Input,Sensing & Input Techniques,2017,627,0.515,0.195,0.29,4.03
2,Hand Sensing & Input,Sensing & Input Techniques,2018,633,0.531,0.234,0.235,4.6
2,Hand Sensing & Input,Sensing & Input Techniques,2019,808,0.541,0.2,0.259,4.67
2,Hand Sensing & Input,Sensing & Input Techniques,2020,717,0.503,0.232,0.265,5.2
2,Hand Sensing & Input,Sensing & Input Techniques,2021,800,0.492,0.269,0.239,5.88
2,Hand Sensing & Input,Sensing & Input Techniques,2022,911,0.504,0.235,0.261,5.47
2,Hand Sensing & Input,Sensing & Input Techniques,2023,1132,0.515,0.24,0.245,6.94
2,Hand Sensing & Input,Sensing & Input Techniques,2024,936,0.49,0.235,0.275,6.37
2,Hand Sensing & Input,Sensing & Input Techniques,2025,1301,0.537,0.202,0.261,6.77
2,Hand Sensing & Input,Sensing & Input Techniques,2026,512,0.521,0.279,0.199,6.45
3,Gaze in VR,Sensing & Input Techniques,1982,1,1.0,0.0,0.0,2.0
3,Gaze in VR,Sensing & Input Techniques,1983,1,0.0,0.0,1.0,
3,Gaze in VR,Sensing & Input Techniques,1986,1,1.0,0.0,0.0,3.0
3,Gaze in VR,Sensing & Input Techniques,1988,1,1.0,0.0,0.0,2.0
3,Gaze in VR,Sensing & Input Techniques,1989,1,0.0,1.0,0.0,
3,Gaze in VR,Sensing & Input Techniques,1990,17,0.882,0.059,0.059,5.67
3,Gaze in VR,Sensing & Input Techniques,1991,4,0.5,0.5,0.0,2.0
3,Gaze in VR,Sensing & Input Techniques,1992,18,0.5,0.444,0.056,5.89
3,Gaze in VR,Sensing & Input Techniques,1993,3,0.667,0.0,0.333,4.0
3,Gaze in VR,Sensing & Input Techniques,1994,30,0.267,0.533,0.2,6.38
3,Gaze in VR,Sensing & Input Techniques,1995,9,0.333,0.333,0.333,11.33
3,Gaze in VR,Sensing & Input Techniques,1996,20,0.4,0.3,0.3,2.5
3,Gaze in VR,Sensing & Input Techniques,1997,18,0.667,0.056,0.278,3.58
3,Gaze in VR,Sensing & Input Techniques,1998,7,0.714,0.286,0.0,9.2
3,Gaze in VR,Sensing & Input Techniques,1999,16,0.5,0.375,0.125,7.75
3,Gaze in VR,Sensing & Input Techniques,2000,51,0.608,0.216,0.176,6.9
3,Gaze in VR,Sensing & Input Techniques,2001,9,0.667,0.222,0.111,8.5
3,Gaze in VR,Sensing & Input Techniques,2002,28,0.536,0.179,0.286,9.73
3,Gaze in VR,Sensing & Input Techniques,2003,35,0.4,0.257,0.343,9.57
3,Gaze in VR,Sensing & Input Techniques,2004,49,0.306,0.286,0.408,5.73
3,Gaze in VR,Sensing & Input Techniques,2005,68,0.544,0.279,0.176,10.27
3,Gaze in VR,Sensing & Input Techniques,2006,71,0.38,0.296,0.324,7.78
3,Gaze in VR,Sensing & Input Techniques,2007,19,0.368,0.368,0.263,5.0
3,Gaze in VR,Sensing & Input Techniques,2008,47,0.553,0.362,0.085,10.96
3,Gaze in VR,Sensing & Input Techniques,2009,45,0.4,0.333,0.267,6.06
3,Gaze in VR,Sensing & Input Techniques,2010,98,0.408,0.388,0.204,10.12
3,Gaze in VR,Sensing & Input Techniques,2011,94,0.351,0.362,0.287,11.61
3,Gaze in VR,Sensing & Input Techniques,2012,114,0.43,0.316,0.254,7.06
3,Gaze in VR,Sensing & Input Techniques,2013,118,0.585,0.246,0.169,10.45
3,Gaze in VR,Sensing & Input Techniques,2014,138,0.449,0.254,0.297,7.68
3,Gaze in VR,Sensing & Input Techniques,2015,173,0.543,0.266,0.191,8.8
3,Gaze in VR,Sensing & Input Techniques,2016,213,0.563,0.221,0.216,6.94
3,Gaze in VR,Sensing & Input Techniques,2017,320,0.556,0.222,0.222,7.35
3,Gaze in VR,Sensing & Input Techniques,2018,388,0.5,0.247,0.253,9.05
3,Gaze in VR,Sensing & Input Techniques,2019,562,0.489,0.258,0.253,8.73
3,Gaze in VR,Sensing & Input Techniques,2020,517,0.464,0.309,0.226,9.39
3,Gaze in VR,Sensing & Input Techniques,2021,492,0.463,0.27,0.266,9.82
3,Gaze in VR,Sensing & Input Techniques,2022,528,0.57,0.273,0.157,8.3
3,Gaze in VR,Sensing & Input Techniques,2023,550,0.522,0.235,0.244,9.69
3,Gaze in VR,Sensing & Input Techniques,2024,590,0.544,0.229,0.227,9.6
3,Gaze in VR,Sensing & Input Techniques,2025,701,0.549,0.22,0.231,8.78
3,Gaze in VR,Sensing & Input Techniques,2026,359,0.582,0.173,0.245,9.57
4,Pointing & Target Selection,Sensing & Input Techniques,1983,1,1.0,0.0,0.0,1.0
4,Pointing & Target Selection,Sensing & Input Techniques,1985,1,1.0,0.0,0.0,3.0
4,Pointing & Target Selection,Sensing & Input Techniques,1986,3,0.333,0.333,0.333,4.0
4,Pointing & Target Selection,Sensing & Input Techniques,1988,5,0.6,0.0,0.4,4.0
4,Pointing & Target Selection,Sensing & Input Techniques,1989,2,0.5,0.0,0.5,7.0
4,Pointing & Target Selection,Sensing & Input Techniques,1991,3,0.333,0.333,0.333,1.0
