year,refs,same_sub_share,same_band_share,other_band_share,mean_ref_age,median_ref_age
1986,154,0.753,0.11,0.136,2.42,3
1988,148,0.696,0.101,0.203,2.99,2
1989,181,0.635,0.188,0.177,2.87,3
1990,279,0.573,0.143,0.283,2.72,2
1991,302,0.603,0.142,0.255,2.9,2
1992,548,0.578,0.133,0.288,2.7,2
1993,213,0.695,0.038,0.268,3.36,3
1994,612,0.587,0.139,0.275,3.9,3
1995,676,0.561,0.154,0.286,4.12,3
1996,703,0.585,0.101,0.314,3.9,4
1997,698,0.563,0.1,0.337,3.95,3
1998,900,0.616,0.072,0.312,3.81,3
1999,804,0.53,0.132,0.338,4.51,3
2000,1288,0.536,0.125,0.339,4.8,4
2001,949,0.552,0.109,0.339,5.04,4
2002,1442,0.525,0.129,0.346,5.12,4
2003,1267,0.507,0.144,0.349,5.16,4
2004,2027,0.49,0.152,0.357,5.6,4
2005,1545,0.521,0.15,0.329,5.93,5
2006,2377,0.506,0.151,0.344,5.67,4
2007,2413,0.526,0.184,0.29,6.01,4
2008,3579,0.496,0.177,0.327,5.96,4
2009,3349,0.509,0.18,0.312,5.68,4
2010,4334,0.501,0.176,0.323,5.77,4
2011,5049,0.513,0.187,0.3,6.08,4
2012,6622,0.5,0.184,0.316,6.03,4
2013,7101,0.532,0.175,0.293,5.69,4
2014,9182,0.533,0.188,0.28,5.68,4
2015,10316,0.526,0.187,0.287,5.55,4
2016,13921,0.513,0.188,0.298,5.57,4
2017,17999,0.514,0.193,0.293,5.73,4
2018,21114,0.504,0.207,0.288,5.78,4
2019,25022,0.497,0.208,0.295,5.89,4
2020,26428,0.498,0.209,0.293,5.9,4
2021,34691,0.481,0.223,0.297,5.96,4
2022,36525,0.482,0.207,0.311,6.13,5
2023,41604,0.483,0.216,0.3,6.23,5
2024,50481,0.489,0.218,0.293,6.15,5
2025,62293,0.48,0.216,0.304,6.01,4
2026,40098,0.461,0.21,0.329,6.28,5
