year,papers,mean_depth,median_depth,p90_depth,share_depth0
1975,1,0.0,0,0,1.0
1976,3,0.0,0,0,1.0
1977,4,0.0,0,0,1.0
1978,9,0.444,0,1,0.556
1979,6,0.833,1,1,0.167
1980,11,0.909,1,2,0.455
1981,93,0.14,0,0,0.935
1982,93,0.516,0,2,0.753
1983,73,0.644,0,2,0.658
1984,16,1.938,1,4,0.375
1985,54,0.519,0,1,0.778
1986,169,1.112,0,4,0.544
1987,12,2.333,2,5,0.333
1988,119,1.866,1,7,0.462
1989,120,2.683,1,8,0.408
1990,144,3.438,3,9,0.382
1991,141,4.206,4,10,0.319
1992,297,3.791,1,11,0.455
1993,92,5.707,5,13,0.283
1994,202,7.252,8,13,0.198
1995,211,7.531,9,15,0.242
1996,312,7.353,8,15,0.337
1997,377,8.324,11,17,0.31
1998,368,9.611,12,18,0.28
1999,306,11.134,15,19,0.258
2000,522,9.586,11,20,0.368
2001,323,12.879,17,21,0.164
2002,496,12.417,17,22,0.284
2003,510,13.21,18,23,0.269
2004,688,14.327,19,24,0.259
2005,720,14.104,19,25,0.281
2006,942,14.023,19,27,0.301
2007,1015,15.973,21,28,0.227
2008,1271,17.006,23,29,0.24
2009,1424,16.765,23,31,0.296
2010,1813,17.857,25,32,0.302
2011,1801,19.33,27,34,0.273
2012,2267,21.428,28,35,0.234
2013,2180,23.678,31,37,0.196
2014,2550,24.273,32,38,0.229
2015,2476,27.047,35,40,0.191
2016,2752,29.32,37,42,0.167
2017,2902,32.765,40,44,0.13
2018,3224,32.833,41,46,0.158
2019,3540,35.264,43,48,0.144
2020,2959,40.079,46,50,0.093
2021,3315,42.806,49,52,0.084
2022,3495,42.412,50,55,0.125
2023,3640,45.762,53,57,0.092
2024,4432,46.506,55,59,0.126
2025,5323,46.296,57,62,0.17
2026,3743,43.997,59,65,0.247
