sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
0,Participatory & Community Design,hci,856,2007,21,0.33,0.5,0.53,0.23,0.17,0.06,0.03
1,Social Media & Privacy,hci,620,2007,18,0.5,0.14,0.53,0.19,0.0,0.08,0.02
2,Wikipedia & Open Source,hci,557,1998,3,0.33,0.0,0.33,0.0,0.0,0.0,0.0
3,Misinformation & News,hci,482,2009,21,nan,0.58,0.43,0.38,0.32,0.24,0.07
4,Content Moderation,hci,465,2011,14,0.43,0.0,0.45,0.0,0.0,0.0,0.0
5,Gig Work & Labour,hci,382,2012,31,nan,0.75,0.56,0.34,0.17,0.14,nan
6,Civic Data & Communities,hci,381,2007,8,0.0,0.33,0.33,0.0,0.12,0.22,0.07
7,"Infrastructure, Hackathons & Crypto",hci,237,1985,2,nan,nan,nan,nan,nan,nan,nan
8,Refugees & Migration,hci,147,2014,13,0.4,1.0,0.67,0.18,0.07,0.06,nan
9,Political Talk & Team Formation,hci,133,2014,26,0.86,0.5,0.73,0.33,0.25,0.17,nan
10,Crowdfunding & Social Tagging,hci,146,2004,9,nan,0.5,0.36,0.0,0.0,0.11,nan
11,Health & Wellbeing,hci,485,2010,24,nan,0.62,0.55,0.33,0.24,0.18,0.07
12,Personal Informatics,hci,465,2011,27,0.75,0.8,0.48,0.36,0.24,0.17,0.12
13,Older Adults & Dementia Care,hci,393,2004,6,nan,0.5,0.33,0.0,0.0,0.08,0.0
14,Persuasive Health & Activity,hci,273,2008,18,0.33,0.31,0.35,0.12,0.05,0.0,0.0
15,Chronic Care & Caregiving,hci,265,2008,16,nan,0.67,0.5,0.29,0.5,0.38,0.09
16,Mindfulness & Biofeedback,hci,256,2010,4,0.2,0.43,0.22,0.0,0.0,0.0,0.0
17,Family Health Informatics,hci,236,2010,19,0.71,0.67,0.22,0.08,0.0,0.2,0.11
18,Hospital Work & Records,hci,198,1994,10,nan,0.5,0.67,0.25,0.2,0.0,0.0
