sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
0,Activity Recognition & Sensing,16739,2016,chi,FingerIO,10.1145/2858036.2858580,473,0.467,1724.0,401,-0.0072992700729927005,-0.037037037037037035,22
0,Activity Recognition & Sensing,17475,2016,ubicomp,Human respiration detection with commodity wifi devices,10.1145/2971648.2971744,484,0.478,1563.6,481,0.09900990099009901,-0.03571428571428571,19
0,Activity Recognition & Sensing,9381,2011,ubicomp,Accurate and privacy preserving cough sensing using a low-cost microphone,10.1145/2030112.2030163,666,0.658,419.9,227,0.08189655172413793,0.13414634146341464,27
0,Activity Recognition & Sensing,11527,2012,chi,SoundWave,10.1145/2207676.2208331,606,0.599,771.9,352,0.7910447761194029,0.6428571428571429,27
0,Activity Recognition & Sensing,7830,2009,ubicomp,Sonar-based measurement of user presence and attention,10.1145/1620545.1620559,607,0.6,164.7,82,1.0,1.0,28
0,Activity Recognition & Sensing,6935,2008,ubicomp,Pedestrian localisation for indoor environments,10.1145/1409635.1409651,589,0.582,135.5,488,0.7058823529411765,0.6666666666666666,27
0,Activity Recognition & Sensing,23640,2019,imwut,FarSense,10.1145/3351279,277,0.274,1720.7,424,-0.20710059171597633,-0.248,12
0,Activity Recognition & Sensing,4187,2004,ubicomp,Particle Filters for Location Estimation in Ubiquitous Computing: A Case Study,10.1007/978-3-540-30119-6_6,594,0.587,41.6,208,0.3157894736842105,0.2857142857142857,28
0,Activity Recognition & Sensing,20221,2018,imwut,C-FMCW Based Contactless Respiration Detection Using Acoustic Signal,10.1145/3161188,363,0.359,1340.9,177,0.17094017094017094,0.1111111111111111,14
0,Activity Recognition & Sensing,15518,2015,chi,Smart Homes that Monitor Breathing and Heart Rate,10.1145/2702123.2702200,545,0.539,1626.6,895,0.30456852791878175,0.26666666666666666,21
1,Touch & Multi-touch Input,3523,2002,chi,SmartSkin,10.1145/503376.503397,532,0.736,1815.9,633,-0.013136288998357963,-0.07936507936507936,44
1,Touch & Multi-touch Input,4998,2005,uist,Low-cost multi-touch sensing through frustrated total internal reflection,10.1145/1095034.1095054,454,0.628,2082.1,1046,-0.006153846153846154,-0.09183673469387756,39
1,Touch & Multi-touch Input,8838,2010,chi,The generalized perceived input point model and how to double touch accuracy by extracting,10.1145/1753326.1753413,281,0.389,1699.6,256,-0.09957627118644068,-0.12359550561797752,31
1,Touch & Multi-touch Input,1928,1996,uist,Tilting operations for small screen interfaces,10.1145/237091.237115,594,0.822,653.2,380,0.5275590551181102,0.6363636363636364,48
1,Touch & Multi-touch Input,4617,2004,chi,Pressure widgets,10.1145/985692.985754,459,0.635,1955.3,312,0.16352201257861634,0.024691358024691357,42
1,Touch & Multi-touch Input,458,1986,chi,A study in two-handed input,10.1145/22627.22390,603,0.834,686.6,253,1.0,,62
1,Touch & Multi-touch Input,5482,2006,chi,Precise selection techniques for multi-touch screens,10.1145/1124772.1124963,421,0.582,1674.9,376,-0.04201680672268908,-0.11067193675889328,38
1,Touch & Multi-touch Input,780,1990,chi,The design space of input devices,10.1145/97243.97263,592,0.819,150.2,234,0.25,0.0,54
1,Touch & Multi-touch Input,2255,1997,chi,"The design of a GUI paradigm based on tablets, two-hands, and transparency",10.1145/258549.258574,596,0.824,1144.8,157,-0.010101010101010102,-0.1016949152542373,49
1,Touch & Multi-touch Input,604,1988,chi,An empirical comparison of pie vs. linear menus,10.1145/57167.57182,621,0.859,734.3,461,0.75,0.75,55
2,Hand Sensing & Input,1693,1995,chi,Applying electric field sensing to human-computer interfaces,10.1145/223904.223940,534,0.79,458.7,250,0.13190184049079753,0.031746031746031744,52
2,Hand Sensing & Input,5831,2007,chi,Intimate interfaces in action,10.1145/1240624.1240747,542,0.802,563.4,90,0.01694915254237288,0.057692307692307696,35
2,Hand Sensing & Input,11175,2012,uist,Digits,10.1145/2380116.2380139,461,0.682,3756.2,426,-0.05025125628140704,-0.104,29
2,Hand Sensing & Input,2060,1997,chi,“Body coupled FingerRing”,10.1145/258549.258636,532,0.787,437.7,176,0.28,0.2727272727272727,46
2,Hand Sensing & Input,9935,2011,uist,OmniTouch,10.1145/2047196.2047255,487,0.72,3125.8,556,-0.08721804511278196,-0.14074074074074075,30
2,Hand Sensing & Input,17904,2016,uist,ViBand,10.1145/2984511.2984582,278,0.411,3150.3,263,-0.13882863340563992,-0.15471698113207547,20
2,Hand Sensing & Input,7286,2009,uist,Abracadabra,10.1145/1622176.1622199,520,0.769,2564.6,263,0.062111801242236024,-0.11214953271028037,33
2,Hand Sensing & Input,8953,2010,chi,Skinput,10.1145/1753326.1753394,519,0.768,3990.9,686,0.29273504273504275,0.23529411764705882,32
2,Hand Sensing & Input,6394,2008,uist,Scratch input,10.1145/1449715.1449747,533,0.788,690.4,166,0.208,0.08695652173913043,34
2,Hand Sensing & Input,4957,2005,chi,Toward subtle intimate interfaces for mobile devices using an EMG controller,10.1145/1054972.1055039,543,0.803,449.0,97,0.02284263959390863,0.005208333333333333,36
3,Gaze in VR,21025,2018,chi,Pinpointing,10.1145/3173574.3173655,175,0.29,2659.1,286,-0.147239263803681,-0.16055045871559634,16
3,Gaze in VR,36,1981,siggraph,Gaze-orchestrated dynamic windows,10.1145/800224.806796,482,0.798,346.4,128,1.0,,56
3,Gaze in VR,616,1988,chi,Grasping reality through illusion---interactive graphics serving science,10.1145/57167.57168,488,0.808,306.3,231,1.0,1.0,61
3,Gaze in VR,360,1986,chi,An evaluation of an eye tracker as a device for computer input2,10.1145/29933.275627,485,0.803,642.1,381,1.0,1.0,56
3,Gaze in VR,2665,1999,chi,Manual and gaze input cascaded (MAGIC) pointing,10.1145/302979.303053,421,0.697,1438.2,672,0.06375838926174497,0.1111111111111111,47
3,Gaze in VR,16107,2015,uist,Orbits,10.1145/2807442.2807499,243,0.402,1735.5,261,-0.09131403118040089,-0.13909774436090225,24
3,Gaze in VR,11887,2013,ubicomp,Pursuits,10.1145/2493432.2493477,263,0.435,1445.2,275,-0.08010335917312661,-0.10625,26
3,Gaze in VR,23897,2019,uist,Eye&amp;Head,10.1145/3332165.3347921,112,0.185,1359.3,122,-0.13545816733067728,-0.15343915343915343,14
3,Gaze in VR,28,1980,siggraph,“Put-that-there”,10.1145/800250.807503,496,0.821,640.3,1447,1.0,1.0,66
3,Gaze in VR,446,1986,siggraph,Image rendering by adaptive refinement,10.1145/15922.15889,489,0.81,45.7,27,1.0,1.0,62
4,Pointing & Target Selection,1253,1992,chi,Extending Fitts' law to two-dimensional tasks,10.1145/142750.142794,465,0.842,952.1,612,0.3257918552036199,0.23076923076923078,51
4,Pointing & Target Selection,167,1982,chi,User perceptual mechanisms in the search of computer command menus,10.1145/800049.801779,433,0.784,376.3,177,1.0,1.0,58
4,Pointing & Target Selection,810,1990,chi,Powermice and user performance,10.1145/97243.97276,466,0.844,199.9,91,1.0,1.0,52
4,Pointing & Target Selection,1003,1991,chi,A comparison of input devices in element pointing and dragging tasks,10.1145/108844.108868,480,0.87,777.8,367,0.4603174603174603,0.3333333333333333,54
4,Pointing & Target Selection,4586,2004,ijhcs,"Towards a standard for pointing device evaluation, perspectives on 27 years of Fitts’ law ",10.1016/j.ijhcs.2004.09.001,317,0.574,2518.9,1056,0.10025706940874037,-0.028985507246376812,41
4,Pointing & Target Selection,4943,2005,chi,The bubble cursor,10.1145/1054972.1055012,345,0.625,2147.3,591,-0.06040268456375839,-0.3380281690140845,40
4,Pointing & Target Selection,4495,2004,chi,Semantic pointing,10.1145/985692.985758,378,0.685,1798.5,294,-0.07547169811320754,-0.08620689655172414,42
4,Pointing & Target Selection,3570,2002,chi,More than dotting the i's --- foundations for crossing-based interfaces,10.1145/503376.503390,416,0.754,1487.7,369,0.22044728434504793,0.23076923076923078,44
4,Pointing & Target Selection,12533,2013,chi,FFitts law,10.1145/2470654.2466180,154,0.279,1791.7,233,-0.14497041420118342,-0.13114754098360656,26
4,Pointing & Target Selection,794,1990,chi,How does Fitts' law fit pointing and dragging?,10.1145/97243.97278,482,0.873,359.5,110,1.0,1.0,55
5,Information Navigation,1376,1993,siggraph,Toolglass and magic lenses,10.1145/166117.166126,271,0.622,1326.9,1154,0.3609625668449198,0.1896551724137931,54
5,Information Navigation,33,1981,siggraph,"Tablet-based valuators that provide one, two, or three degrees of freedom",10.1145/800224.806794,352,0.807,242.2,61,0.7272727272727273,0.5,65
5,Information Navigation,642,1989,uist,Hands-on interaction with virtual environments,10.1145/73660.73663,353,0.81,164.6,118,0.08888888888888889,-0.1,60
5,Information Navigation,1369,1993,siggraph,Pad,10.1145/166117.166125,276,0.633,1347.2,545,0.09236947791164658,-0.12,55
5,Information Navigation,46,1981,siggraph,Variational geometry in computer-aided design,10.1145/800224.806803,352,0.807,90.6,162,1.0,1.0,63
5,Information Navigation,1555,1994,uist,Pad++,10.1145/192426.192435,240,0.55,1491.1,637,0.02040816326530612,-0.034482758620689655,52
