sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
0,Participatory & Community Design,Social Media & Online Communities,856,1983,2007,2005,2025,2022,2018,2024,46.48,68
1,Social Media & Privacy,Social Media & Online Communities,620,1989,2007,2007,2025,2020,2015,2023,44.56,66
2,Wikipedia & Open Source,Social Media & Online Communities,557,1986,1998,2002,2017,2015,2012,2019,35.24,63
3,Misinformation & News,Social Media & Online Communities,482,1994,2009,2009,2025,2021,2017,2024,44.39,65
4,Content Moderation,Social Media & Online Communities,465,2004,2011,2009,2025,2022,2019,2024,48.79,64
5,Gig Work & Labour,Social Media & Online Communities,382,1986,2012,2010,2025,2021,2017,2024,47.03,65
6,Civic Data & Communities,Social Media & Online Communities,381,1982,2007,2005,2018,2019,2015,2023,42.07,66
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,237,1982,1985,1986,2021,2015,2002,2020,30.32,62
8,Refugees & Migration,Social Media & Online Communities,147,1998,2014,2004,2024,2021,2017,2024,45.64,65
9,Political Talk & Team Formation,Social Media & Online Communities,133,1994,2014,2004,2017,2018,2015,2022,38.5,65
10,Crowdfunding & Social Tagging,Social Media & Online Communities,146,1982,2004,2000,2010,2010,2008,2016,28.51,58
11,Health & Wellbeing,"Health, Care & Ageing",485,1996,2010,2011,2025,2021,2017,2024,46.09,65
12,Personal Informatics,"Health, Care & Ageing",465,2005,2011,2010,2025,2021,2017,2024,47.65,66
13,Older Adults & Dementia Care,"Health, Care & Ageing",393,2001,2004,2005,2025,2020,2015,2024,41.5,65
14,Persuasive Health & Activity,"Health, Care & Ageing",273,1992,2008,2003,2017,2016,2013,2021,36.7,66
15,Chronic Care & Caregiving,"Health, Care & Ageing",265,1998,2008,2006,2025,2019,2015,2023,43.2,65
16,Mindfulness & Biofeedback,"Health, Care & Ageing",256,2002,2010,2009,2025,2021,2017,2024,44.19,65
17,Family Health Informatics,"Health, Care & Ageing",236,1998,2010,2004,2025,2020,2015,2024,42.31,64
18,Hospital Work & Records,"Health, Care & Ageing",198,1988,1994,1994,2008,2012,2005,2019,29.68,64
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",119,2005,2012,2011,2022,2019,2015,2022,36.15,63
20,Autism & Neurodiversity,Accessibility & Assistive Tech,512,1988,2005,2005,2025,2020,2015,2024,39.34,66
21,Web Accessibility,Accessibility & Assistive Tech,398,1992,1992,1994,2024,2019,2010,2023,36.09,68
22,Deaf & Sign Language,Accessibility & Assistive Tech,364,1994,2002,2000,2025,2020,2015,2024,38.8,66
23,Non-visual Navigation,Accessibility & Assistive Tech,332,1994,2005,1998,2024,2019,2014,2023,38.29,65
24,"ICTD, Mobile Money & Women",Accessibility & Assistive Tech,305,1997,2007,2007,2018,2019,2015,2022,40.45,63
25,Visual Accessibility,Accessibility & Assistive Tech,295,2003,2011,2006,2025,2021,2018,2024,48.08,66
26,Non-visual Touch Interfaces,Accessibility & Assistive Tech,280,1996,2008,2000,2023,2019,2014,2023,39.79,65
27,Women's Health & Menstrual Tracking,Accessibility & Assistive Tech,234,2007,2015,2010,2024,2023,2020,2025,50.17,67
28,Blind Access to VR,Accessibility & Assistive Tech,139,1998,2016,2008,2025,2021,2017,2024,40.75,65
29,AAC & Aphasia,Accessibility & Assistive Tech,132,1994,2009,2003,2020,2018,2013,2023,35.88,65
30,Low-vision Accessibility,Accessibility & Assistive Tech,130,1981,2016,2007,2025,2021,2016,2023,38.3,65
31,Assistive Technology & Dyslexia,Accessibility & Assistive Tech,164,1998,2012,2005,2025,2019,2015,2023,36.9,65
32,Location Sharing & Privacy,Privacy & Security,145,2002,2004,2005,2012,2013,2010,2016,33.3,61
33,Smart-home Privacy,Privacy & Security,140,2002,2017,2008,2025,2022,2020,2024,48.41,63
34,Dark Patterns,Privacy & Security,125,2009,2019,2014,2024,2024,2021,2025,49.89,66
35,Usable Security & Phishing,Privacy & Security,661,1982,1986,1989,2025,2018,2011,2023,33.01,66
36,Design Research & Art,Design Research & Practice,627,1986,1988,1994,2026,2019,2014,2023,40.48,65
37,Bodily Play & Spectator Experience,Design Research & Practice,556,1994,2001,2002,2017,2016,2012,2020,35.39,65
38,"Body, Movement & Soma Design",Design Research & Practice,551,1976,2002,2000,2024,2021,2016,2024,41.07,65
39,Memory & Reminiscence,Design Research & Practice,472,1996,1998,2000,2026,2016,2010,2021,37.64,65
40,More-than-human Design,Design Research & Practice,403,1997,2009,2005,2025,2023,2017,2025,44.5,68
41,Sustainable HCI,Design Research & Practice,397,2004,2007,2007,2013,2016,2013,2022,39.01,65
42,Human-Food Interaction,Design Research & Practice,197,2002,2010,2005,2020,2019,2014,2023,38.97,64
43,Materials & Craft in HCI,Design Research & Practice,129,1998,2010,2003,2012,2015,2012,2019,36.71,65
44,Data Physicalization,Design Research & Practice,125,2005,2014,2009,2026,2022,2017,2025,43.33,64
45,Smart Home Automation,Design Research & Practice,218,1985,2010,1999,2017,2018,2013,2022,39.1,63
46,Co-design with Children,"Children, Learning & Youth",459,1989,1995,1997,2013,2016,2009,2021,31.19,64
47,Youth & Online Media,"Children, Learning & Youth",230,1988,2013,2010,2025,2022,2018,2025,45.4,65
48,AI Literacy & K-12,"Children, Learning & Youth",200,1994,2017,2011,2026,2024,2021,2025,47.34,66
49,Family & Intergenerational Communication,"Children, Learning & Youth",176,1998,2008,2008,2018,2018,2012,2023,39.28,65
50,Children's Reading & Storytelling Agents,"Children, Learning & Youth",135,1992,2017,2009,2026,2023,2019,2025,43.39,65
51,Personas & Child-centred Design,"Children, Learning & Youth",261,1997,2006,2003,2025,2019,2013,2023,31.56,67
52,Child-Robot Interaction,Robots & Conversational Agents,686,1992,2004,2006,2022,2019,2013,2023,30.29,64
