sub,name,band,year,papers,cites_received
0,Participatory & Community Design,Social Media & Online Communities,1983,1,0
0,Participatory & Community Design,Social Media & Online Communities,1988,1,0
0,Participatory & Community Design,Social Media & Online Communities,1990,2,0
0,Participatory & Community Design,Social Media & Online Communities,1991,1,2
0,Participatory & Community Design,Social Media & Online Communities,1992,1,2
0,Participatory & Community Design,Social Media & Online Communities,1994,1,1
0,Participatory & Community Design,Social Media & Online Communities,1995,1,0
0,Participatory & Community Design,Social Media & Online Communities,1996,1,0
0,Participatory & Community Design,Social Media & Online Communities,1997,1,3
0,Participatory & Community Design,Social Media & Online Communities,1998,0,2
0,Participatory & Community Design,Social Media & Online Communities,2000,2,2
0,Participatory & Community Design,Social Media & Online Communities,2001,2,0
0,Participatory & Community Design,Social Media & Online Communities,2002,2,4
0,Participatory & Community Design,Social Media & Online Communities,2003,0,1
0,Participatory & Community Design,Social Media & Online Communities,2004,1,1
0,Participatory & Community Design,Social Media & Online Communities,2005,3,4
0,Participatory & Community Design,Social Media & Online Communities,2006,2,6
0,Participatory & Community Design,Social Media & Online Communities,2007,3,18
0,Participatory & Community Design,Social Media & Online Communities,2008,7,16
0,Participatory & Community Design,Social Media & Online Communities,2009,10,18
0,Participatory & Community Design,Social Media & Online Communities,2010,12,27
0,Participatory & Community Design,Social Media & Online Communities,2011,17,55
0,Participatory & Community Design,Social Media & Online Communities,2012,16,101
0,Participatory & Community Design,Social Media & Online Communities,2013,13,116
0,Participatory & Community Design,Social Media & Online Communities,2014,27,171
0,Participatory & Community Design,Social Media & Online Communities,2015,24,187
0,Participatory & Community Design,Social Media & Online Communities,2016,24,308
0,Participatory & Community Design,Social Media & Online Communities,2017,36,479
0,Participatory & Community Design,Social Media & Online Communities,2018,39,545
0,Participatory & Community Design,Social Media & Online Communities,2019,57,827
0,Participatory & Community Design,Social Media & Online Communities,2020,46,701
0,Participatory & Community Design,Social Media & Online Communities,2021,72,1380
0,Participatory & Community Design,Social Media & Online Communities,2022,67,1400
0,Participatory & Community Design,Social Media & Online Communities,2023,62,1392
0,Participatory & Community Design,Social Media & Online Communities,2024,91,1882
0,Participatory & Community Design,Social Media & Online Communities,2025,119,2586
0,Participatory & Community Design,Social Media & Online Communities,2026,92,2217
1,Social Media & Privacy,Social Media & Online Communities,1989,1,0
1,Social Media & Privacy,Social Media & Online Communities,1997,1,0
